Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,20.446554001843648,0.1311349511151595,0.0,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,20.44224879776492,20.30809930739267,20.439675903655683,20.580669009497694,20.17394926223074,20.40876656773501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.384307904261732,0.1320778050515523,0.0,20.464558385476636,20.50749828059413,20.445981895316855,20.459435375951355,20.281924660606553,20.30809930739267,20.439675903655683,20.580669009497694,20.17394926223074,20.181286961895022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.31408261199754,0.14562219782180358,0.0,20.4527948376061,20.435104374533,20.423732062694963,20.336555110251926,19.989739244202376,20.30809930739267,20.439675903655683,20.399889055512986,20.17394926223074,20.181286961895022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20.11571749389352,0.16063432947744327,0.0,20.353479475734623,19.902831412572425,20.25479596122649,20.020596595668316,19.989739244202376,20.245420607853774,20.04264542064391,20.34364329830413,20.079311487380583,19.924711435348538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19.929351318109177,0.1587725852835978,0.0,20.121513477879635,19.902831412572425,20.098841112585124,19.953874299059958,19.553596445394593,20.011960247062127,20.027290402407715,19.763625633710948,19.93526871507071,19.924711435348538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19.636608864468098,0.25337356019092977,0.0,19.90850176931425,19.843835899163782,19.732922963951463,19.732850662161628,19.553596445394593,19.172371235475868,19.88416294576687,19.763625633710948,19.589904999119636,19.184316090621966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19.335089574339897,0.26068433934268637,0.0031401275112388225,19.90850176931425,19.50581928193961,18.94293416282343,19.18298243474948,19.199444279137886,19.172371235475868,19.228130461769844,19.480065030083956,19.546330997482688,19.184316090621966,0.03140127511238822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19.082161058789758,0.37141904675739285,0.0,19.398291087852638,19.50581928193961,18.94293416282343,18.671863765084932,19.166537321298744,18.409912490701483,19.228130461769844,19.480065030083956,19.37165759265493,18.646399393687986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.723479473025815,0.39868367532563326,0.0,18.816809474423927,18.819975470824676,18.714924734817203,18.654475676490723,18.56702132829029,18.2434541744424,18.963884447745546,19.350350346124433,19.185242494806996,17.918656582291945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.504568860555217,0.34785262069423273,0.0,18.48855987828095,18.819975470824676,18.601966913813328,18.194158268095826,18.52816383158642,18.172621034851872,18.81935773388682,19.0797058615568,18.517527134650088,17.823652478005396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
