Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,20.446554001843648,0.1311349511151595,0.0,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,20.44224879776492,20.30809930739267,20.439675903655683,20.580669009497694,20.17394926223074,20.40876656773501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.384307904261732,0.1320778050515523,0.0,20.464558385476636,20.50749828059413,20.445981895316855,20.459435375951355,20.281924660606553,20.30809930739267,20.439675903655683,20.580669009497694,20.17394926223074,20.181286961895022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.211913104274366,0.15901494532061494,0.0,20.237688381524094,20.376018561123495,20.383110194055995,20.277442406487538,20.281924660606553,19.822359854298355,20.20704553201827,20.305252712754562,20.17394926223074,20.05433947764405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20.012827409444572,0.17307615772616128,0.0,20.114533493500275,20.03567838209821,20.066414927534236,20.270705173229384,19.995520431136054,19.822359854298355,20.074049298893545,20.23357144981103,19.75057189636308,19.76486918758152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19.826078304714713,0.24527395482423853,0.001289756968447035,20.09660515188063,19.822997942670764,19.94796249354007,19.913130785986958,19.46823031666769,19.822359854298355,20.074049298893545,20.049479790660758,19.75057189636308,19.31539551618528,0.0,0.0,0.01289756968447035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19.623150086106797,0.23682562206307875,0.0,20.016380723718292,19.59023232471403,19.41104544419646,19.796233303397234,19.46823031666769,19.267777007123804,19.827316487629425,19.788317841072722,19.75057189636308,19.31539551618528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19.22569490161445,0.3670771907526154,0.0,19.303461294351116,19.03483245282146,19.41104544419646,19.118670111239783,19.45140851069976,19.267777007123804,19.805378287920103,19.345853430363118,19.217988970068618,18.300533507360257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18.855689662611333,0.3549739491214508,0.0,19.303461294351116,18.360793503714557,18.88400813222349,18.904760362662266,18.472272949575515,18.86569598198223,19.391408463836054,19.07820491529389,18.995757515113947,18.300533507360257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.58037451356542,0.44494146342514196,0.0,18.56979339583759,18.360793503714557,18.67704279223654,18.896231835074975,18.472272949575515,18.42502078309057,19.349147807486254,18.789891670573205,18.743770884851557,17.51977951321343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18.351227400124433,0.4002702768876509,0.0,18.31457920273341,18.102351176605143,18.039087442996337,18.896231835074975,18.316742289064788,18.42502078309057,18.99420058376364,18.37246135183296,18.531819822869103,17.51977951321343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
