Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,20.446554001843648,0.1311349511151595,0.0,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,20.44224879776492,20.30809930739267,20.439675903655683,20.580669009497694,20.17394926223074,20.40876656773501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.298640285031546,0.1554348284646495,0.0,19.974779004089275,20.318796930170524,20.31855543788606,20.43956978244662,20.408716304679743,20.30809930739267,20.377561883742235,20.405192433132118,20.02636519904122,20.40876656773501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.012042253442704,0.23702328643302012,0.0,19.503193088701863,20.222367522354563,20.179945075566312,20.05588632571129,19.649356243883464,19.997270350084808,20.289254786844598,20.049408821086065,20.02636519904122,20.14737512115285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19.61583671628158,0.4096550697431428,0.0,19.44170423003472,19.91351594936272,19.954605918415872,19.331570392106908,18.549338780301934,19.64489635903688,19.923022597240706,19.939240747526018,19.741977455402935,19.718494733387107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19.365211069433787,0.4066545704404139,0.0,19.1491725841044,19.465991772916933,19.74438105226268,19.331570392106908,18.39889679555513,19.612448321538093,19.81540101418111,19.683617672156803,18.986711639901216,19.463919449614583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19.051575789168634,0.3969722914126656,0.0,19.1491725841044,19.422212842172797,19.21506336237557,19.331570392106908,18.24679786562987,18.628057962278596,19.564621805422938,19.139025159760056,18.604949808690353,19.214286109144854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18.754732344460912,0.4671494964834631,0.0,19.035352149498813,19.042900026659307,19.190201163660003,19.057943870444138,18.090469433006493,18.628057962278596,19.33404464006488,18.948676386848145,18.305599441961956,17.914078370186747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18.422712115375077,0.4026861361569664,0.0,18.463765486434454,18.276414466746818,18.703271056853836,18.690999368424375,17.670362800515512,18.375205571063297,19.15488854398698,18.68387326276416,18.294262226774592,17.914078370186747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.1764931385299,0.4514609877269263,0.0,18.463765486434454,18.276414466746818,18.691064176993823,18.493158135103265,17.5591453765087,17.519733892558307,18.7041809101771,18.453137878605624,18.059964395144622,17.544366667026313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,17.854811532838593,0.5555371508138073,0.0,18.448476205509795,18.276414466746818,18.379166279694104,17.93950196656715,17.07170867334618,17.1904470168986,18.4851145769343,17.995167863697052,17.801424055837018,16.96069422315489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,17.501507195026484,0.6527457094280923,0.0,18.10642279352029,18.004619234217273,18.26981190982313,16.82754750753431,16.730271467832264,16.51281445687069,18.33555821892227,17.66401089505356,17.60332124333618,16.96069422315489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,17.129526466228313,0.5411818819603408,0.0,17.636121014348415,17.706256382299163,17.42471167258853,16.74753144220235,16.192360885425803,16.304778618217718,17.64898775548245,17.34367404596414,17.485844323133488,16.804998522621066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,16.845576829937,0.6210950650199234,0.0,17.215355339891417,17.40246140565416,17.42471167258853,16.399184247150735,15.459535490393932,16.304778618217718,17.51173129356335,17.0425330609869,17.147684033361685,16.547793137561577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16.42950431902112,0.6943390727055809,0.0005125354843850501,17.215355339891417,17.044397960431024,17.186575885997065,15.334378546306437,15.209160275880151,16.082491914905496,16.58552465221658,16.663902873126634,16.909407498267008,16.063848243189394,0.0,0.0,0.0,0.0,0.0013612157199701185,0.0,0.0,0.0,0.0037641391238803826,0.0
14,15.962832406725664,0.78235054210362,0.000744677873925097,16.64512122830112,16.81786320498596,17.003542317271727,15.334378546306437,14.565068415338526,15.713503620575882,14.959747080452733,16.107282317484348,16.593391895176286,15.88842544136361,0.0,0.0,0.0,0.0,0.007357023251410244,0.0,0.0,0.0,8.975548784072583e-05,0.0
15,15.470752563641094,0.7720878818995586,0.0016222082493614024,15.787599121910947,16.39340532852203,16.364880022496607,14.97313554158405,14.12774463818016,15.488867566426473,14.395135436510431,15.728821488005071,16.359044586427782,15.08889190634739,0.0,0.0,0.0,0.0,0.004433942651810588,0.0,0.0,0.0,0.003499941856143169,0.008288197985660264
16,15.195147539293213,0.7965278950842836,0.0010737142121953285,15.787599121910947,16.04857269676381,16.158888516852095,14.942617810714507,13.674563682346115,15.095225665964637,14.108089880925204,15.00299721515262,16.044028895954817,15.08889190634739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00895566346850597,0.0017814786534473175
17,14.764992771120088,0.8280481728631154,0.00017915170839725834,15.587255149749605,15.265148971155162,15.529462001639398,13.695288970114373,13.104767673480286,14.885254461318842,14.052511801103265,14.805116826650679,15.684633877904895,15.040487978084396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017915170839725833,0.0
18,14.39110877308921,0.7579800827867736,0.00023165723714268252,15.106073047735254,14.593033633526435,15.150981553776564,13.695288970114373,12.937373729703067,14.19474226178023,13.395320624336959,14.739305514171186,15.058480417663608,15.040487978084396,0.0,0.0,0.0,0.0,0.0,0.0023165723714268253,0.0,0.0,0.0,0.0
19,14.103562724104355,0.8098677667859775,0.00036381357939383423,14.661180537816836,14.570368757421814,15.071574603559197,13.049982654469252,12.45704875324851,14.162226776997665,13.395320624336959,14.39151371314107,14.875140592581605,14.401270227470642,0.0,0.0,0.0,0.0036320902752708106,0.0,0.0,0.0,0.0,6.045518667531889e-06,0.0
20,13.732897237390995,0.9513473506288734,0.0016341689314693167,14.399598253777283,14.349246361002123,14.69489841663783,12.64176404041438,11.597989211503657,13.732884926604381,13.155013225686625,14.082841912410004,14.76469112426885,13.910044901604806,0.0,0.0,0.0,0.009320621357459005,0.0,0.0,0.0,0.0,0.0,0.007021067957234164
21,13.280363069589857,0.8480512840429492,0.0024879579672326497,13.888291267998252,13.677283932665521,13.274593359424205,12.64176404041438,11.167888088417937,13.430253242907082,12.939727204800178,13.491171575718079,14.382613081948119,13.910044901604806,0.0,0.0,0.0,0.01417177313856305,0.006820812626507786,0.0,0.0,0.0,0.0,0.0038869939072556647
22,13.03220377177767,0.7544060327850283,0.0020155587175986265,13.20795496097619,13.258764860514027,13.221820588883707,12.631444115251098,11.167888088417937,13.029879493539038,12.57528629305195,13.380335107535393,14.011136689919203,13.83752751968817,0.0,0.0,0.0,0.009148302078930519,0.006159348229128509,0.0,0.0,0.0,0.0,0.004847936867927238
23,12.695221333619779,0.7387782295868214,0.00026223648149899346,12.69725713895925,12.824895064575522,13.112209196068031,12.429598979598671,11.167888088417937,12.859182278154812,11.62828577674334,13.086316027159631,13.530092767999834,13.616488018520766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026223648149899343
24,12.424809645241723,0.725873657873067,0.0,12.69725713895925,12.694199456893749,12.452044332907755,12.117681741994115,10.737347036150728,12.59614830517568,11.62828577674334,12.881600677915218,13.086149376447219,13.357382609230168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,12.03555713544303,0.7036765693701721,0.0016474838253061844,12.69725713895925,12.021099016453338,12.452044332907755,11.63345156390124,10.34561920171339,12.321193995597575,11.503488770809971,12.261406944400838,12.137674942537311,12.982335447149639,0.0,0.0,0.0,0.0,0.0,0.0076722468623753775,0.0,0.008802591390686468,0.0,0.0
26,11.801758846947699,0.7755577294155348,0.0,12.52559062885652,11.917333887544638,12.452044332907755,11.346966146096854,10.34561920171339,12.24687090920193,10.541282306101483,12.261406944400838,11.72789263502058,12.652581477633023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,11.48290310108283,0.661614646043994,0.0019446474701112608,12.13431368833041,11.604301298360177,11.860675574404157,11.225626247022436,10.15133908557771,11.73538008475515,10.541282306101483,11.396588189160727,11.72789263502058,12.451631902095471,0.0,0.0,0.0,0.0032386157918215,0.004659084584132645,0.0047308332541623,0.0,0.003641952447286182,0.0031759886237099797,0.0
28,11.21711933217066,0.6882036896113108,0.00024438916640649147,11.785162278851985,11.412558708715393,11.860675574404157,11.0860846698044,10.088790374052962,11.73538008475515,10.01790352207748,11.396588189160727,10.73470718844241,12.053342731441944,0.0024438916640649147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,10.76151415992809,0.6700386555180002,0.002529046329515528,11.616691074814925,11.025308844367318,11.260318309001144,10.721461194380616,9.463463497019454,10.94478299303989,9.622680554507783,11.044133430649218,10.593786753748379,11.322514947752182,0.0,0.0,0.0,0.007100613557550246,0.0009759534532864973,0.0,0.0,0.007508760543985951,0.0,0.009705135740332587
30,10.572268693067826,0.6798742566787993,0.0028446731095361907,10.991621638833253,10.44253876524984,11.260318309001144,10.614368620387205,9.463463497019454,10.94478299303989,9.234228434285304,11.044133430649218,10.414489454162709,11.312741788050241,0.0,0.0,0.0,0.013068188953887066,0.0,0.001572120409087039,0.0,0.0,0.0,0.0138064217323878
31,10.245623913220797,0.5936313626338111,0.004324921095144664,10.970750791155195,10.148373584341762,11.02473287726201,9.83741630194061,9.463463497019454,10.61369271167227,9.136564098060823,10.339536890514157,10.199760263020988,10.721948117220697,0.011843116149029755,0.0,0.0077643625663513976,0.008993648617527827,0.0037125043838971026,0.001976601637497645,0.0006415840909539603,0.0021142215747120435,0.0,0.006203171931476904
32,10.118659663307614,0.5608229333765442,0.002140764986606758,10.446523019836974,10.048464018360768,10.896361394879712,9.83741630194061,9.316939353888936,10.61369271167227,9.136564098060823,10.339536890514157,9.829150726701197,10.721948117220697,0.0040917723529939175,0.0,0.0070919504183392995,0.00010418049306664148,0.004794076405262318,0.0,0.0,0.0,0.005325670196405404,0.0
33,9.813839142905126,0.6356505631646034,0.005039401858088106,10.387160456693806,9.965862260905187,10.837401323558925,9.638191836280285,9.316939353888936,10.29510435282519,8.425509137957416,10.097111078753803,9.691333048103761,9.483778580083952,0.006217780931698042,0.008109297365068793,0.00960028145362167,0.0015735832520068808,0.007317421412142295,0.0,0.007236455433885057,0.007157927008166141,0.0031812717242921886,0.0
34,9.61751370062157,0.5665363577884154,0.0033789752228147534,9.787359865686927,9.875941289631625,10.565773375303898,9.638191836280285,9.187533710395158,9.852662700155516,8.425509137957416,10.097111078753803,9.691333048103761,9.05372096394733,0.0029230495035750953,0.0,0.005204037497771397,0.002081534268540088,0.006442194989315773,0.002203242437335561,0.0005219565760756836,0.00915391506448956,0.005259821891044376,0.0
35,9.386920124070409,0.7103731863853233,0.002471843596802598,9.787359865686927,9.520757008974325,10.565773375303898,9.078979627791437,9.187533710395158,9.852662700155516,7.879507126392742,9.723661535827961,9.691333048103761,8.581633242072364,0.0034878284925963,0.0022646188928340965,0.008791159632310766,0.0,0.007279808981682814,0.0026875885438685876,0.0,0.0,0.0002074314247334175,0.0
36,9.111463487641563,0.5498856481417752,0.0028109799803800748,9.377568444528066,9.125870854162885,10.072550195102963,9.078979627791437,9.04946947729695,9.218329132464076,7.879507126392742,9.57194215295308,9.15878462365106,8.581633242072364,0.0015121095809515418,0.005330680615040644,0.013323023798086291,0.0,0.004577332762485837,0.0033666530472364316,0.0,0.0,0.0,0.0
37,8.997559403287486,0.5365895784793607,0.0033108943156594287,9.377568444528066,8.671486070864583,9.953173159234607,9.078979627791437,8.928096115423742,9.218329132464076,7.879507126392742,9.451291344880369,8.835529769222855,8.581633242072364,0.0,0.011529040970245812,0.0035377223659330227,0.004435972875374713,0.009758037238034192,0.0,0.0038481697070065503,0.0,0.0,0.0
38,8.75939171244152,0.6658793075861537,0.0029306043022626982,9.377568444528066,8.413680357086477,9.92894453064536,8.78211617213163,8.811778833796986,9.038613822392623,7.460499892869922,9.213096351858722,8.54638231042169,8.021236408683722,0.0,0.004934135290318097,0.006160288169554513,0.00034541718254396463,0.006450379827327069,0.0,0.0052680245259402285,0.005154051192502889,0.0009937468344402168,0.0
39,8.504045672118382,0.5817043547629568,0.0015100151605855104,9.072862387460981,8.271083718034323,9.519758643026629,8.78211617213163,8.441764430047325,8.974731091029533,7.350557360683576,8.41982776953201,8.186518740554096,8.021236408683722,0.0,0.0,0.0,0.004079450258629529,0.008798893761355578,0.0,0.002221807585869996,0.0,0.0,0.0
40,8.343885682146842,0.6572412102830002,0.004362447456762607,8.823645878748993,7.819608319009374,9.519758643026629,8.42857883874512,8.274897279619422,8.974731091029533,6.970053852519527,8.41982776953201,8.186518740554096,8.021236408683722,0.00035440744681239215,0.0,0.0,0.010112391762597844,0.009834236927010262,0.009377647474211442,0.00326180710674795,0.0,0.0007465411444671738,0.009937442705779015
41,8.269828230027084,0.6828947626708967,0.0014048929405845758,8.823645878748993,7.694067164391226,9.519758643026629,8.42857883874512,7.886262364683226,8.828766372630785,6.897646756403772,8.41982776953201,8.186518740554096,8.01320977155498,0.0,0.0,0.00451169392958609,0.0,0.002171203843741286,0.00023980387511113413,0.0014026998315486035,0.0,0.0,0.005723527925858645
42,8.035516098894936,0.6350871379475759,0.0024738335817401625,8.748484748812032,7.531524913556778,9.028470979771152,8.215008226065512,7.886262364683226,8.003150242276508,6.596330692720233,8.41982776953201,7.96903634510981,7.9570647064220985,0.0,0.0,0.0035142439269104393,0.001920306615469115,0.006055003170548542,0.0036273504572614437,0.004341072918148484,0.0,0.005194568316681509,8.579041238208791e-05
43,7.85512358181862,0.6009050165652721,0.0021074199242699957,8.109589571599425,7.316720058034839,9.022250553708052,7.802082703613385,7.664113823379818,8.003150242276508,6.596330692720233,8.331133575327435,7.748799891104401,7.9570647064220985,0.0,0.005968167286193526,0.0,0.0,0.004415087073151509,0.0,0.00622025312783655,0.0,0.003823525846433771,0.0006471659090846058
44,7.671278768501898,0.6939347530140372,0.0005956032921615923,8.053816568220372,7.130829995014512,9.001748376842029,7.802082703613385,7.123431759035709,8.003150242276508,6.370753100106956,8.294414036875136,7.377434788687026,7.555126114347342,0.0,0.0,0.002528057620310601,0.0,0.0,0.0034279753013053225,0.0,0.0,0.0,0.0
45,7.496941885975341,0.5616564845802353,0.0018290781314223106,8.053816568220372,7.130829995014512,8.485240938175327,7.436800875629702,7.091872617481194,8.003150242276508,6.370753100106956,7.536035370171238,7.305793038330268,7.555126114347342,0.00326101256435277,0.008769415096045377,0.0,0.0,0.0,0.003992319680338257,0.0022680339734867014,0.0,0.0,0.0
46,7.379117631208717,0.5686228200712283,0.0012552640038099375,7.7638663738114495,6.796123468318495,8.386007727172847,7.436800875629702,7.091872617481194,8.003150242276508,6.3156421870438315,7.536035370171238,7.062393717162042,7.399283733019864,0.004164588201804465,0.0,0.0,0.0,0.0,0.0015271017853237519,0.0,0.006860950050971158,0.0,0.0
47,7.298064842915238,0.5166129533655819,0.003253505249313029,7.32884745954089,6.727851982439063,8.207564939537361,7.436800875629702,7.091872617481194,7.885238741302288,6.304758992868756,7.536035370171238,7.062393717162042,7.399283733019864,0.00343922391848441,0.0031959933637794764,0.0066445769513178475,0.0,0.004772175592325567,0.003290057459015918,0.00028236994114856607,0.007465261612724306,0.003445393654334193,0.0
48,7.181454525060721,0.53252839797571,0.0016539363880220977,7.302693129349661,6.596079821739938,8.117609912610668,6.950649803174896,7.059530294570855,7.810186914329218,6.304758992868756,7.536035370171238,6.737717278772127,7.399283733019864,0.0,0.0,0.00012342915387026748,0.0,0.0005380430839177174,0.0,0.0,0.0043682876902129755,0.0,0.011509603952220017
49,7.051009734255835,0.5484608108204301,0.004040242225663898,7.132763659723306,6.390730695241672,7.928130132587814,6.950649803174896,6.49317347987073,7.810186914329218,6.304758992868756,7.494299000907494,6.737717278772127,7.267687385082331,0.001382440730788115,0.0,0.0015564068499566795,0.00263829976123275,0.002023802095846276,0.0,0.00401811364148787,0.009244080705802836,0.008585396199095499,0.010953882272428947
50,6.944253902200245,0.47622923556010355,0.002423763631465549,7.059103902528641,6.390730695241672,7.928130132587814,6.950649803174896,6.49317347987073,7.242485466125627,6.257332227479321,7.3513085911669265,6.737717278772127,7.0319074450546974,0.0,0.0,0.0,0.0,0.0,0.0013145069400788806,0.0024300457937090933,0.0024073924451451776,0.012175219081578597,0.00591047205414374
51,6.869539204755948,0.42316733510164073,0.0013432088960074447,6.995533897295292,6.23206231000988,7.498912532016622,6.950649803174896,6.49317347987073,7.242485466125627,6.257332227479321,7.3513085911669265,6.642026295365483,7.0319074450546974,0.0,0.0,0.004140668794403973,0.003330148079690123,0.0,0.0,0.0,0.0015759574120645231,0.002619443884764887,0.0017658707891509394
52,6.6975755394145535,0.4320407096186886,0.002044272663304008,6.936238542955142,6.23206231000988,6.640993558010088,6.950649803174896,6.407749904588531,7.242485466125627,5.852696801843457,7.3513085911669265,6.642026295365483,6.719544120905509,0.0,0.0,0.004497936098807833,0.008346454275144547,0.0,0.0,0.0003777336168237101,0.002100779773947621,0.0,0.005119822868316367
53,6.62648123019847,0.4536997840983238,0.0034975161796136694,6.82314868103029,6.23206231000988,6.640993558010088,6.950649803174896,6.198591634276848,7.206154008846854,5.667416959341768,7.184224931023097,6.642026295365483,6.719544120905509,0.002887302922905838,0.00601178510397506,0.007412017452705857,0.007706510112131683,0.004411224341705252,0.0016737426217443721,0.0,0.004671444660935542,0.0,0.00020113458003308623
54,6.538780944080971,0.43933827459561237,0.0019150379617655627,6.777248335462492,6.23206231000988,6.640993558010088,6.6592536708766765,5.939673945617578,7.089517854743631,5.667416959341768,7.085258496344471,6.576840189497613,6.719544120905509,0.0,0.0,0.006187531479823566,0.005396008599601563,0.0,0.0,0.0016113851141382437,0.0,0.004222557817575889,0.0017328966065163658
55,6.464112899726645,0.4155556607637076,0.0031699605957130083,6.681772563838987,6.23206231000988,6.506551677609995,6.6592536708766765,5.939673945617578,6.891366007237192,5.667416959341768,7.085258496344471,6.25822924548439,6.719544120905509,0.008395447882902042,0.009305007657033118,0.0027812097861098025,0.0,0.00016140393954716786,0.0055957674078470805,0.005460769283690872,0.0,0.0,0.0
56,6.314566545315721,0.42034294538870925,0.0017112199354453786,6.578147247511939,6.080087828942926,6.506551677609995,6.6592536708766765,5.86574607678882,6.694060666032591,5.327228666398195,6.670535903435624,6.25822924548439,6.50582447007605,0.0,0.0,0.0,0.0,0.0,0.0,0.001665447176989924,0.010205179637813207,0.0027419740254825188,0.0024995985141681404
