Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,534.7564023607617,47.806712610254436,0.0,523.9037648204419,595.8885888581968,550.411310426203,602.2691913686876,552.7961289959176,449.6948804712411,581.5230850107871,498.3655992166927,486.9932764601149,505.71819797933415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,427.1041630058447,37.76162739766031,0.0,437.8473782482892,468.69094563320266,409.8108086904872,415.09790086394213,415.3650376181508,364.5933103911326,510.4892065673427,408.96938283750484,403.5731077974709,436.604551410925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,343.30065163931,41.98211471719428,0.0,389.7605908098475,408.3216758067641,362.88249592299246,344.9595013652985,296.6096232136863,291.5664735481918,394.35055385698115,327.91131317630294,289.5321722341707,327.1121164588649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,304.94391652252006,45.49627262690856,0.002021117992418527,249.2824267328731,400.2752763307111,313.1703108889822,302.13018604669475,279.0770776217062,291.5664735481918,368.6208776476958,308.1686476184702,289.5321722341707,247.61571655570506,0.0,0.0,0.0,0.0,0.0,0.0,0.02021117992418527,0.0,0.0,0.0
4,274.7298163263383,37.43853900960843,0.0,249.2824267328731,369.1032971044552,281.1178708422135,284.16016459689615,242.809972313981,259.7578900656681,308.77257915182867,256.7616737541674,256.5383086388716,238.99398006242896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,240.52755566782344,35.077028888691984,0.0024121496493594075,231.3534176032764,339.41389625383687,218.8335004355382,241.32948725635063,207.07114446246868,222.86422239941243,248.7891368377491,230.1170612912717,243.73253279932058,221.7711573390095,0.0,0.0,0.0,0.024121496493594075,0.0,0.0,0.0,0.0,0.0,0.0
6,232.1965579962154,34.314865258132556,0.0,214.50205149082612,325.3504589045728,218.8335004355382,241.32948725635063,207.07114446246868,208.18156806231272,248.7891368377491,224.73238869201617,232.33721671927242,200.83862710104756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,219.254793172475,33.6410108862283,0.0,195.51452850565724,309.2085289140109,199.57910652457628,206.1249226126065,190.22778335010787,208.18156806231272,247.09009060757253,216.41778934203188,219.76578499884408,200.4378288070297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,189.54218489123306,22.743190541206197,0.07041705322175065,185.35046921221175,249.48237264787141,161.93654883319147,188.7929671631815,178.04917712720345,195.2899586445623,198.57242417166535,188.74500479809342,167.33025548881423,181.87267082553612,0.02081564009241879,0.17265214597407125,0.15236337335541608,0.12683987992685578,0.004804088333446285,0.1244820025366166,0.06053183618033381,0.004254879505690282,0.00944076780238159,0.027985918510275966
9,171.1302883833375,16.118752739106274,0.1290105286420377,164.84581858573745,208.66865185390452,147.4784977522032,167.0025125427646,163.5090582169456,163.85136958737334,185.26696329607768,177.2907626669871,157.08057717770168,176.30867215368,0.14242036565698557,0.07461273623135675,0.03377312748646394,0.1149468093020872,0.10553711925106497,0.15822713584747025,0.16352181967196905,0.14235322158631877,0.160683471745072,0.19402947964158834
10,157.8354838254192,20.906042213237974,0.12905628030857597,164.84581858573745,208.66865185390452,141.8187269217954,146.29448754345603,132.32712283758764,147.7090507063659,168.39038797956883,173.51325790954655,144.2907377657377,150.49659615049185,0.1812481947176624,0.1239285236875785,0.0,0.0,0.1311286088338779,0.07026947484475338,0.19194723246621762,0.16415664009113043,0.20902910225578594,0.2188550261887537
11,151.18227700348126,22.37182120350349,0.10143448982780331,163.2857789403753,202.62828110360593,126.17838836678385,126.73205783004387,129.75180986187604,139.97297550525352,161.52788354003727,166.95826097060717,144.2907377657377,150.49659615049185,0.19870569955315043,0.03949856182963207,0.0,0.03667495637524541,0.06099102675295724,0.0,0.19510807755222465,0.16136904014049486,0.19566590318000596,0.12633163289432253
12,142.46679595841502,21.76497085402152,0.11176198192985203,154.69897989473358,195.04026024293879,118.76148727046919,126.73205783004387,129.75180986187604,121.4385070869883,135.47175262358977,157.7527519012396,134.5237567217792,150.49659615049185,0.14146673810486257,0.018985113505091168,0.11918361597468234,0.047817051161816074,0.05199329495009973,0.11210830005879537,0.2211121894027199,0.07039108985022903,0.1797934907049307,0.15476893558529356
13,131.55622762437426,17.90784744083464,0.10258294764556378,153.2948522721661,165.3315915926196,114.42493133932366,109.71053110857142,108.44537103508912,121.4385070869883,135.47175262358977,136.9251531344412,127.68411594238576,142.83547010856768,0.22034868975495217,0.0,0.12142362206709481,0.0,0.04148768077380146,0.14106636515853518,0.24763019970224717,0.05438820756897814,0.0927059021179897,0.10677880931203904
14,121.76721923772978,12.023905190834784,0.10614125894222592,131.36564421091495,138.4651283321464,114.42493133932366,109.71053110857142,106.92580206159711,106.9982963173852,135.47175262358977,136.9251531344412,119.26084377105191,118.12410947827604,0.11672802929904266,0.11376718941695263,0.08725138535110544,0.0,0.15160006700783704,0.13405529047557796,0.1500672798617143,0.16716196297221322,0.07125595964285537,0.06952542539496072
15,115.87073639935072,13.188463758885309,0.0799380150999002,108.77395753622758,138.4651283321464,109.54632663555297,97.28901051576852,101.79212098757021,106.9982963173852,135.47175262358977,127.11589378988727,115.13076777710327,118.12410947827604,0.08389460215812274,0.14199677887252637,0.019021395475998692,0.0,0.06415923486828029,0.10297170749951426,0.10126122984128672,0.05204826623399547,0.052887425394038345,0.18113951065523917
16,104.00566019001037,13.435296439512271,0.08190164278715753,104.85691095144482,126.8233250436705,90.45004844062998,85.32256667521152,89.86249035131249,95.15126729039298,116.16630270528478,121.63262590035076,102.41718242930621,107.37388211249971,0.10383957192538194,0.16340728971213858,0.12779644578393512,0.0,0.032248838367778546,0.025295365574321216,0.024105031094573123,0.014087664596443972,0.12083043685328819,0.2074057839637147
17,98.71490484886371,14.041815254251889,0.09541028083851935,102.60249062041389,117.72441702018486,90.45004844062998,77.07530763128128,75.62806464584645,91.90294771082587,116.16630270528478,108.66594247805337,99.55964512361689,107.37388211249971,0.1181522420363153,0.04996436149300293,0.03724574838167984,0.11549094949337392,0.12057537488993868,0.11836049753111239,0.1408608839449492,0.009205201367287776,0.03483765602824125,0.20940989321929226
18,85.8584493485271,12.53163086542748,0.06460494355880973,79.61292535456491,95.96075692662284,82.67566945669918,69.95305283342378,65.55684750183403,89.46730827139208,104.35278022127605,105.16780318991974,85.02674726259292,80.81060246694545,0.08827993590638279,0.002638617808452289,0.012441781841778373,0.021745465349915345,0.01843192846555821,0.022225744763455863,0.007820984925079148,0.12741513653314343,0.1376716709256702,0.2073781690686617
19,80.55263326347415,7.539153047516117,0.06946388312442045,79.61292535456491,90.27447697624235,82.59195948308054,69.95305283342378,65.55684750183403,80.8534325698187,91.69813901382282,83.20923309597856,80.9656633390305,80.81060246694545,0.18822306824134533,0.0,0.003890877444683803,0.0,0.0,0.0008947409063947443,0.09668629006209482,0.1016634135856718,0.08082723087529016,0.22245321012872382
20,73.75607003319126,9.894188798870978,0.06914877353464939,74.90048489666923,85.18489348578402,70.70860006057941,58.88161214346645,57.308888601778925,80.8534325698187,87.3231633370873,82.42761887430716,67.9967146063445,71.97529175607683,0.19360096716116282,0.0,0.003958800927299392,0.11400782726455776,0.0,0.0,0.0783558197632586,0.052230932059318856,0.04933211512425901,0.20000127304663742
21,67.17243119892744,8.768613966148743,0.05755631453697123,69.8279737588392,78.15524040370674,70.23004113986929,54.30560774203461,56.29068440265564,70.88049132802026,77.84565262255956,75.90280843325581,56.39864230111346,61.88716985721987,0.19855235521221534,0.03057898391119261,0.1328463428759219,0.036448184729490886,0.00022228129187627002,0.0,0.015024259413496825,0.04387870194829953,0.031073726466828912,0.08693830952038996
22,63.88363958902384,8.566633417387038,0.089704687752512,63.282273516781196,75.40251495738286,64.0149789270028,53.0284908554355,50.19689776041499,68.18237947384401,77.84565262255956,68.5973956184842,56.39864230111346,61.88716985721987,0.1792590140027692,0.12629966631085587,0.03158954260764967,0.00011118052992302747,0.15518031374890634,0.14440528501807698,0.0,0.15867039766184846,0.019421279792817964,0.08211019785227258
23,57.81401078949784,9.334774825232286,0.06434105772257918,57.7367168148108,70.42535595096345,53.587278192640156,43.88310737510379,49.31666317269695,64.1425283863423,71.84023369814592,66.35360418271489,48.26495721710682,52.5896629044534,0.060471686874052126,0.06198682982217297,0.0,0.0,0.14790374541968979,0.021757838797259472,0.0,0.14979213453304527,0.02931546417355366,0.17218287760601853
24,54.23887542486534,8.788827859188897,0.06643108878892587,57.7367168148108,63.50357049593159,50.96762882931853,41.01890329110661,42.07153530840083,62.19420188215235,65.3357076511494,62.16211749352788,44.808709577802034,52.5896629044534,0.13757731592734235,0.1548115022403232,0.0,0.006596931967603894,0.07771433214098851,0.0,0.019324651212515104,0.16073834621861408,0.013538021270406674,0.0940097869114649
25,49.42695907139161,7.34235247364993,0.08141600226724506,55.13262694182372,58.420923418695644,50.96762882931853,36.26680261503289,40.68687180524782,55.42607643268651,58.99299294665628,49.11802792305629,44.808709577802034,44.44893022359631,0.180630198479505,0.07392523471217778,0.11971315482811008,0.12059359116805707,0.028655776608019316,0.0,0.010070057396130514,0.08665901640938385,0.12469346129587155,0.06921953177519538
26,44.255815034450464,6.961624811313055,0.07818079760320865,45.71044537275173,51.611184085115404,46.17468583642663,36.26680261503289,29.971423710314475,51.49492251630261,50.02186814758316,49.11802792305629,44.808709577802034,37.38008056011936,0.07061156357173089,0.038036997150170684,0.10053076431405283,0.09399908511139003,0.01136468775414312,0.13598087481215065,0.10172394515429962,0.051511724869468624,0.10515544175901112,0.07289289153566882
27,41.02267938307005,6.023153373125616,0.08423331106354105,43.292129826097224,46.05469891977932,38.968645640017535,36.26680261503289,28.88259589273755,45.81678622159742,47.220366496351446,47.06683793930406,43.10673986219243,33.551190417590576,0.05362591086470197,0.026984634206714073,0.08847322918673592,0.04400723065740451,0.16341911053770047,0.11186207312676374,0.05602483813807546,0.028826482435348143,0.08193229576456798,0.18717730571739824
28,38.0634114856201,6.06641197984954,0.07926867466125825,36.22904696249057,39.15120293573217,38.968645640017535,29.878943712173403,28.88259589273755,45.81678622159742,47.220366496351446,42.0837083898396,40.90839808361021,31.49442052165106,0.04505875783539821,0.01671164367023333,0.07804002060084785,0.019284209715104347,0.18081465771608138,0.08382163785851565,0.011608154635110628,0.13196369240613112,0.11688389956080555,0.10850007261435449
29,35.67142424731576,5.812695628031284,0.07095749446206615,33.920433167711316,38.97880813034797,37.03236217140779,29.878943712173403,27.511931268129274,45.81678622159742,39.80066297216014,36.44123119341454,40.49576382321238,26.837319813003425,0.032387446742728664,0.03076717591627496,0.0531985761363848,0.0,0.14927189541804778,0.04373852047876137,0.11729802297072299,0.16280521026674438,0.09788685682279089,0.02222123986820555
30,33.45782131825717,5.396399159111693,0.06913613696689824,33.920433167711316,33.44702241237855,37.03236217140779,29.878943712173403,26.838467775336035,40.23879797116963,36.4418055674383,34.94832363877616,39.62139275696717,22.21066400921334,0.005350545449310584,0.006137230879441585,0.1401365466083726,0.13130412234911865,0.12999582937487808,0.012201840276302528,0.1343643545330828,0.044937119590461885,0.07597675523134743,0.010957025376666317
31,31.311854912853505,4.865648360423697,0.04049830648903525,32.5230052003028,33.44702241237855,35.47559508469386,29.415979544810135,24.312456794903117,37.916079204224026,34.33479714210952,31.973242806729754,32.68988318563568,21.03048775274768,0.0,0.10413468371528643,0.1296776283376599,0.10897147542432196,0.026877019538686164,0.0018469747241995121,0.02611530169865883,0.0,0.007359981451539631,0.0
32,29.375533831567953,5.2096051673529855,0.03149950939017199,30.203695068169587,33.44702241237855,34.94354302495849,24.027466525306977,20.88751748458194,33.67139626315613,34.164727109317916,28.689599489426584,32.68988318563568,21.03048775274768,0.13805536228531087,0.0767234259556994,0.050929335872139214,0.01666749687519031,0.018681986613054355,0.0,0.0,0.0,0.0,0.013937486300325732
33,27.408034010730137,5.003631759851381,0.052432460488098145,30.203695068169587,29.736596152298247,28.86480836305119,22.220468878631266,20.88751748458194,32.57148285799995,32.03134595790996,27.460726042784874,32.34681445281835,17.756884849055986,0.1375606911654065,0.11896593384564083,0.03341651606311603,0.0,0.019324417634912845,0.10497133845970201,0.00673287460598828,0.10335283310621497,0.0,0.0
34,25.672380605791382,3.988417920512467,0.05734354634090908,26.6900845735047,29.736596152298247,28.86480836305119,21.847711042572406,20.72240469293908,25.09018928984833,29.183393802269453,27.460726042784874,29.371007249589553,17.756884849055986,0.18087465483417775,0.11084551586337553,0.013623235734879112,0.009194887643144163,0.0077300314722923225,0.08895589903860265,0.0,0.0045040962424848004,0.012132032976427244,0.14557510960370723
35,23.564484928568223,4.175115191815451,0.06903406735230964,26.6900845735047,29.736596152298247,21.676050587680212,18.855641104476852,19.01792417707191,23.69031734206183,28.570950827177935,25.531053790587286,25.25652755164071,16.619703179182522,0.1695844647659375,0.09526688356189406,0.03235306910267252,0.11549640348857398,0.0009708563851419879,0.07926795201589204,0.011198773079612189,0.0036363028562991693,0.0,0.18256596826707308
36,21.82533813172042,3.7558766241352197,0.08674193620156746,26.6900845735047,27.02500895415284,20.47615846727458,18.855641104476852,18.0408471279581,22.17200306222464,25.14819342966408,18.13399839697746,25.25652755164071,16.454918649330278,0.19463625692939462,0.08190091527977833,0.028323336192704565,0.033273971715282874,0.13702230947922564,0.048439574732602346,0.022034595504375063,0.0,0.1306579508804246,0.19113045130188666
37,20.039194464609277,3.920506185188479,0.0690563186697856,26.28922692774082,27.02500895415284,20.47615846727458,17.09985090412651,15.17304155855194,20.389659134165484,22.60085449637596,17.0528754439042,17.830350110470164,16.454918649330278,0.09152392257424403,0.04035655135278565,0.12685251183059876,0.0,0.03000103036699144,0.015620740274818003,0.008120937212801941,0.0,0.17515464658473365,0.20293284650088245
38,18.594988173125255,2.979836681447378,0.05049248473641186,23.11363041234156,22.1049973040506,19.269758181024148,15.556354468201693,15.17304155855194,19.411555298144936,22.60085449637596,16.928833600495608,15.351102593292099,16.439753818774008,0.0378314478504702,0.001248038173347635,0.1329267101233413,0.0,0.029393207990901633,0.0,0.02902341635212562,0.016956639828655803,0.05734284744116542,0.20020253960411089
39,17.57045102229296,2.6771015706424865,0.05605085985773657,20.917293500654733,20.63094947254745,18.211861632277333,15.556354468201693,13.941006131550203,17.803264158573384,22.072216642883,16.124687069764637,15.351102593292099,15.09577455318509,0.024414584204978045,0.013702025514413007,0.13429298554311783,0.0,0.02463872404712852,0.0167673414891947,0.14640579509708448,0.14643704261028748,0.025348228061430174,0.028501872009731373
40,15.715765916628623,2.911239917031626,0.07812930301235235,19.28062756889653,19.408753840188435,16.159134842743615,14.821945419252977,11.119257643201601,15.508385457801706,20.062916423322836,12.331776221028486,13.36908719666493,15.09577455318509,0.016651362801285874,0.0,0.08257201884973789,0.11692109843718146,0.012446230412687472,0.12933251616122424,0.1293300847517878,0.14165843037559053,0.1375290350781786,0.01485225325584967
41,14.657691609615554,3.1771667813290634,0.04218456859924698,18.778783615935396,19.408753840188435,16.159134842743615,11.50053640344695,11.119257643201601,13.620915949061622,18.710172422163012,11.11446793094716,12.179482503912055,13.985410944555694,0.0,0.0,0.055338421384102214,0.04248740081501668,0.0007125230593317956,0.04234655643447282,0.15038230247389853,0.05077898270857384,0.06863543952061023,0.011164059596463641
42,14.011128764626452,2.4810801103963978,0.04916658389643722,15.008182210819529,16.713726795413294,16.159134842743615,11.50053640344695,11.119257643201601,13.620915949061622,18.710172422163012,11.11446793094716,12.179482503912055,13.985410944555694,0.0,0.13843950489011583,0.008278727301801922,0.01708899444558139,0.13339939243353932,3.047509521650113e-05,0.12662248043139473,0.024420253430583908,0.043386010936138565,0.0
43,13.335279351028635,2.324772196045815,0.06650198853585589,15.008182210819529,15.179431694149825,13.380221531414856,9.937215967058771,11.119257643201601,13.620915949061622,18.19618446762713,11.11446793094716,11.811505171450166,13.985410944555694,0.01587973538762186,0.13031377443865408,0.0,0.01972967774885337,0.03251436753906571,0.13704793849018954,0.15374366057395314,0.017106808932401057,0.024577634494275524,0.1341062877535446
