Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,534.7564023607617,47.806712610254436,0.0,523.9037648204419,595.8885888581968,550.411310426203,602.2691913686876,552.7961289959176,449.6948804712411,581.5230850107871,498.3655992166927,486.9932764601149,505.71819797933415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,444.6561381184566,58.03190806062832,0.0,437.9482663674327,482.7156688871266,417.1217582992203,548.9477857352896,452.112335868325,430.61035749744394,522.8212613218758,391.3428164195375,340.4900732299781,422.4510575583366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,378.23377190437134,59.47474097213121,0.0,391.46170817127313,401.13846347556074,395.86856535918577,479.6574720933065,399.57249186068077,335.4125078415997,453.13184863461754,337.24660785399215,309.3952355734326,279.4528181800648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,342.7692469062846,64.8173298279727,0.0,328.93121217394724,389.5395217363989,386.4874753138725,446.0218003681894,374.9556799088689,278.73350967947044,416.0957378785408,268.5939785290252,258.88073529446774,279.4528181800648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,288.65802301146914,58.29663722162318,0.005279656825261393,276.5332459588456,331.39728309611814,370.41905308436,358.6259457463173,306.0466443265386,232.48399976878218,346.84033751734154,222.77102973040533,217.67204833788637,223.79064254809666,0.0,0.0,0.0,0.0,0.0,0.0,0.05279656825261393,0.0,0.0,0.0
5,242.62992464984077,45.08895254844776,0.01821900862496632,240.06875703474017,276.0226120747034,311.7902227569125,285.60452938652236,250.84485365977164,190.73487338966032,288.6616210857454,205.7706415028675,173.25477206816782,203.54636353931647,0.0,0.08644489130930263,0.0,0.0,0.0,0.0,0.0,0.008077934556407535,0.08766726038395302,0.0
6,213.30545105427896,47.04827806750522,0.005949715618121326,216.27068104158053,219.6230498979623,274.45947705992523,285.60452938652236,238.37853806630378,152.70919329876787,246.62877719053355,187.3954933004624,140.6983121430329,171.28645915769883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05949715618121326,0.0
7,190.2286708097743,43.08721564513342,0.016719036752327433,201.46342116635068,201.26421481588412,255.55559554127908,223.30737305678605,224.3076549036591,141.65857837996836,223.79608284563827,163.00408449359747,109.10870521237815,158.82099768220147,0.047620976803036605,0.0,0.0,0.0,0.0,0.036447132661325064,0.0,0.0,0.08312225805891266,0.0
8,168.58804303941128,41.58970787668271,0.012078108846340332,153.3968479027773,174.83588477556415,242.84034546546727,221.1976371748494,158.59575875068992,129.23012836684464,209.48677691446358,155.24850846031336,102.82874715880149,138.21979542434164,0.04008209308666088,0.03145890101200001,0.0,0.0,0.0,0.0,0.0,0.0,0.04924009436474243,0.0
9,152.89350853092418,38.61252264737885,0.030901971814473246,149.28226423211245,152.00440070586066,219.18273776254026,196.42276940216834,158.59575875068992,107.04254872685466,194.00142058308666,139.7066591458598,94.62479030340847,118.07173569666068,0.027847792306958122,0.11329957288544282,0.1285349151082275,0.0,0.0,0.03933743784410396,0.0,0.0,0.0,0.0
