Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,534.7564023607617,47.806712610254436,0.0,523.9037648204419,595.8885888581968,550.411310426203,602.2691913686876,552.7961289959176,449.6948804712411,581.5230850107871,498.3655992166927,486.9932764601149,505.71819797933415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,427.1041630058447,37.76162739766031,0.0,437.8473782482892,468.69094563320266,409.8108086904872,415.09790086394213,415.3650376181508,364.5933103911326,510.4892065673427,408.96938283750484,403.5731077974709,436.604551410925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,388.60475798031104,29.24790783914005,0.0,437.8473782482892,421.6955975764783,409.8108086904872,397.5350053314189,364.8063699679485,354.6399152146955,363.4752684211705,377.16154237499273,349.05600063454943,410.01969334308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,364.14388321649284,31.197717718874287,0.005843418447877055,424.8378055752305,387.42490812602495,394.87850998718534,362.27093082911784,359.82909267694396,310.077487440079,363.4752684211705,351.2048870685411,326.18197330603493,361.2579687346007,0.0,0.05843418447877055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,298.52896228468865,39.38555357468007,0.0,366.8275869684618,251.19944803191035,361.0820332512437,273.4806845192568,263.3598511837372,262.5220788972276,298.3563277658327,299.34669050719583,277.5353935346722,331.57952818734833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,282.0075435123451,36.08700153082676,0.0,366.8275869684618,251.19944803191035,318.62687089707896,252.12513944313744,259.4187745379916,248.5328227317087,284.71111568730834,277.636631100996,258.32390691097277,302.67313881388526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,256.2254860618043,27.16384283526389,0.0,310.5005815994961,251.19944803191035,299.6629474429736,238.3434832583192,238.14875665188322,226.3904628004107,259.2922701304381,255.755163618833,225.0524359599861,257.90931112379246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,219.48748420987394,27.588810953804366,0.11716838424292146,265.0682092673554,206.38274857233742,248.23463345481053,224.43514068254848,169.56984322534908,208.6144036939672,227.31352369407475,225.75263937648583,181.3691842092231,238.13451592258744,0.07057641704765238,0.16997317630266429,0.06574751460227839,0.11530250598285628,0.051806620897318925,0.14083231098358406,0.11444326307810687,0.1519135635700622,0.1514052681572304,0.13968320180746077
8,193.15884426654907,25.934646042555322,0.01594115227131584,233.21849264491496,202.11465469353598,214.2703738532146,211.55252486489442,142.7306505487626,188.75426929940537,186.12735830494182,185.91455104712315,156.95455062316051,209.95101678553752,0.05632079012236528,0.034574289445237626,0.0,0.0,0.0,0.017366017523192317,0.0,0.02934147301762375,0.010589390824832302,0.011219561779907166
9,179.26116364844296,25.313913034559697,0.03160156248544958,196.80351763993588,165.5328109461234,214.2703738532146,187.59403633197888,124.29233531950987,181.90039423772203,186.12735830494182,169.18524244230483,156.95455062316051,209.95101678553752,0.0,0.0,0.04467205039882127,0.0,0.0,0.059910185085290564,0.0,0.11469665654961138,0.09673673282077261,0.0
10,166.22259118811002,25.102529697504846,0.05356670124519299,178.37935894605567,157.93756729740358,192.47368603078107,183.55347950986393,109.80949881678515,143.9630960312062,172.9354185201997,169.18524244230483,153.20729454872125,200.78126973777873,0.0,0.03774555321428905,0.0,0.1467316940575918,0.11427039498287334,0.0,0.0,0.05178293731149938,0.0443948725013166,0.14074156038435978
11,150.9067913179934,25.886138224257643,0.048449442049542504,149.85196392283103,128.859053325572,190.0753418725165,179.67047266359793,109.80949881678515,143.9630960312062,144.95722988351025,149.21088805527805,124.5722281445779,188.0981404640591,0.0,0.0,0.0,0.1418383596691251,0.055777823010667645,7.298754505094806e-05,0.11831325318742206,0.011353628464768393,0.0,0.15713836861839084
12,143.99763961627653,26.43086866000497,0.042965272177826565,149.85196392283103,119.78306794535231,179.50400948422856,166.5690006946401,99.1807202772575,130.8930604815234,144.95722988351025,137.9328646367354,123.2063383726276,188.0981404640591,0.0,0.0,0.0,0.14119093711442218,0.0011042020823272163,0.0,0.10449353710122389,0.0,0.0,0.18286404548029236
13,123.84251889359635,26.274425050491278,0.13132570174186506,147.6271819021288,93.08672789549956,160.28830216010226,149.69923936525208,79.66364292117329,119.63212000241505,103.91069167765788,130.11761198725898,105.21959539449865,149.18007562997695,0.15127694290644453,0.10674195624613231,0.11655008281242892,0.18972196973090408,0.07718067597510817,0.09945916058426256,0.13069732419412966,0.10950691336577277,0.13131238501658746,0.20080960658688018
14,111.80467595626615,23.0775316213802,0.04367563440470553,133.76529345440252,93.08672789549956,141.21717361236082,137.74945109249887,68.5492892947287,105.5828484631539,93.78270823293659,124.11414478466585,93.3216116399763,126.87751109243824,0.07659688081990826,0.03401948436854338,0.04804981571696936,0.09107156428692119,0.0,0.0,0.061882317486449755,0.0,0.045653775693474695,0.0794825056747887
15,99.34225243842766,19.86930633884422,0.039580615136892636,111.9388966031576,75.04090893671778,111.3826182072586,125.79278275747892,56.0785206914902,100.60545837404239,92.55639075275631,115.06087386130615,93.3216116399763,111.64446256009244,0.03427560359242064,0.0,0.11298072550136283,0.020626813492032978,0.0,0.0,0.0,0.09152702899980845,0.13139345311476489,0.005002526668536621
16,88.92445220949253,18.546708754939928,0.04735445894407538,95.5171307460003,60.72036648859958,109.60946289829093,111.4548954988107,56.0785206914902,90.78552756888345,74.86413966914616,107.81201859470825,88.17957087589821,94.22288906309757,0.0,0.07856094620085695,0.014087621128456133,0.0,0.0,0.09509758333667992,0.0,0.04051645933717729,0.11146372562616526,0.13381825381141835
17,86.76299027305939,16.86607383723791,0.04979282048302475,95.5171307460003,60.72036648859958,103.02935920932151,109.55607201375228,56.0785206914902,85.8875631489153,74.86413966914616,99.57429082437285,88.17957087589821,94.22288906309757,0.12814992530306682,0.033258234409472384,0.0,0.0028512350115707705,0.0,0.014690971631094228,0.11926683007183198,0.0,0.08634207601940659,0.11336893238380477
18,84.3043819266537,16.31285850784526,0.060789155084149636,94.86294751624898,60.72036648859958,99.45405289143183,109.55607201375228,55.67424878070528,83.39115163391754,74.86413966914616,92.79109261193487,77.506858597703,94.22288906309757,0.09564738720411026,0.0016300229817580777,0.0,0.14932178010962116,0.1403885101797505,0.0,0.08613840362209564,0.0,0.05468976520455094,0.08007568153960976
19,76.43177985500026,17.182122943257973,0.12913780176188533,91.93041023838255,45.42153877730678,92.23526486130453,97.03059521211279,49.67558262521435,80.29380649383945,69.3792084122321,80.1825647196836,67.51591893589816,90.65290827402832,0.13136928871137163,0.11879372446706252,0.11577549729490538,0.14904969895947376,0.15486427652151677,0.1194467142272141,0.15927799246015145,0.13915565352808582,0.03770177189453948,0.16594339955453247
20,67.43008405912408,15.310998080866238,0.055941106133952555,82.61195261861428,41.217105326898825,83.90714876873523,81.0670189118258,43.59389905591951,68.0781539605731,59.13817319235747,78.3426903043407,57.884706260224576,78.45999219175133,0.0477338263983071,0.022845009716582577,0.026984421306017588,0.04880560371484632,0.03690934096522148,0.0009504110059263619,0.04871901716736175,0.0782381401079655,0.14937668510339933,0.09884860585389749
21,62.663742632765,12.931561568413068,0.01740177625760156,71.55155231187817,39.63715574786693,76.53117514405021,81.0670189118258,43.33176922042317,64.44917695022521,55.0592315179554,70.12338716330315,57.884706260224576,67.00225309989744,0.02483188433860017,0.0,0.0,0.0003452892514053975,0.017662702726572367,0.0,0.0,0.027403725304448588,0.05111073572966835,0.052663425225320706
22,58.309411446589955,12.423327949898868,0.02319159370840238,65.27693795742907,38.52169930774946,75.1081054847997,72.61589779843021,37.96619691166785,63.190476004888325,49.471544618197214,67.93676952762587,57.348688474484156,55.657798380627845,0.0,0.0,0.13566974883061714,0.0,0.0,0.008413855352802249,0.0,0.006471406927916552,0.03094604381532004,0.05041488215736778
23,55.21639504962119,11.641760639195082,0.054550081302084864,64.44260617049909,35.719645668940885,71.75131630751748,71.75659977359724,37.96619691166785,56.91914157360649,48.907970081468164,55.43011537300089,53.61256025528592,55.657798380627845,0.0,0.13885525056679937,0.0987739506836914,0.0,0.0,0.115190591324595,0.0,0.0,0.14626003327115245,0.04642098717461041
24,51.9054691763166,12.519949577431012,0.1269022900406945,64.44260617049909,35.719645668940885,71.75131630751748,69.50250178313073,37.96619691166785,50.96931765918699,46.12341663202899,51.6641704030136,53.61256025528592,37.30295997189446,0.11731841982753273,0.10672623756028277,0.0918897931999921,0.12737840810191392,0.13512141088250607,0.09298011054722559,0.1511828295704657,0.14692823773723346,0.14557600020702188,0.15392145277277097
25,45.456409967106964,10.968655510935383,0.06424971016879681,51.89560866279782,31.962734641636725,62.69157231124843,63.80562944376767,36.50321980741403,50.96931765918699,37.5829051239501,36.88867976312848,46.721476267503114,35.54295599043626,0.1690478576321428,0.04549047043912046,0.06794861584585239,0.05513734128843296,0.04814082493526036,0.06689423667568861,0.041782611245820576,0.04997736267089671,0.03382269884822182,0.06425508210653147
26,41.929755734737235,9.266805467493294,0.11213348657389308,49.74602672229158,29.893216183582087,60.24821614217679,52.315457222152816,35.286288895132294,43.92735247412145,37.5829051239501,35.659949034563006,42.81849305021556,31.819652499186645,0.09819715026182994,0.028381538756544398,0.15614076330001223,0.14200636888382695,0.15024649973915763,0.14446519363371305,0.13369343221720895,0.12727786882509853,0.0,0.14092605012153922
27,39.245734463226654,10.510209806769325,0.0750004872275699,48.61632116961677,28.560301253216306,60.24821614217679,52.315457222152816,33.56133242285212,37.8731162823233,28.479546817844167,34.78029219472735,39.75126010327808,28.27150102407892,0.05496288707660445,0.11815172489364044,0.062410184194572775,0.05664936058924248,0.0575890317021656,0.048730063351616865,0.125437248841089,0.04924532678377045,0.12620745365188762,0.050621591191109316
28,37.68107578649976,9.392065666251534,0.04078327056891817,48.61632116961677,26.2951791599487,53.00812981445551,50.18644505397449,30.900755245677146,37.8731162823233,28.479546817844167,33.4285031938005,39.75126010327808,28.27150102407892,0.023456608053358932,0.08630299364568308,0.029975137189141635,0.015728730059515143,0.027102288828225338,0.02503597918293307,0.03622044984931856,0.01590353278156698,0.11896689917568769,0.029140086923751234
29,35.53164044154815,8.144618214364975,0.02442711823198736,41.382086886113925,24.268515602389847,49.09185933348717,47.624702766073575,30.900755245677146,34.81542139615793,27.434756402343616,31.7755456558813,39.75126010327808,28.27150102407892,0.011406442777974899,0.05708086312942607,0.020190635454842818,0.005326444961654599,0.0,0.0017859044231834736,0.014177477423107323,0.0,0.11788637051692047,0.01641704363276393
30,33.207677607044,7.148841917425884,0.0997130684130368,41.382086886113925,23.86746880535587,37.460868305186466,45.22831904539813,28.048052526872127,33.65278200110844,24.332201482813034,31.7755456558813,39.75126010327808,26.578191258432607,0.12319909143877258,0.026447405990308565,0.12352832025313458,0.13849268653721178,0.006275071760482149,0.13593455154927495,0.022079003971311083,0.1260680383448466,0.16337667724304467,0.13172983704198105
31,28.656936424673326,5.829347841719329,0.04501080490867732,30.844070831877,23.86746880535587,37.27253091045983,36.67290440858705,24.99150257334578,28.15704258924182,24.332201482813034,23.3775839999032,36.054055605426626,21.000003039723016,0.1352762271463816,0.1124106185772198,0.003589156255127542,0.03921717410845002,0.005230046850288558,0.04688464157962771,0.015323975052910228,0.025606895037540173,0.05385811473642925,0.012711199742798331
32,26.458321688158236,5.564151781661385,0.023562501917031426,28.56371824275896,20.144532796250907,33.12112693839408,34.15761777078533,21.256286862837598,25.251688794867643,22.653672772206434,23.150176322132502,35.2843933416259,21.000003039723016,0.03738385273218818,0.029227983973570938,0.0,0.00693575442692041,0.0,0.01732928273231498,0.11780405194322062,0.0028894069816270064,0.024054686380472125,0.0
33,24.4817858444207,4.678650512398357,0.02396533874103061,21.413147599349664,18.443712751828073,27.885249722170933,32.911829168539334,21.256286862837598,25.205835217723948,22.653672772206434,22.46529478067954,32.01364352052187,20.569186048349632,0.01566627187867125,0.0,0.0,0.13867061014871626,0.0,0.0,0.08531650538291859,0.0,0.0,0.0
34,23.093136427497864,5.146923507126782,0.0658370106053662,18.593018988136237,17.02745992537579,25.405947298349435,32.652643570639235,21.256286862837598,23.34085567435118,21.4509743468565,20.285829079079868,32.01364352052187,18.90470500883096,0.0,0.0,0.0,0.11997918198859994,0.12163379373782619,0.14451721470237675,0.13096195137878613,0.0,0.0,0.14127796424607295
35,22.354445074250968,4.444426810985535,0.10978561631249384,18.593018988136237,17.02745992537579,25.405947298349435,32.309547623657636,20.402455868622077,23.34085567435118,21.4509743468565,19.305916572789354,26.803569435540506,18.90470500883096,0.0,0.13967888440065354,0.1512890971730463,0.10551326671460583,0.16140738454386266,0.15060500979695923,0.11638181612798833,0.12918945180611416,0.02025456935926305,0.1235366832024451
36,20.32921073219557,3.9485200385404435,0.04211730769090606,18.593018988136237,16.77867724397406,22.789913426302036,26.268329059250856,19.873224584695702,21.815324353379626,19.208246034134817,13.546687068926513,26.803569435540506,17.61511712761535,0.014697000542585131,0.04120874031291484,0.0447964583507235,0.012624485304533504,0.021797696640664,0.04923082418856641,0.03606979627220151,0.02944911800500638,0.14740862309585637,0.023890334196008976
37,18.892385833185276,3.9395575539865253,0.05203869480325651,17.98554181251136,15.965019846849472,20.18134162109107,25.06378831872744,17.589900919645768,21.204876315019167,17.197177380580996,13.485332397205081,25.77640445262416,14.474475267598253,0.1431934229924421,0.012657855373958162,0.1521830763831668,0.0,0.0,0.022206249078940053,0.00124186473655207,0.011584083560818097,0.17471608624407203,0.0026043096626157964
38,17.023416602549258,4.236245098701342,0.018498920310593695,16.48918527721447,15.965019846849472,20.173766240843555,22.35596560272387,16.375498256202718,19.188675349090897,13.198391533318562,11.444007666775587,24.167343317279915,10.876312935193544,0.044129942908632494,0.0,0.05173639332553306,0.007965749523364433,0.011624809160648121,0.0,0.0,0.012380153447061084,0.05648949455123972,0.0006626601894580528
39,16.036718039145335,4.247558980136207,0.0469006530180303,15.34141588278994,15.293743641480573,20.173766240843555,20.43205161184784,15.437360118324806,16.507925501500694,10.762084647097613,11.444007666775587,24.167343317279915,10.807481763512818,0.13160097039139151,0.0,0.029359743685352595,0.12616773449539145,0.0,0.1485525771724398,0.01589892529581076,0.0,0.01742657913991686,0.0
40,15.325785901598064,4.041373823494618,0.024868982539936114,15.34141588278994,14.182410224407487,18.849838036331313,20.186021934279722,15.301302713984649,14.263468759104454,10.762084647097613,10.482455778387049,23.0813792760856,10.807481763512818,0.10016940373483153,0.020503881652341495,0.018278765396856408,0.0751288608928685,0.0,0.02566421938590995,0.00550384561422161,0.0,0.003440848722331643,0.0
41,14.176644029627932,3.2329324254256124,0.07699969250299407,15.34141588278994,13.827480007213788,15.521556359959199,20.1352201067254,13.564378695111044,12.79912396402334,10.762084647097613,10.482455778387049,19.00618802562661,10.326536829345336,0.06684287098426381,0.022282791533853652,0.027189318845149604,0.047073188640716364,0.1483982735883365,0.009811550674379214,0.1491887588572543,0.1401660116615308,0.017305278579977695,0.1417388816644788
42,13.187651188077075,3.036326938187235,0.05666532395714471,15.169585077723095,12.421251083182783,15.521556359959199,17.632571696920323,12.750889098507729,11.344735794077671,10.762084647097613,9.272249159157605,17.82953495710506,9.172054007039657,0.025131635204484606,0.15148393913069183,0.020536494043822615,0.13146778801001022,0.0563225688922769,0.018086787237669617,0.04705555101435394,0.06367913955220952,0.008537425350947748,0.044351911134980194
43,12.410438189313794,2.895387563881674,0.05613646975174387,11.935138109815112,12.421251083182783,15.521556359959199,16.285339184179918,10.975808961160032,11.344735794077671,9.550203455899295,9.272249159157605,17.626045778666644,9.172054007039657,0.0,0.1452712251198546,0.0037762112057873666,0.03409867234918677,0.030443988765719982,0.020191055633596938,0.12167481152416215,0.030321354844071526,0.1516024212040223,0.023984956871037084
44,11.652067785792012,3.1901609254742054,0.04552751564401629,11.656154361804226,12.421251083182783,14.816125601185844,15.631804283094244,7.875664226984279,10.438293661836997,9.550203455899295,7.598079636912546,17.361047539980248,9.172054007039657,0.0,0.1509568674613327,0.030565629068001525,0.01573638357637392,0.011005378670804563,0.0,0.0940457170782371,0.0,0.13913686237750636,0.01382831820790674
