Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,534.7564023607617,47.806712610254436,0.0,523.9037648204419,595.8885888581968,550.411310426203,602.2691913686876,552.7961289959176,449.6948804712411,581.5230850107871,498.3655992166927,486.9932764601149,505.71819797933415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,497.2936036755399,41.57543196267875,0.0,432.6025727550146,490.5158209616597,526.2572426910364,554.4795897847329,513.0288133609513,449.6948804712411,557.396200371867,498.3655992166927,444.87711916286855,505.71819797933415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,414.17495108691935,43.481680708589295,0.0,421.6061876329929,418.88947235768285,369.98799095650986,433.085018280177,340.97965423912746,429.5366916376802,503.41783710141414,369.4480561799601,444.87711916286855,409.92148332078057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,386.9813517660551,29.73255990364732,0.0,380.65605568383893,385.75836847669774,352.24693421491685,378.445360758859,340.97965423912746,408.03196633997794,451.5829595923325,369.4480561799601,407.1393015600627,395.52486061477856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,325.67594391425575,53.66900913271384,0.0,295.7031854231057,289.4720147339144,327.196107052096,367.15766965950843,219.8479639508046,278.19565402067036,418.39032709292553,351.3235847551063,339.329248895562,370.14368355886415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,283.0811945318614,46.75132197373481,0.0,264.9300512956579,236.69032441596636,284.20565750723745,250.03951812994887,219.8479639508046,246.65585381652764,380.3866449293534,319.27081700659784,303.94798361839077,324.83713064812883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,243.75735354077398,38.85319253290223,0.0,225.44366038094995,230.46510605325284,234.01469034773154,204.8404324667456,194.88769075881407,246.2027704878308,325.7381184437177,217.3846487147652,297.14884042259445,261.4475773313375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,223.8849148678586,42.039147428398984,0.0,213.89986258690172,220.52146704051134,232.3912968878362,204.8404324667456,184.06359114145312,221.483494015053,282.49897722937794,140.76547578492767,292.4878360884969,245.89671543728247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,192.871713298651,30.62917769719138,0.0,184.43783346616837,182.82293573861818,195.2451251587139,181.16617568502187,158.9903255755406,187.18573894035976,242.1515013225847,140.76547578492767,239.77102421907472,216.1809970955004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,172.32243615620342,34.57407798689438,0.0,159.76114070363278,143.91933764356463,186.48918436856542,152.45612445585482,135.63169709064076,185.19555203300257,230.00922713253973,116.65651714337116,214.03467821717805,199.07090277368417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,153.88216778382397,24.585778687673358,0.0,158.3640104028078,135.30235752374685,162.71228272087467,133.99953815172535,129.49132191860272,175.22968832512495,189.4507415331143,108.5458300335532,180.42409001723425,165.30181721145604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,140.8394617470031,25.92754264295146,0.00026165136530958115,132.47266874839855,105.98063811714492,157.2752610151165,122.02468975687167,129.49132191860272,165.29790998804702,189.4507415331143,105.2877011999483,162.18154846259932,138.9321367301877,0.0,0.0,0.0,0.0,0.0,0.0026165136530958114,0.0,0.0,0.0,0.0
12,126.73998908413971,24.05114059753451,0.0,113.13742621061269,100.73104991761276,140.84786609505818,106.01964598098375,114.68458994953616,147.34284373197974,170.74081853367855,90.38237731147046,144.58113638027706,138.9321367301877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,115.43586203459044,24.117000158608292,0.0,98.65395237044591,90.09751306594272,140.84786609505818,100.78267587737624,103.3245331250925,120.91965414203456,166.126422248598,87.39387019316291,136.9234504019952,109.28868282619806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,102.94141470023328,21.856320105399444,4.8600614456179956e-05,92.73814832325507,88.2336136416813,120.27220756518079,80.83943803411228,97.86311151859589,101.11181862307964,144.21503274523866,69.29347510816474,131.26932123982192,103.5779802032025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004860061445617996,0.0
15,93.00310527548717,21.2424286985041,0.0014455593727630272,69.75621931171514,73.05055916803313,111.86973714191406,80.83943803411228,86.07363572972356,101.11181862307964,132.410509501645,61.34046065173801,110.0006943897083,103.5779802032025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003414406768442212,0.0,0.01104118695918806
16,86.28443321159014,19.893343495230862,0.0007557488061533369,69.75621931171514,63.60050860015387,108.46637185123734,80.83943803411228,82.57925968219324,86.40330880819928,111.76505647090504,50.68619782846127,110.0006943897083,98.74727713921556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007557488061533369,0.0,0.0
17,76.98773584655854,18.135939090372478,0.0020410323765035704,69.75621931171514,56.206851546223646,97.48687486356017,69.49032403656109,64.37193852881516,86.40330880819928,98.14624373877896,43.39119985661038,96.47498767723383,88.14941009788764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016704173183513832,0.0,0.0037061505815218702
18,73.04638793253258,18.146641053033473,0.0016323688652359158,66.36372729663056,51.26097962337062,97.48687486356017,64.9473588405202,58.43520777453744,85.69225932233934,93.66895895297037,41.92696790538984,89.89022334922124,80.79132139678607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01632368865235916,0.0,0.0
19,64.89615388102557,13.121321736441153,0.00046897319803148387,59.80748225000871,51.26097962337062,82.79422970392854,60.623609253522105,58.43520777453744,73.4499147324407,81.27029070308582,41.92696790538984,80.0547764536657,59.338080410306176,0.0,0.0,0.004243214067741702,0.0,0.0,0.0,0.0,0.0004465179125731364,0.0,0.0
20,56.043233347511475,14.68401373422865,0.001260303264792656,38.58843879903733,43.889069059879645,69.3396545435947,45.64592816261485,53.57730373539515,58.02248349866808,81.27029070308582,35.87703925516289,74.88404530737016,59.338080410306176,0.0,0.0,0.01260303264792656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,49.05221481589119,12.54271047299056,0.0027472745662474964,36.022309880791525,39.40086847646581,45.53823291943037,42.75147709585759,50.476569862024995,58.02248349866808,72.43580795436856,35.87703925516289,68.86642118729557,41.13093802884649,0.000753543396580161,0.0,0.01334859832289676,0.0010474985191000327,0.010746734090629661,0.0011501512076895566,0.000426220125578797,0.0,0.0,0.0
22,46.09975639941136,12.058647844307039,0.0021271644506910023,36.022309880791525,34.383687426308335,45.53823291943037,39.79240866609787,49.22227159428573,52.893212986791816,68.09339979519984,29.504919900003713,64.41618279635799,41.13093802884649,0.0,0.003688285884701181,0.0,0.0,0.017583358622208844,0.0,0.0,0.0,0.0,0.0
23,41.31325439734119,10.035033193838029,0.0004686949357144302,30.33680143159252,32.48068105359053,44.47267905783769,39.79240866609787,33.65097061674618,47.6445633381828,61.60226021992772,29.38083502711749,53.261445466832846,40.5098990954862,0.0,0.0,0.0,0.0,0.004686949357144302,0.0,0.0,0.0,0.0,0.0
24,38.55619850011687,9.135952429450809,0.0025121371652212,30.33680143159252,29.02320259993722,38.67115823528696,38.47206014886135,33.65097061674618,43.39395753899001,57.144019211917964,28.146155390360363,51.382741267564946,35.340918559911195,0.0,0.0,0.01861640899639786,0.0,0.006504962655814135,0.0,0.0,0.0,0.0,0.0
25,34.31132520173372,8.8370487780287,0.00022394104829883045,26.420399103747158,26.98345101169051,34.797205455836675,33.70130578609082,30.510346126505723,33.7032262466916,53.78232255725708,26.251792743011915,47.719734867429835,29.24346811907593,0.0,0.0,0.0,0.0,0.0010858634658002285,0.0011535470171880763,0.0,0.0,0.0,0.0
26,29.86728787033448,9.5811043323237,0.0,26.420399103747158,23.445149486619318,30.208598309223007,33.63303355883883,14.627209498838809,33.31568264125522,46.748842605289326,20.073603697132004,44.33956548794718,25.86079431445391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27.654494146879017,8.037175037428547,0.0005933322879371957,23.287746105094755,21.433074440161025,29.338393410460878,32.6901207367945,14.627209498838809,29.53900815370745,41.70715900272182,20.073603697132004,38.8280326699822,25.02059375389673,0.0,0.0,0.0,0.0,0.0,0.0037846570991360382,0.0021486657802359185,0.0,0.0,0.0
28,24.619932808591393,5.5788446676983865,0.0017806243066103525,23.287746105094755,20.99163004671986,26.05881899742977,27.611814177862115,14.627209498838809,24.222855738492154,32.55663151140584,18.204642039297404,33.61738621687648,25.02059375389673,0.0,0.0,0.0,0.0,0.0,0.0,0.014942134684228225,0.0,0.0,0.0028641083818752976
29,23.193916323807155,5.214247968698347,0.003035858024569642,22.63602445427319,19.745343177477494,25.04487375977975,25.267284802643037,14.223108837291718,21.75788949476919,32.55663151140584,18.204642039297404,30.619994375889057,21.88337078524485,0.0,0.0,0.0,0.002401597043366093,0.0,0.0,0.008625229707621435,0.005817622475658034,0.0,0.013514131019050857
30,21.959548213025233,5.084381271444661,0.0010868368387329098,21.998112128722287,15.410940055981579,22.245184279219483,25.267284802643037,14.007232329920239,20.88744352142754,30.774678605666004,18.204642039297404,28.91659358212992,21.88337078524485,0.005221334906957963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056470334803711345
31,20.420044344723937,5.030228339260843,0.002326199174150861,19.904565350309053,15.410940055981579,20.266978971947545,23.582978739159763,13.016455682141867,19.929923297184203,28.14963853334092,13.957876441315296,28.09771559061429,21.88337078524485,0.0031005529408478097,0.0,0.009205024345966734,0.0,0.0,0.0,0.0,0.0,0.0,0.010956414454694068
32,18.382535225349585,4.709222819048926,0.001356313380007398,19.358103198605342,11.669463791995739,19.225302413719113,21.83285697629066,13.016455682141867,14.243188553150711,24.926828923825692,13.957876441315296,25.609675174119424,19.985601098332015,0.0016286550321285044,0.0,0.009316791147219531,0.0,0.0,0.0,0.0,0.0,0.0,0.0026176876207259442
33,17.030270880290637,3.7838887928715237,0.0021596780297546696,18.815843823449285,11.669463791995739,14.636374156033787,21.83285697629066,12.98444662883999,14.243188553150711,19.91133520853832,13.957876441315296,23.001152793984474,19.250170429308056,0.0,0.0007575104005303256,0.003186238399267891,0.002035850080496028,0.0,0.0,0.0060434190056373295,0.004353018756805285,0.005220743654809836,0.0
34,15.984159705965293,3.4842990086973695,0.002365817607251948,17.81943697318231,10.668306898687156,14.636374156033787,19.79022093894615,11.498844315580415,12.804378062414228,19.91133520853832,13.957876441315296,19.964061269594406,18.790762795360873,0.0,0.0,0.007702618739484616,0.0,0.0,0.0,0.0,0.00618781089465266,0.009767746438382203,0.0
35,15.316058256746937,3.4729896362618846,0.002923676378460597,16.26737600089008,10.613937696937645,13.468659080983022,19.692803234243698,11.498844315580415,12.804378062414228,19.91133520853832,12.233561572448737,19.964061269594406,16.705626125838812,0.0002948304136240807,0.0044216397668409655,0.011118313658522158,0.0,0.0,0.0008861443791487207,0.0,0.0019932000018986987,0.0,0.010522635564571343
36,14.14585080121139,3.3665901893963976,0.0011869713291914337,15.302680045544763,10.269211452303717,12.27450186401526,16.583923060844956,11.498844315580415,9.718390220619382,19.503066298846523,11.427153195393535,18.68911671190556,16.19162084705981,0.0,0.0011797283830776745,0.0,0.0,0.002813392652560647,0.0,0.0,0.0037939881487699047,0.0012036530284739186,0.002878951079032192
37,13.335605756917086,3.205215785145882,0.0024881000851248924,15.302680045544763,10.005146553332226,11.839898258401417,16.583923060844956,10.344196224174835,9.718390220619382,18.599833908411405,9.803529969501405,16.740242842304532,14.418216486035957,0.0024037631510178312,0.010137794720899934,0.0,0.007027660688277152,0.004820868421841415,0.0,0.0004909138692125883,0.0,0.0,0.0
