Benchmark,Algorithm,Mean,Std,Min,Max,Median,Rank,vs_Baseline,p_value
rastrigin,GA_baseline,1.287261e+01,1.896750e+00,9.464009e+00,1.542608e+01,1.314668e+01,4,,1.0000
rastrigin,GA_RL,6.466724e+00,1.495665e+00,3.783325e+00,8.275290e+00,6.447503e+00,1,+,0.0020
rastrigin,GA_UCB,1.005538e+01,2.006835e+00,6.124069e+00,1.222299e+01,1.086382e+01,3,+,0.0195
rastrigin,GA_Hybrid,9.777320e+00,1.838835e+00,7.450685e+00,1.352390e+01,9.501363e+00,2,+,0.0371

schwefel,GA_baseline,1.259599e+03,2.494249e+02,7.712249e+02,1.669761e+03,1.255747e+03,4,,1.0000
schwefel,GA_RL,3.891330e+01,1.417657e+01,1.239931e+01,5.928127e+01,3.937532e+01,1,+,0.0020
schwefel,GA_UCB,6.505739e+01,5.443302e+01,2.011938e+01,2.206036e+02,4.520109e+01,2,+,0.0020
schwefel,GA_Hybrid,1.006741e+02,5.852435e+01,2.799872e+01,1.796382e+02,6.764848e+01,3,+,0.0020

ackley,GA_baseline,2.780741e+00,1.242548e-01,2.559675e+00,2.946753e+00,2.793362e+00,1,,1.0000
ackley,GA_RL,3.364794e+00,4.312349e-01,2.757709e+00,4.218813e+00,3.214608e+00,2,-,0.0020
ackley,GA_UCB,3.592454e+00,3.232236e-01,3.320967e+00,4.489450e+00,3.488518e+00,4,-,0.0020
ackley,GA_Hybrid,3.526078e+00,2.904694e-01,3.000015e+00,3.833470e+00,3.586085e+00,3,-,0.0020

griewank,GA_baseline,1.422764e+00,9.467711e-02,1.288662e+00,1.611515e+00,1.408874e+00,2,,1.0000
griewank,GA_RL,1.447525e+00,1.996152e-01,1.177805e+00,1.989898e+00,1.418012e+00,3,≈,0.9219
griewank,GA_UCB,1.411326e+00,9.285401e-02,1.216148e+00,1.504287e+00,1.458217e+00,1,≈,1.0000
griewank,GA_Hybrid,1.475727e+00,1.213968e-01,1.207941e+00,1.662712e+00,1.474007e+00,4,≈,0.2754

