Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,413.63585824991753,26.152308904220828,0.0,428.5837890002514,414.81532213239075,407.94236138607664,431.8543641879905,387.86849795308575,397.05884216851626,458.08973241068486,447.01376004689894,390.6303986296724,372.5015145836075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,365.43333128428014,21.686861944018865,0.0,355.41186549250915,383.11200208744606,366.60607759113657,391.09978044903124,345.8813809567689,349.19779280394835,381.32199667248574,401.4758644150129,331.43868826356936,348.7878641108933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,331.45420694963605,21.20391582322312,0.0,326.4952702201843,343.2001144076693,313.6955118069751,337.7533738159764,298.1002091193826,322.8994050491572,357.68016261385907,369.21347770277026,306.507767234222,338.99677752616367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,305.7333268492693,23.660198042698966,0.0,307.3830532255289,313.569889690926,287.3242408960895,326.7032598259114,254.95153057862709,311.7978876377689,334.22448921909023,334.14947756926534,282.9665061615015,304.26293368798395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,291.74517167183865,24.210129298033372,0.0,283.34101294307084,313.569889690926,287.3242408960895,320.3723709265691,241.2475035711135,285.36491982943676,315.87456731485446,305.34443131267994,260.7498465456618,304.26293368798395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,264.14292282424077,20.356889614845304,0.0,264.9273199467774,287.0923719522558,266.6721087620854,290.3371242437528,227.16431387222286,263.70530488902557,276.72079892659536,269.50599903397296,227.33292893350878,267.97095768221044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,243.05116269313666,21.447854974641277,0.0,256.8536249837643,287.0923719522558,258.97201426988914,255.65713353166853,213.6721266314457,226.69687361017904,248.38593854626248,239.09851382417173,222.26548841596963,221.81754116576087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,234.85395717158,22.186527118178144,0.0,256.07288686250797,278.83464785365646,246.81201896895345,216.55496133704816,213.6721266314457,226.69687361017904,248.38593854626248,239.09851382417173,200.59406291581413,221.81754116576087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,221.3654182689632,18.152463709598646,0.06280710093779486,230.77662226325927,252.76188747180544,236.42742332801402,203.928481007598,201.6873436184601,214.89446760510688,244.5494027258662,217.0545273661973,195.31453901953654,216.25948828378796,0.06754064928693514,0.10334080574900621,0.07132148514874523,0.01839463436703292,0.0,0.13871235898243275,0.025480574753303637,0.050519175157195,0.09900116472695482,0.05376016120634282
9,204.38239230620582,21.312511660465702,0.04164915675032417,217.28454627164,241.78578920125892,219.1128580585138,184.39025296876017,197.38194971647337,195.0340594439445,226.67943117775272,206.48834225524303,165.3356373226311,190.33105664584056,0.0,0.1571779945023022,0.0,0.0,0.09327042100671902,0.05633674134811209,0.0,0.002829853893060884,0.1068765567530475,0.0
10,195.0687441399599,15.689550078049383,0.03806615602730622,199.08734671675592,212.93801176965593,215.3352122020077,184.0212172562106,183.5730345633686,195.0340594439445,206.4066240137558,203.97622489376118,159.9846538942984,190.33105664584056,0.09540882310947497,0.03290718400259686,0.07075515311886152,0.0,0.11988307262774099,0.0,0.06170732741438779,0.0,0.0,0.0
11,187.6245190293798,19.380934270606854,0.02874473755868525,199.08734671675592,208.69586499770577,209.6636246512686,162.0869223524754,167.10649829466828,192.8034999875929,201.64358429092698,193.95974157336718,150.86705078319625,190.33105664584056,0.0,0.0,0.0,0.0,0.031764186024476566,0.12157335936661096,0.001745355549824938,0.13236447464594006,0.0,0.0
