Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,413.63585824991753,26.152308904220828,0.0,428.5837890002514,414.81532213239075,407.94236138607664,431.8543641879905,387.86849795308575,397.05884216851626,458.08973241068486,447.01376004689894,390.6303986296724,372.5015145836075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,373.92237429387507,25.696399962198093,0.0,355.4919500634947,372.82625055033424,359.2194220224281,420.01143015365255,369.6569462351577,373.2160846092318,379.979892099486,417.03072483609185,360.6783607212563,331.11268164761697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,345.5567852803639,31.28083880699642,0.0,312.4075492060965,322.33517342750196,359.2194220224281,411.51625787891265,358.5470955977382,351.541434867605,365.7624801699636,357.7980540121596,313.6400061677704,302.80037945346265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,313.4359143915752,24.975125271633697,0.0,299.9862307349218,302.06048129938074,341.5581740113669,375.2169337013348,292.53798137452736,317.43025746230705,290.48245726256437,313.9050431689705,298.38120544691577,302.80037945346265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,294.3997375869552,21.45788614075198,0.0,265.2576211136255,288.23865380737186,334.6473464530406,326.15141655935855,292.53798137452736,303.0216908958776,273.17587611960073,302.79754256728836,282.3451951139577,275.82405186490377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,271.86438389860905,20.810981311924277,0.00919008450058908,257.18447405407,262.48787800073507,295.01790616510425,322.1549379389668,271.9160730662906,264.9035860602926,249.9511753367529,272.9969175111776,270.94015561355513,251.0907352391448,0.011294865159575777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08060597984631501,0.0
6,253.63980053085757,26.831413257075592,0.009666313685574485,241.33129613993984,225.81462514905928,290.42005487994055,307.96735897574877,271.9160730662906,226.95486975530022,238.2622151563263,258.0536517506679,246.99977361898286,228.67808681631894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666313685574486,0.0
7,238.1508322553521,27.38799321055087,0.015218279154038802,224.91975431572482,213.68380066981584,255.26988284649514,295.6329344711182,269.2141909686827,209.1684698249424,223.58068625726148,244.49553020774118,240.0858555042095,205.45721748752976,0.0,0.0,0.0,0.0,0.0,0.016157513951155233,0.0,0.0,0.1360252775892328,0.0
8,220.31376805870119,20.144693051707666,0.013390553118706272,217.08236565178697,201.4084542119627,250.1457164716221,254.93913950253597,232.33400112166316,197.7909182395698,206.33210480929546,232.16643436712837,214.76757405432886,196.17097215711846,0.0,0.0,0.06786958219369882,0.0,0.0,0.0,0.0,0.0,0.06603594899336389,0.0
9,205.38526032943224,25.586154117031207,0.02358988325204724,192.4639482807359,171.81916220938663,230.25532162519906,254.93913950253597,226.6597148224787,187.3525600078275,176.6930985723076,220.748367996581,206.01101832558697,186.91027195168263,0.0,0.07382558651370799,0.03176555980252991,0.0,0.0,0.018311330644408808,0.1119963555598257,0.0,0.0,0.0
10,193.737789731123,28.35441691869463,0.020684115919912958,179.54332913848458,171.81916220938663,230.18516310480175,249.58077147836318,208.40172737076585,158.71863918696272,160.04356843308568,207.84858389161298,184.32668054608365,186.91027195168263,0.005364132481162869,0.0,0.0,0.0,0.0,0.030654068258255854,0.17082295845971085,0.0,0.0,0.0
11,184.3491729168255,24.043996940939373,0.03854345999008453,175.82673963071375,149.82352902348674,220.45562427804646,223.79522003528746,192.80799640937568,158.71863918696272,157.20613528618802,198.06272021108884,184.32668054608365,182.46844456102173,0.0,0.07152261923883851,0.0,0.0,0.005299591633606049,0.029552718135818643,0.17061906135292834,0.0,0.0,0.1084406095396538
12,173.39478069664008,28.466065799962628,0.047245780100186416,159.46737123955734,137.32127766617043,220.45562427804646,223.79522003528746,177.7027472406062,155.4199841025158,142.12681649254793,186.76076471953445,154.7552281897749,176.1427730023597,0.0,0.06847647015331308,0.0,0.0,0.0,0.03511166567754845,0.1440597188824383,0.08554766817681801,0.0,0.13926227811174638
13,167.02505965232288,29.085016425970558,0.06749720948460783,152.6447977436203,130.68460705056435,205.63728904614686,222.49378778243354,177.7027472406062,140.46930194924158,142.12681649254793,186.76076471953445,143.89543810106272,167.83504639747096,0.1039855819406313,0.1038404618956332,0.063024514293081,0.0,0.004843523842575512,0.0,0.11198574239425896,0.08020324900940352,0.0890012169721861,0.11808780449830882
14,158.73009375605824,25.406760042843697,0.04288928446535708,144.49263627682888,116.64036834064899,197.49925731895294,193.09222392532087,177.04412741528984,140.46930194924158,137.40431905568872,179.23158423351111,142.8239911659241,158.60312787917513,0.09060816854651771,0.05979662804455062,0.0,0.0,0.0,0.011974443347031422,0.018573229151654373,0.020924889883361567,0.13883522796563066,0.08818025771482443
15,148.7233934136516,25.143113710772493,0.025796029806294557,124.72808956667006,106.98429794392015,181.14457641711778,193.09222392532087,153.4281234940446,136.25904062328846,137.40431905568872,165.13256251521304,130.85430055020012,158.20640004505196,0.08133556317150249,0.08241784928840966,0.0,0.0,0.0,0.0,0.0,0.07645505961208751,0.0,0.017751825990945932
16,140.5545305967574,24.084522355999994,0.05479387379354569,116.88900322353152,104.9743157981263,181.14457641711778,181.16005202303785,140.3121196613253,133.36153687380428,129.94305637018826,154.30488609472468,122.53603563385701,140.9197238718608,0.06223148671347553,0.06930771813812733,0.0,0.039026337236068416,0.0019008493504347943,0.0,0.11512524240971785,0.08719588923840778,0.08833081804819501,0.08482039680103018
17,136.15179696620694,26.09783496304369,0.03189171322041493,116.88900322353152,95.40724476463723,181.14457641711778,180.7318883585978,140.3121196613253,133.36153687380428,120.68575747044437,142.91590726054733,114.76734378090308,135.30259185116043,0.0,0.0,0.0,0.0,0.005221870019075258,0.0,0.044049163720327106,0.11742107515462276,0.10893407639654955,0.04329094691357462
18,131.59393317586273,25.503176473603535,0.051324655784397745,108.7189510735738,91.42107619045467,170.03831606751757,178.33216163557202,140.3121196613253,130.8329264273119,120.68575747044437,133.6396178243125,109.15845300978151,132.7999523983334,0.0,0.06738732340853432,0.0,0.0,0.0,0.10172271779031261,0.1318241835293014,0.07950043096319641,0.08227488735805505,0.05053701479457757
19,127.1955063446037,22.73091955924601,0.05116682844132174,108.07906088076305,91.42107619045467,170.03831606751757,159.1509576419208,140.3121196613253,128.54190225437728,119.6044352817041,123.19784184687623,106.9143594826462,124.69499413845176,0.0,0.11749553052346377,0.0,0.0,0.0011563118935933878,0.11651669757617163,0.0,0.08741962669638288,0.09925767033931823,0.08982244738428752
20,120.11572517793687,22.260706386816832,0.0918685201696289,102.97451031950686,85.15914087596695,160.97875601514036,155.63659945081866,129.18610723060337,122.46332984748227,112.39691776709631,109.9920663213428,104.15937735040768,118.21044660100344,0.10578791324195605,0.0674875567543953,0.19496127015034864,0.11174198045084421,0.0,0.1641977784792065,0.0,0.10360324215984096,0.07191260190057047,0.09899285855912686
21,114.73508890713853,21.344696819665216,0.09812697968748466,95.76671211021693,84.7663600891737,160.97875601514036,138.2648075132393,126.50133586947487,121.8197640345974,106.48073718544705,103.89934831355504,101.30546871152464,107.56759922901617,0.10340829332745131,0.10170559504774952,0.21468509326171706,0.16794053744253667,0.0,0.1798748950464457,0.0,0.115278983573264,0.09837639917568243,0.0
22,109.47617307782343,22.14404907103992,0.12079760007740119,86.4454685714822,81.0641605145816,160.97875601514036,127.28735587258598,120.39980002462681,117.7840943966755,106.23692999840969,96.91759728172954,96.30639305215081,101.34117505085194,0.1192604774870259,0.07816022117630406,0.25565276730962616,0.07770269879226253,0.10203087016229777,0.17413610318419426,0.147120267518535,0.0890007732799476,0.09960314444116475,0.06530867742265421
23,108.1179019475112,21.936077625611947,0.08872337783891109,86.4454685714822,81.0641605145816,160.97875601514036,127.28735587258598,109.91760689841144,117.7840943966755,105.22352544454844,96.91759728172954,96.30639305215081,99.25406142780616,0.13085810947603654,0.06942709658954165,0.2914883479127258,0.04689404136855406,0.06669486781316275,0.15143841976131586,0.02651071260563766,0.023337621252862675,0.08058456160927395,0.0
24,105.08235861618712,20.75185578700142,0.09072198849683621,86.4454685714822,77.2877765943835,155.45580914983577,120.00816959374768,109.91760689841144,115.08442770548365,97.5022880926416,96.91759728172954,93.1500332500826,99.05440902407321,0.12034941616494206,0.0,0.268374485809249,0.04261579506664488,0.004051152199688528,0.1558202092529943,0.15143653860766285,0.07750544311261863,0.08706684475456192,0.0
25,102.1744684213528,20.745642013937054,0.08814055962094262,80.09260995079649,77.07799194039904,151.29866801670866,116.91529446862748,109.91760689841144,113.47742779862241,97.5022880926416,94.48180197755084,93.1500332500826,87.8309618196873,0.0892245808063276,0.12595768351285996,0.2625444805228708,0.03729499550848942,0.0,0.15468202596994227,0.11572089713016409,0.0,0.09598093275877202,0.0
26,98.92928702592198,16.61221756756444,0.13457166932216058,79.07253364603224,77.07799194039904,134.27503630067733,115.79157463789772,105.08320929927217,109.28871652102339,94.090129646783,94.13738836503222,92.64532808241532,87.8309618196873,0.11792522907580948,0.18079893024702232,0.23250635028296313,0.027951756705133165,0.13896481765056237,0.17617920172714785,0.19438035111650168,0.08916356905136238,0.05535043643269841,0.1324960509324048
27,95.26498821479743,15.832308797217236,0.11329624801445211,72.41396400846548,71.96775301051159,128.24585462491382,110.41660148092751,99.37348863117597,101.7574913016372,94.090129646783,93.90830954145713,92.64532808241532,87.8309618196873,0.018040957616869444,0.12857861997350462,0.18398211926144706,0.023727457570652963,0.1863737099886868,0.14311828616234906,0.1913034437091223,0.08380438933378567,0.047472349474179464,0.12656114705392374
28,93.17004805178593,15.89200872194419,0.1105178865990685,72.41396400846548,67.4843922506821,128.24585462491382,101.97196892849789,99.37348863117597,99.85472641402714,91.15544218395493,93.56389592893845,89.80578572751605,87.8309618196873,0.11447390459068514,0.16208355624319806,0.16812807916726724,5.1878573635816155e-06,0.0936025289581752,0.17349624331726152,0.11138864679111135,0.01840363195287977,0.08261582472031159,0.18098126239243145
29,90.07882497592469,15.302620056638434,0.13428359573266382,72.41396400846548,67.4843922506821,125.48478773439678,100.87293144141853,91.09073447455583,97.06864017501908,85.67071253453307,90.15674225826757,89.3674228260125,81.17792205589612,0.08657555364469284,0.1556089672014596,0.16483466101713812,0.10949943907384543,0.15296489638426078,0.1827528018585977,0.1891213522559397,0.06323944355791948,0.08994333950735624,0.1482955028254283
30,87.53031144290323,14.783589949721657,0.10721641408290192,70.38449655171922,64.77650826126165,119.50400927529572,100.87293144141853,91.09073447455583,93.52339040599304,82.3841498934614,88.52765254055564,86.52788047111324,77.71136111365797,0.08148025271005253,0.15242633446414877,0.1709353384594852,0.0071532941524888585,0.13558002749462741,0.17675014753758736,0.1968317519313515,0.0,0.0,0.15100699407927767
31,85.35316696056358,13.804260144880628,0.10865661584802404,68.52475978889356,63.877891912423536,116.74294238477864,89.14350085157093,91.09073447455583,92.21809121566048,82.3841498934614,88.52765254055564,83.31058543007777,77.71136111365797,0.09272534320321749,0.16372580838809525,0.12504187073938514,0.0,0.14424402217027912,0.16657593097327733,0.11960604336425676,0.09741998778800671,0.0,0.17722715185372256
32,81.83436268719541,12.648969864197367,0.11730809829174418,65.64983322235224,63.877891912423536,111.7997636579106,82.75651471212325,86.61835974160815,85.41476098865806,79.96542878075041,85.14560674905172,83.31058543007777,73.80488167699843,0.12546671972845108,0.1595847891206301,0.08639253836681933,0.0,0.1983815286372416,0.16955211529219236,0.037051892830190024,0.06229294997211993,0.13003113455510334,0.20432731441469407
33,79.74130804523837,12.893623005211161,0.0941350943256532,63.790096459526524,63.55676130349531,109.40810085734338,79.58779674945515,86.61835974160815,85.41476098865806,79.96542878075041,83.50534177800205,78.92333591031999,66.64309788322461,0.1251833596315825,0.12979211654431577,0.1183179266750396,0.09807712358523572,0.09317670247947701,0.03875344185750066,0.0,0.11934352236170191,0.030384622288610736,0.1883221278330682
34,76.26919550749972,13.03673460726886,0.10382394427926518,60.196451927852536,58.861088204807686,105.067394692031,79.58779674945515,81.39963838653125,85.41476098865806,76.16854961601777,74.06965570083071,78.92333591031999,63.00328289849301,0.13550513861866267,0.14854217148957072,0.09966739673369167,0.0,0.1797754547889737,0.14904252463512133,0.14760392702371486,0.0,0.0,0.17810282950291692
35,74.49581500932598,12.519786790468434,0.12944741233926643,60.196451927852536,56.17204029610224,100.44552191038122,79.58779674945515,81.39963838653125,85.18658848479109,69.12178683028156,73.40191323904753,76.44312937032421,63.00328289849301,0.1484456503096052,0.15543101338356932,0.15404666190333494,0.10777805243978938,0.17050290303530458,0.15297509653735047,0.07086898163719836,0.136065958039354,0.0,0.19835980610715806
36,71.71275448309954,11.922995458604094,0.10750686679357617,60.196451927852536,55.097334932613194,96.06461651628032,77.19887918141228,79.4924864776666,81.55205053315413,63.961057072304044,68.55651421270386,75.47143202075372,59.536721956254866,0.1176515366595074,0.17461899866404876,0.024205426249148978,0.043623814186294727,0.17008105894449016,0.13626604904385164,0.2234695635905481,0.11533204194125697,0.0,0.06982017865661494
37,69.7257875756263,10.7313179916872,0.12556343982306228,60.196451927852536,52.89186863541448,90.45950437848995,73.86983007180743,71.896515124536,81.55205053315413,62.82698689529619,68.55651421270386,75.47143202075372,59.536721956254866,0.09882404664306788,0.14984616064996853,0.08283770850624797,0.10958430919342245,0.19880848123827716,0.12847425737036727,0.13033952000048174,0.1857096915647446,0.013096437946638981,0.15811378511740634
38,67.24615927245301,11.46121014452651,0.10637723874340388,60.196451927852536,50.84924177597185,90.45950437848995,67.18149464244178,71.0185093309222,81.55205053315413,60.44091145349668,62.27815689584014,72.85218377953757,55.63308800682327,0.05635402420034619,0.017500279318313567,0.08447177684663648,0.034211413504735305,0.15408822071727005,0.14793124686175252,0.07746531308368867,0.1513391584262439,0.1592681301171326,0.1811428243579194
39,65.83306109046886,10.579088808577346,0.08712327205723906,59.9055950722655,47.41987637453656,85.99048794670858,67.18149464244178,70.31606637442394,77.57389031967094,60.44091145349668,62.27815689584014,71.59104381848115,55.63308800682327,0.06338872154671592,0.0,0.13156701153435865,0.0,0.06693700588860203,0.07779825361924936,0.03605577175326571,0.16161757635453788,0.18328555851610623,0.150582821359555
40,63.44209570569433,9.618626934159721,0.08008159787519213,58.492873704782795,47.28560170262102,83.37932753108515,67.18149464244178,70.31606637442394,67.64044076132163,57.68078702523388,59.68818095161629,68.70932939261289,54.04685497080388,0.0,0.0,0.11346266175634111,0.0,0.042520021950222725,0.10375585280488976,0.0312852221551778,0.13898344986637964,0.18965956990229194,0.18114920031661838
41,61.90865113306391,10.272534553840297,0.11068704861596079,52.97780224556581,43.28208691999157,81.46125338624873,64.62766182252918,69.7743741079716,67.64044076132163,57.68078702523388,59.68818095161629,68.70932939261289,53.24459471754756,0.10538088332662793,0.15545046549952168,0.014686512761112692,0.0,0.1310253500013035,0.13648786532413854,0.007978798096495267,0.1291932045661215,0.22886781099032735,0.19779959559395943
