Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,413.63585824991753,26.152308904220828,0.0,428.5837890002514,414.81532213239075,407.94236138607664,431.8543641879905,387.86849795308575,397.05884216851626,458.08973241068486,447.01376004689894,390.6303986296724,372.5015145836075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,365.43333128428014,21.686861944018865,0.0,355.41186549250915,383.11200208744606,366.60607759113657,391.09978044903124,345.8813809567689,349.19779280394835,381.32199667248574,401.4758644150129,331.43868826356936,348.7878641108933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,344.12633887477335,16.091320482145026,0.0,338.0075028234237,361.42400210077767,348.1316553336744,366.6408209311884,334.27605575531663,329.55463178552407,364.87512895672035,352.84692411406326,322.4551413288224,323.05152561822285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,316.24225762000395,14.310678458717389,0.0,316.4145949931916,335.96989031490193,327.15913334252997,332.7703305723865,309.2045406288724,293.63893694972666,319.7455296136849,313.5223614066068,290.94573275991615,323.05152561822285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,289.1588101498913,22.03256903944462,0.0,300.94751231333356,316.07140628858014,310.71338726804737,299.2052123646812,288.8739434209449,244.26568685353388,266.3628309636639,297.81242937317603,264.23549141955965,303.1002012333922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,276.4267497069865,18.51968139895146,0.0,270.96202845112157,290.3260846288547,293.09105424101324,255.5301800328661,282.9300203773393,244.26568685353388,266.3628309636639,296.04334111181583,261.6560691762653,303.1002012333922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,262.88258100598534,21.980849642065017,0.0,258.4292267046409,275.1941719845935,293.09105424101324,255.5301800328661,271.232631902191,244.26568685353388,245.67563483224166,280.2979657994942,217.45092317855693,287.65833453072185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,245.36059889178188,17.539344160231977,0.07791782443013055,249.29837659045143,262.03157304773765,240.71993399776537,243.15442179374355,239.47341575274254,236.5941936114768,233.67806149795544,278.4473422117762,210.5752653584448,259.6334050557249,0.03169685035220058,0.0,0.0787655531642396,0.04901836344212544,0.115825220003788,0.1283069866699311,0.0,0.0,0.18741053980174852,0.18815473086727233
8,229.2696548356032,21.120327196819733,0.07024438090736054,239.89255944610952,246.19157921517905,240.71993399776537,216.40000030172473,239.47341575274254,213.51599921056436,201.2934944093454,244.65978772341202,190.9163732434645,259.6334050557249,0.0,0.0,0.1459458954414322,0.0,0.1246955974722242,0.04482342308259514,0.0,0.020315017423650442,0.1007530037930058,0.2659108718606978
9,218.74712023324597,17.82595768454863,0.06410667098029361,224.40999638196658,234.47595883932155,224.24123430137186,212.32857527749428,198.32938273191274,213.03619028152036,201.2934944093454,244.65978772341202,190.9163732434645,243.78020914265034,0.10636435602973619,0.0,0.013937296277659952,0.07533845387972773,0.0,0.1204758546064473,0.0,0.0,0.1620970661280062,0.16285368288135865
10,211.21491362430106,18.929323949088282,0.03393124377471103,222.30121955079602,214.79265596262667,224.24123430137186,212.32857527749428,187.10551337653754,198.58199422207147,200.82313817316955,235.09418265814705,178.09148762119037,238.78913509960546,0.055832573769971756,0.0,0.0,0.0,0.0,0.023961668820730066,0.0,0.0,0.18100501959891874,0.07851317555748968
11,204.562720345521,17.8605524378152,0.03800678284892731,189.28142545971878,214.32359424005045,221.9709759839194,212.32857527749428,187.10551337653754,196.12091801270327,197.33811981173196,231.63889509521445,172.82019094418206,222.69899525365773,0.039781733475089606,0.0,0.0,0.0,0.0,0.009235396312720539,0.0,0.1536439736512805,0.11367948676507669,0.0637272382851058
