Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,413.63585824991753,26.152308904220828,0.0,428.5837890002514,414.81532213239075,407.94236138607664,431.8543641879905,387.86849795308575,397.05884216851626,458.08973241068486,447.01376004689894,390.6303986296724,372.5015145836075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,397.3584045739954,19.274755412996694,0.0,398.76729862526304,413.9771321273665,405.7721693245032,420.36951280095343,377.1395021304579,397.05884216851626,417.4848450151029,399.4455609099799,390.6303986296724,352.9387840081382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,370.5842955720535,21.603439124133573,0.0,398.76729862526304,398.6018295408905,370.2314682907752,375.2489450872087,349.2725425893902,390.2361325728333,372.2696972271305,369.1996258587834,356.3577248404772,325.65769108778335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,345.7741505757127,21.781128353962306,0.0,377.79848224223093,367.8649605058425,336.2865298368729,346.19909419225985,327.6774631166325,365.62398736238305,365.35443476537034,342.2060576479337,309.377510718928,319.3529853686741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,321.9541326538919,16.4650015246597,0.0,356.31499821152573,324.68570222639323,334.81863343419184,315.2458444237314,311.4512460671716,339.2275013853396,303.5852877918793,323.64063627364624,307.2512281297999,303.32024859524074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,296.057931662944,20.050234829098958,0.0,331.21162636457717,300.38998836420984,304.8243720946659,299.8968104236579,298.35164386218537,324.3806507544761,279.73937909034885,282.2664532805926,273.41967376154446,266.0987186331823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,278.7960433983648,22.392902002410636,0.0,324.3953561294471,294.8778927889674,265.37000900577715,260.7876166355826,281.44498823571246,306.74266463855963,263.62652606630957,271.2926376981273,273.29518995962167,246.1275528255434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,257.7988115685897,15.09939080587191,0.0,300.0142304948568,254.67089417585896,254.9286331996888,260.7876166355826,260.4665489316407,256.73027229348367,242.70823868949392,250.71564677433568,250.83848166541225,246.1275528255434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,240.69855401532786,17.540503163057156,0.0,282.0613856707668,241.68857222414553,235.12306216614036,231.27246857266326,240.31118235426413,255.61843569345666,242.70823868949392,239.99920583160738,212.5920962935224,225.6108926572184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,226.2669126765913,15.762003077682046,0.0,260.6858002452153,240.28441310504996,229.77096790024532,225.65340107168373,214.03764545220085,223.4013335415865,224.57689319590537,232.1481217008838,199.7954592989019,212.3150912542406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,213.4494609145757,17.524244420023642,0.0,245.55182780522722,215.05080411008754,212.23210842144687,213.9005802686621,192.63033069099106,223.4013335415865,216.87521777035948,229.48212786054108,179.03582732957676,206.33445134727793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,200.19963369585645,11.48164850094063,0.0,222.0692540908458,195.59765344247273,201.8124547845809,198.79093256340045,189.29344457856433,205.3844927636282,209.636612132418,205.8344069468058,177.09605344126953,196.4810322145787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,188.58467078410143,13.951082659692108,0.0,218.38414413087588,181.50695206829124,184.03302798984961,174.06422583050957,179.90977278100792,192.28281208416473,197.26377852108573,205.8344069468058,173.81093902746775,178.75664846095606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
