Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,9916.823604849907,494.1270545346732,0.0,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,10581.291837870223,10567.45460315172,9578.052713572646,10614.438690943205,9213.312834768247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9136.944446842148,434.050078598074,0.0,9244.840776351553,8851.176219986717,8521.266245046772,9196.323640381708,9479.068068815075,9489.641791351827,9638.860795741266,9002.779009381651,9621.90345509405,8323.584466270853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8427.469550216552,507.57566775057927,0.0030906175557498276,8118.758778536557,8253.824019323485,7481.473851660299,8804.124788718946,8933.01659188065,8991.171208841253,8690.760202840745,8067.693701740794,9032.128718980113,7901.74363964269,0.030906175557498274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8109.147304802793,422.5632312235759,0.09001371737402,7936.14373494415,7972.046002387941,7481.473851660299,8714.859118560502,8505.677927569986,8412.990874895326,8255.148365135105,7640.098794764312,8578.505282338028,7594.529095772278,0.1282332243656668,0.06244372810265795,0.11826296657860726,0.02291267085139831,0.04738680938615193,0.0947512430668245,0.06697703125984382,0.15175191401401608,0.08561530621699505,0.12180227989803832
4,7784.184171260664,442.8211814849554,0.04005307822668082,7697.920965303874,7686.300489701811,7362.649392844652,8220.029183570969,8212.970743318194,8160.781278179712,7042.775755973651,7529.507684948903,8498.778549246388,7430.127669518498,0.16556845413608423,0.029110666884925276,0.04513379704702519,0.0,0.00925670466297566,0.0,0.0,0.09970788689986049,0.00783783429624344,0.04391543833969387
5,7244.062590782798,415.95805670555376,0.0,7196.571410957991,7567.373338392563,6674.2812548592465,7377.352917583871,7618.341863038019,7689.291964117204,6696.644963887405,6886.5810006905585,7859.517268723053,6874.669925578064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7152.275028415924,460.50713037620216,0.02075096194532098,6957.691074546946,7464.250827939437,6486.66476960419,7365.748140846636,7575.332587014523,7591.047774425947,6461.246914789879,6886.5810006905585,7859.517268723053,6874.669925578064,0.0,0.0,0.20699860019360988,0.0,0.0,0.0,0.0,0.0,0.0,0.000511019259599905
7,6911.157361244135,394.45235508039843,0.027875769079465974,6957.691074546946,7102.50576183905,6106.833312567899,7068.859145304526,7267.285883382486,7244.171996086303,6331.319865284893,6837.733790549685,7411.034632042032,6784.138150837534,0.022421356895680037,0.2336205794391723,0.0,0.0,0.0006259111622546944,0.0,0.0019415536647016103,0.0,0.01273625173687674,0.007412037895974322
8,6482.044225998086,451.1771502766476,0.17495111332568702,6424.341720760519,7050.813753423602,6106.833312567899,6830.1893534655765,6740.51023588,6647.396404152709,5532.926652337772,6181.816610901516,7042.271394832611,6263.342821658653,0.18285492966819078,0.26317321414066414,0.0,0.0,0.2432504097169464,0.2041962937019206,0.27399418787777474,0.14706903781915423,0.20589191952590158,0.22908114080631772
9,6263.87545363614,550.3357113454557,0.1911870245118222,6017.836784079672,6994.6197180811305,5721.236006800941,6645.959728668575,6740.51023588,6348.488826843362,5237.7880388741805,6181.816610901516,6956.1917787293005,5794.306807502728,0.21239046185803082,0.3525990784095189,0.006557058190186602,0.2432596385261544,0.31193745043550997,0.0144375772600473,0.03220559867164022,0.24584882719955117,0.28307442323713483,0.209560131330448
10,5896.763975265176,430.35280483779627,0.2229577159867374,6017.836784079672,6222.533206373466,5721.236006800941,6222.440022556776,6239.477718259301,6097.51861715873,4787.932674065695,5728.140662951069,6256.205680192956,5674.318380213153,0.0474100163079463,0.30813794931578636,0.02704610062285336,0.2479858191143474,0.238210504852127,0.19826208404428336,0.30381113401060966,0.40338307740989876,0.19762528270098845,0.25770519148853355
11,5634.922322903327,500.9637676537041,0.27088495551084024,5994.756951739353,6222.533206373466,5605.443942682031,5599.87831851873,5827.034976548106,5593.246488422559,4416.7814531820395,5296.2325853566645,6256.205680192956,5537.109626017358,0.255807338487364,0.31109187833318275,0.25503393368301736,0.3161581646666544,0.3057181945140832,0.2255651143568178,0.2918781625691741,0.23868384158622635,0.15867924465746516,0.35023368225441714
12,5437.707093065931,567.6363429504913,0.2563718585905071,5881.191304340207,6222.533206373466,5512.616247462717,5420.839697936831,5574.609828352821,5424.218099440952,4416.7814531820395,4850.36971460172,6236.13548617416,4837.775892794403,0.33235075173019824,0.23177081098250568,0.13627571785608805,0.26401769283150084,0.2776576711321886,0.24005495174202926,0.3596723400124947,0.19946051447666704,0.3011983870913144,0.2212597480500842
13,5205.819331949379,554.9295708970737,0.25536784821687075,5511.570350092589,6033.605201877897,5280.804082625512,5173.094999352254,5574.609828352821,5424.218099440952,4083.967077431096,4486.582148111017,5651.965639415263,4837.775892794403,0.242068535566985,0.4137403147504063,0.24664754955517793,0.23459757644057994,0.32057563861884286,0.3720810856336019,0.29861956485408886,0.0,0.22278513830468152,0.202563078444343
14,5060.921628851853,482.3952992833417,0.25201116085072867,5511.570350092589,5841.76002828379,4993.091580191797,5173.094999352254,5230.003211835787,5167.163026141887,4083.967077431096,4461.63662969701,5341.14212204559,4805.787263446726,0.28230659013631065,0.028484264617826174,0.30824335164904104,0.34914495190913925,0.4027612678337483,0.27371979814939845,0.31142414717974726,0.0,0.24737824948131124,0.31664898755076454
15,4951.202328762051,451.2708608119523,0.2632164310484704,5487.092116546514,5690.226557407427,4839.327243011867,4890.823447908355,4963.6458449767815,5003.552928867082,4083.967077431096,4461.63662969701,5341.14212204559,4750.609319728788,0.15439354114855575,0.2531465099879104,0.3334311795069137,0.35264987095772965,0.30703515601573406,0.2656729395693072,0.3812312262444725,0.0049961354765440755,0.19789925163232913,0.38170849994520767
16,4831.4853710308635,443.45065987998584,0.25501763996455457,5142.552702204581,5648.8466204907945,4522.258277160548,4890.823447908355,4962.811720081156,5003.552928867082,4083.967077431096,4424.407362979849,5224.49636510983,4411.137208075341,0.18047134434811832,0.2690578057194053,0.35345403485353233,0.40610527137924457,0.30268441322685347,0.15589810729912643,0.40576527216491987,0.26037118620575167,0.0,0.2163689644485936
17,4702.237203856877,472.0078029322389,0.1847197574453009,4819.48185376652,5646.059769560643,4522.258277160548,4709.99609396929,4784.247611490588,4932.482534617891,3988.5544997351462,4130.7542023606,5186.821410483493,4301.7157854240595,0.0,0.22115687313291185,0.37904263700445756,0.3102339864557835,0.3656296075145077,0.11388996070714288,0.3178342636371542,0.024898748124691183,0.0,0.11451149787636024
18,4522.687226025579,482.5669299333956,0.19751252620558316,4556.255960933166,5480.743161749407,4522.258277160548,4709.99609396929,4555.832316461261,4932.482534617891,3672.460902143339,3946.1450425671082,4681.629727296246,4169.068243357529,0.0,0.27875592127254145,0.3845763995698164,0.14730777834717396,0.24634071567176344,0.27498167835120335,0.35994829717469423,0.0,0.25403733443903004,0.029177137229608806
19,4418.124554411959,425.048273469389,0.14706802905007849,4453.811063539386,5218.450359855247,4247.611982538943,4621.446308251614,4439.829421506434,4799.031295134866,3672.460902143339,3946.1450425671082,4681.629727296246,4100.829441286409,0.0,0.03749923164000204,0.2467616369274409,0.3351073554393689,0.23491225678625183,0.03361205690833665,0.2170875973631927,0.011633606934208495,0.3540665485019831,0.0
20,4266.3595796380905,391.117704497716,0.1881496483119141,4315.631609752554,5045.766932888673,4247.611982538943,4197.360001412953,4315.822109771683,4677.893072521105,3672.460902143339,3811.775212372302,4482.700940199196,3896.5730327801557,0.22182091206366236,0.0,0.2900206480269449,0.39487738716274956,0.059569550307128544,0.2150221346754521,0.37611406273605297,0.007208988755087683,0.31686279939206285,0.0
21,4130.401670504483,423.4201593307382,0.11085383316031723,4116.266795125242,5045.766932888673,4166.951299741897,4103.6003916827085,3991.0971538210088,4550.57803229453,3510.1038798625596,3811.775212372302,4349.240410388984,3658.6365968669197,0.3028483903074443,0.019321706096368997,0.035877850868629095,0.0510443243348974,0.02683267081425288,0.2643074139493224,0.05205317331343988,0.016565591340028777,0.3359190328905385,0.0037681776882499767
