Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,9916.823604849907,494.1270545346732,0.0,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,10581.291837870223,10567.45460315172,9578.052713572646,10614.438690943205,9213.312834768247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9136.944446842148,434.050078598074,0.0,9244.840776351553,8851.176219986717,8521.266245046772,9196.323640381708,9479.068068815075,9489.641791351827,9638.860795741266,9002.779009381651,9621.90345509405,8323.584466270853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8748.693205431337,358.8917451532258,0.06352599218834469,8676.87066918124,8635.62018645201,8111.501997394527,8677.504980898608,8966.766375064175,9042.23547065406,9292.284424243615,8711.82731340267,9144.752874219153,8227.567762803315,0.0289471930797653,0.003645789684624297,0.0,0.0,0.07269633424059921,0.2012693676550404,0.12202690156684505,0.07153014249473136,0.03599265243292858,0.0991515407289127
3,8214.826936107174,442.98689769369463,0.07498869820189705,8151.221080221174,8041.031490548957,7624.170702659759,8284.365159361187,8441.603530986376,8714.498198386365,8740.132172512009,8118.938387051043,8690.406567080725,7341.902072264127,0.0,0.0,0.0,0.0,0.02699835728405233,0.34511408498037727,0.19031055433859118,0.09768274752962207,0.041198096008107865,0.04858314187821986
4,7671.372407820098,482.7636437093611,0.0,7871.205935144014,7578.112975435922,7217.383562505784,7631.059279013302,8010.871805063063,8083.22768388624,7888.532459732889,7568.717668127392,8331.57253549581,6533.040173796564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7476.961575998522,520.702172793873,0.0,7850.251557012054,7497.6278824703195,6942.128495147596,7507.043772475458,7876.854125886505,7561.211055768807,7888.532459732889,6833.776314050321,8279.149923644705,6533.040173796564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7166.173866409447,458.90872009048064,0.008892480683396656,7510.235414751701,6988.0016657261585,6580.813879727869,6965.649831768534,7754.474249238986,7363.013017935049,7326.479916891129,6722.412292118305,7917.618222140192,6533.040173796564,0.002385270165427498,0.0,0.007328788880170336,0.00908973048394276,0.0,0.0,0.03509030955556919,0.03211765120300841,0.0,0.0029130565458483637
7,6700.381223744689,455.4479586582475,0.20601248270874536,7096.657621577251,6694.670605833954,6087.296132028711,6482.228083736869,7230.614206810436,6971.842415411427,6718.794499737178,6233.1901341328185,7421.201434292325,6067.317103885929,0.23695982694498693,0.22464493877977162,0.19475443951200055,0.1964567809152503,0.19223546434504243,0.13491629289167478,0.1287283223496182,0.2438227390738418,0.21742129959233358,0.29018472268293355
8,6481.182906266304,577.245533315199,0.09435024626208068,6753.246773027614,6394.881565505814,5782.201449593561,6040.855082533551,7230.614206810436,6911.798972504402,6522.827814352701,6197.972299424389,7421.201434292325,5556.22946461824,0.04209604605767077,0.09274604867314953,0.01837066250762045,0.06366830376480287,0.2867628473482394,0.006059709451886042,0.026563752716733408,0.1370864256354244,0.25062137819641195,0.01952728826886782
9,6225.023927306755,509.7076074911492,0.18228993040304378,6189.012229436447,6349.933582745302,5516.598169463152,5979.44023958058,6922.109032789846,6622.91064530269,6018.6892253327605,6002.012502912295,7119.277334076029,5530.256311428453,0.24503764642900713,0.23741472881879006,0.0,0.053639998275068934,0.0866656781808731,0.17563319890020307,0.23642349869733406,0.3367173764344956,0.16997925864410526,0.28138791965056026
10,6045.27924170536,424.07072405733396,0.16070439132003592,6189.012229436447,6337.585298055433,5516.598169463152,5774.004879561817,6527.791303804006,6274.092045456045,6018.6892253327605,5522.2291545299595,6762.533799985531,5530.256311428453,0.3000086577281454,0.2645089467083589,0.004771227771809619,0.05349583024976819,0.06449016169281908,0.0,0.2514873215516029,0.37305432852838516,0.0,0.29522743896946985
11,5908.696981050016,521.8675214993414,0.16401213176412183,6189.012229436447,6127.614436105148,5212.516934552833,5630.769007033079,6527.791303804006,6274.092045456045,5699.808196651868,5132.575546046747,6762.533799985531,5530.256311428453,0.3663095627012516,0.309872216443737,0.24115567483873362,0.2765309401390227,0.06791066251361527,0.0,0.0,0.03694922294061157,0.0,0.3413930380642468
12,5839.87064204526,481.1783667892807,0.14432393577818145,5963.295252902086,6127.614436105148,5212.516934552833,5630.769007033079,6423.15392422938,6160.76633793808,5670.675006675645,5120.122047163785,6639.064169583638,5450.729304268923,0.28891434176886593,0.2565280718235377,0.256935918767876,0.30435386377353113,0.07748861422840685,0.0,0.0,0.0,0.0,0.2590185474195969
13,5444.594603959719,517.3254605485408,0.2532137944271344,5556.754334390265,5942.60458475892,4931.204879074213,5287.1804959373585,5889.129949407954,5965.512709732889,5365.463338028525,4512.673580864409,6121.395998758197,4874.026168644465,0.31944913912696715,0.2681727563401376,0.21829943936869645,0.238201296933126,0.21774144908266121,0.23201210650820214,0.21864511584475446,0.23564201637283755,0.2095863263265466,0.374388298367415
14,5352.618635730687,517.4090842444963,0.28411857680101055,5556.754334390265,5783.9907991568925,4757.475411584076,5165.639259281897,5889.129949407954,5739.074440145174,5197.320493237532,4512.673580864409,6121.395998758197,4802.732090480473,0.3610587260976244,0.3168965112609587,0.04508066092335357,0.059199178053660956,0.3035896236223928,0.27100053484331743,0.3444243247468656,0.3218201135888938,0.3683374889893472,0.4497786058836917
15,5200.204018718447,510.46174324475635,0.20231323295556733,5556.754334390265,5309.332985599382,4757.475411584076,5009.756971985347,5796.880865489044,5664.889196981135,5191.101981910295,4377.237030888302,5870.438166976113,4468.173241380502,0.36121206746775075,0.07367296374065385,0.023249014234471687,0.30528629739885077,0.31902250563568335,0.29156840491981173,0.36359458851086135,0.05415820457182182,0.09354363025427423,0.1378246528214936
16,5032.356917953443,524.3435636996812,0.12280498067951758,5377.623026095442,5122.39002476399,4401.767269988021,4671.83940630114,5566.319630895736,5606.863566998928,4860.917815246263,4377.237030888302,5870.438166976113,4468.173241380502,0.028165155387785055,0.026983730722603846,0.22337962278689266,0.19162545568664419,0.0399211640873896,0.32564946884890256,0.20155559833302883,0.0172541363696815,0.062052550922439775,0.11146292364980798
17,4970.623093325704,500.8868754508259,0.10389893551889187,5362.215097100658,5063.8951382108735,4379.372852605941,4671.83940630114,5318.006977465122,5606.863566998928,4661.81845507752,4377.237030888302,5796.809167228048,4468.173241380502,0.0,0.006325133824955412,0.2131246623048026,0.22188532956494492,0.0,0.29091945531276564,0.12678601980344142,0.0,0.039570119604693574,0.14037863477331508
18,4885.167920703195,517.1239176827354,0.09138491063706669,5281.986575710278,5063.8951382108735,4379.372852605941,4671.83940630114,5318.006977465122,5346.393091007407,4201.800572973127,4339.750598928387,5796.809167228048,4451.824826601627,0.012828503463803074,0.005090294408189322,0.2204546232037101,0.2424068455708833,0.0,0.0798905300452289,0.17568791411983603,0.0,0.0418442376248197,0.13564615793419654
19,4630.2719278144605,495.6408156206027,0.2727200041384833,4974.815811726276,4705.361083999638,4090.2615420590064,4398.192677814457,5129.718619571852,5184.200157533112,3978.7607917261303,4175.446996361063,5431.720969289347,4234.24062806373,0.2729952136269989,0.24714419722868622,0.23791946019726704,0.2993153462275359,0.2613249985346305,0.2707255512297544,0.28027571644459415,0.3060131311586973,0.25396696464649876,0.2975194620901695
20,4490.461435148024,510.85350508881794,0.3269983826034014,4966.030968786668,4628.171145529396,3688.877166173186,4398.192677814457,4869.891562228497,5090.653628108299,3978.7607917261303,3992.65006927767,5216.432362332818,4074.9539795031233,0.32275515185450704,0.25573567351518944,0.34389720264121265,0.3371083544543961,0.3005657543487288,0.3210501850157352,0.31405172765276074,0.3792677430651746,0.33143000127757105,0.36412203220873873
21,4357.2845299372,501.66995096300036,0.16817851042351042,4658.860204802668,4490.499552989209,3534.81565959364,4398.192677814457,4869.891562228497,4748.185042962021,3978.7607917261303,3831.232046360099,5176.892756857751,3885.515004037534,0.062396880188682655,0.026673455226713015,0.11903790586244119,0.2748448243420974,0.33197427380609207,0.315146050771241,0.3240958594359342,0.05527611260018836,0.07788023847302558,0.09445950352868888
