Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9
0,9916.823604849907,494.1270545346732,0.0,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,10581.291837870223,10567.45460315172,9578.052713572646,10614.438690943205,9213.312834768247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9364.183682915787,440.71064209705037,0.1,9633.5959518163,9417.67892656035,8201.28912662578,9269.12387478938,9386.904854429235,9626.61679730277,9734.257052320816,9578.052713572646,9751.557911121006,9042.759620619592,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8983.921520621432,420.4299729797717,0.23028091540427065,8925.637464907704,8402.285668552518,8132.0428456782,9187.887109698642,8980.615805128242,9414.546227437058,9190.05793082566,9578.052713572646,9208.813318360744,8819.276122052903,0.0,0.0,1.0,0.3028091540427064,0.0,1.0,0.0,0.0,0.0,0.0
3,8561.404956582608,334.5488435024579,0.0,8625.038906030792,8064.120059646439,8053.778838308842,8752.284521570344,8804.366447172586,8573.003831425454,8337.025294410909,9233.173541121912,8662.47552009187,8508.78260604692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8114.800805042141,435.7695125472725,0.0,8625.038906030792,7958.073413861082,7028.553471607631,7921.948401505376,8196.82972795923,8497.023122759892,8244.146341138108,8300.12678279437,7886.252475405174,8490.015407359762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7622.05512439256,368.90579906162344,0.0278146353742938,8333.156489862162,7679.18927188306,7028.553471607631,7662.092300757105,7995.305455376408,7404.556080325499,7159.695409417349,7884.983395413275,7452.925099719638,7620.09426956347,0.0,0.0,0.0,0.0,0.0,0.0,0.278146353742938,0.0,0.0,0.0
6,7134.262979716407,304.81507026760016,0.0,6715.741887625793,7024.2458980717,6722.132807480808,7476.432258360504,7372.50943719176,6889.040434519084,7067.322482284713,7669.616013558271,7339.825418350519,7065.763159720925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6767.552741766131,428.896688582682,0.0051336544034908775,6537.9696189248425,6666.462318895545,6577.874180233762,6892.544487759774,7073.560609775161,6686.558393764701,5911.02479956858,7669.616013558271,7016.569053451414,6643.347941729261,0.04677145629949305,0.0,0.0,0.0,0.0045650877354157255,0.0,0.0,0.0,0.0,0.0
8,6485.246508848168,350.7747938100959,0.013109717913577767,6455.642035297014,6666.462318895545,5999.592893025917,6532.185288877043,6882.03266714607,6364.328050454985,5911.02479956858,7158.017544985496,6456.2097300417245,6426.969760189305,0.0,0.0,0.06770385262540542,0.0,0.06339332651037226,0.0,0.0,0.0,0.0,0.0
9,6316.026726631254,356.086939913136,0.0,6239.655015091046,6640.93007146196,5958.778477771905,6532.185288877043,6384.390340561622,6268.900767939562,5887.522125157086,7120.660909525364,6155.465679558662,5971.778590368286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
