Benchmark,GA_baseline,PSO,DE,MPRL-GA
sphere,7.0055e+01±1.66e+01,1.4880e-04±1.31e-04,3.0372e+04±5.16e+03,1.1286e-01±4.84e-02
sum_squares,1.2702e+01±2.78e+00,1.3333e+01±4.27e+01,4.5079e+03±6.15e+02,3.1502e-02±1.58e-02
rastrigin,1.8528e+01±3.02e+00,5.4470e+01±2.02e+01,4.5549e+02±2.22e+01,5.1385e-02±1.49e-02
ackley,3.0742e+00±2.77e-01,3.3228e-03±3.77e-03,1.9944e+01±7.40e-03,7.1168e-02±1.51e-02
griewank,1.6305e+00±1.50e-01,9.3294e-03±1.25e-02,2.7435e+02±4.65e+01,3.3432e-01±7.52e-02
rosenbrock,2.7060e+03±1.14e+03,6.2093e+03±2.24e+04,6.1967e+07±2.07e+07,1.2068e+02±4.52e+01
levy,3.3669e-01±5.98e-02,5.7937e-06±8.50e-06,1.2751e+02±1.93e+01,2.0059e-03±6.77e-04
schwefel,1.5460e+03±3.73e+02,4.0167e+03±5.33e+02,9.7241e+03±3.59e+02,1.8252e-01±7.78e-02
styblinski_tang,-1.5079e+03±2.53e+01,-1.3650e+03±3.03e+01,-8.1383e+02±5.70e+01,-1.5666e+03±3.15e-02

Avg Rank,3.00,2.33,6.00,1.44
