Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Div_Seed_0
0,454.1406333692495,0.0,0.0,454.1406333692495,0.0
1,418.62322348188553,0.0,0.0,418.62322348188553,0.0
2,396.7050059129961,0.0,0.0,396.7050059129961,0.0
3,378.8428988286123,0.0,0.0,378.8428988286123,0.0
4,344.70745561087455,0.0,0.0,344.70745561087455,0.0
5,344.70745561087455,0.0,0.0,344.70745561087455,0.0
6,328.3752135998597,0.0,0.0,328.3752135998597,0.0
7,290.628553022115,0.0,0.0,290.628553022115,0.0
8,290.61029990578777,0.0,0.0,290.61029990578777,0.0
9,280.63653783439537,0.0,0.02402060389387389,280.63653783439537,0.02402060389387389
10,229.80767740910198,0.0,0.0,229.80767740910198,0.0
11,215.25274820475363,0.0,0.0,215.25274820475363,0.0
12,200.14833240165456,0.0,0.0,200.14833240165456,0.0
13,199.423362315999,0.0,0.0,199.423362315999,0.0
14,192.95652824668406,0.0,0.0,192.95652824668406,0.0
15,175.9646785808793,0.0,0.0,175.9646785808793,0.0
16,166.6565773709823,0.0,0.0,166.6565773709823,0.0
17,166.6565773709823,0.0,0.0,166.6565773709823,0.0
18,165.0439421435313,0.0,0.0,165.0439421435313,0.0
19,154.2340621215447,0.0,0.0,154.2340621215447,0.0
