Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,20.39756854179615,0.18107628643405718,0.428235349064202,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,19.94084197920388,20.30809930739267,20.439675903655683,20.306937744752585,20.17394926223074,20.40876656773501,20.44235222056023,20.473781468352097,20.677784874570413,20.45725698466976,20.51144898551175,20.041581175996335,20.428225680629925,20.14531298328589,20.18362062228306,20.070916649273396,20.404468108742613,20.30875815952624,20.599417108221996,20.435841339594568,20.586149977247242,20.60216781868604,20.38841933562962,20.48285306450684,20.546160718640756,20.450137042825528,0.12685251704391654,0.18944705643393614,0.19027800943785853,0.5675025586623357,0.42491419541124886,0.5418848506332651,0.4054652651915693,0.4462177950011248,0.5577817980832681,0.75,0.3672734613030612,0.27987193965682494,0.75,0.13189788171073,0.75,0.07706439125723853,0.4043266404670217,0.6725263989449017,0.4347350260250127,0.5,0.4535966436043337,0.47224479020417603,0.6124748321053232,0.5086873992539864,0.3732351125701386,0.39304315849156124,0.22697308002412397,0.5,0.2970741139825389,0.44169155642656177
1,20.1740247914201,0.15896297424900938,0.2345414262489672,20.40042601509753,20.247826926438062,20.28650063656641,20.12681991990946,19.94084197920388,20.16534485796338,20.278487804665193,20.306937744752585,19.770807691000112,19.954345777739427,20.06837984415265,20.434052607052557,20.25799637507897,20.322046617450358,20.186252139110966,20.041581175996335,20.308614572902542,20.02623872147808,20.18362062228306,20.070916649273396,20.072161713120064,20.30875815952624,20.291612766948678,20.13157279791942,20.114271445401542,19.862738273545173,20.38841933562962,20.13354998340576,20.324286339801716,20.215334249189926,0.19528932622538914,0.2755253144321064,0.33806918834921384,0.27169036112716094,0.25011479623726296,0.3882960578447985,0.14542948553940208,0.28260605268229866,0.26531812206785577,0.267653979710007,0.30874195373004615,0.14263918269973225,0.25195032423609076,0.21525920049615455,0.24307947281245693,0.2146858995607257,0.186894799254852,0.09964495023859253,0.4003217011912462,0.3290144383050053,0.14162584988290983,0.15121907559809206,0.15235469790684916,0.24922656968835424,0.24036936754770571,0.14820677168325896,0.20335957471770433,0.3253438182878441,0.17447974505822772,0.17783271035767137
2,19.866698227951282,0.1788670629656505,0.1406638438253339,20.062490984315513,20.078462199259516,19.87021676256015,19.86344481843044,19.35300629488636,20.025432951720465,19.87991419816327,19.784625340200066,19.770807691000112,19.954345777739427,20.06837984415265,19.878584275212326,20.031099287457014,19.905884536430683,19.652851691597856,19.729613487067837,19.986604779645024,19.780031965427064,19.617636741348836,19.477149130478228,19.94390917039776,19.860990190410472,19.820124505244966,19.810288156899848,19.938602281598037,19.825109865389404,20.206440887387572,20.007160782697486,19.772470443192226,20.045267798227908,0.11605469369402568,0.20386626840278582,0.15027345248716148,0.08296079352741509,0.16944749569817974,0.09153751417075234,0.0392087105655125,0.159119441594116,0.08709005801958539,0.1683781622162932,0.18153181410254,0.2731698181829826,0.11718619724430267,0.06763704684956365,0.11751085535591843,0.12629461487665836,0.06103388913076187,0.11324383093501045,0.25153764411505847,0.16780617355175706,0.2321553615311943,0.16909014165487454,0.19118002276114676,0.03808707106834835,0.13268358176907882,0.13418055376147114,0.23911208975352038,0.0620874006336867,0.04907933340218325,0.2273712837041308
3,19.463865263673785,0.3101936137101164,0.1095771065114564,19.79313388812609,19.41665224486055,19.409866283742367,19.31564496758137,19.114310480688506,19.327383638919112,19.61604133034419,19.69818246276363,18.29566334927193,19.899260031791535,19.360984984648773,19.753991300848238,19.63182605052983,19.648528091129286,19.60024014273356,19.517953814249406,19.64814469986648,18.864230669337456,19.190320702493793,19.28167232755863,19.6911675969353,19.506356538001693,19.6126504733544,19.521965800622194,19.518995083423686,19.315625942738503,19.893897902490554,19.480651141288888,19.437825718036635,19.552790251836836,0.08505112342912577,0.057764781049946874,0.030572978961373946,0.11447901882578207,0.11658566104073845,0.13500821276382624,0.08708462457464691,0.12179397226567504,0.14732259838915795,0.11965105301322267,0.030183659494959447,0.12737881187942113,0.08606176813087472,0.100021018910542,0.072373922757467,0.10674110250790156,0.16624615022311756,0.13806219944884476,0.15656734869223632,0.10177082804965479,0.10272952496585977,0.17953776934463483,0.07364552515863598,0.19055835327324305,0.12140159039201953,0.0688399764376614,0.11909166286829778,0.14249853005260255,0.1005595745760082,0.08772985386621421
4,19.08137480711075,0.3063161406775346,0.09270055837386783,19.4028158642455,18.96102451858173,19.212158580846204,18.96047449923696,18.571499572079574,18.96890851795872,18.749727035352556,19.046126194606625,18.29566334927193,19.481116666666644,19.360984984648773,19.332281832619053,19.104151719278086,19.357357289650057,18.781135804204226,19.07899204605405,19.342007163196953,18.864230669337456,18.81087637224649,19.222294999598578,18.967377444698872,19.098659846992035,19.266538673456882,19.040957794800047,19.230027703765238,18.38526263480464,19.527319811340128,19.480651141288888,19.233413091579873,19.307208390915626,0.05551565058015932,0.08086402115214532,0.11183022365808057,0.06818362236844569,0.11816181547714523,0.0925741682151997,0.06953322065570369,0.12533742118945768,0.11565563486745589,0.05645843078682165,0.10170420980817751,0.20833452843824593,0.09896357046571845,0.06511443346683372,0.05879447424320567,0.12129822885552514,0.041468380050054515,0.10008956141754394,0.04521901328047928,0.09362578705556407,0.1082893803453614,0.07961036885668404,0.06972116934794682,0.060890400630799785,0.08172083066380728,0.14352619556188467,0.14103102006993332,0.07551406228894467,0.0879008727914268,0.1040860546272831
5,18.547735244489953,0.3334355342765158,0.08146750461915807,18.637081092086788,18.96102451858173,19.113420320479563,18.529344710837034,18.079509999753217,18.414857553597795,18.522032293302203,18.92168316247644,18.29566334927193,18.47783323574889,18.416853387892978,18.467756823349298,18.62589041800774,18.39817986462232,18.51495700226943,18.69574381449044,18.72667942336301,17.999958195393518,18.68115724747612,18.603749502245627,17.94542048222921,17.96338115390817,18.507441587388154,18.543101254488057,18.849136093409882,17.85735322599789,19.16172053797032,18.97160537154447,18.653644160940747,18.895877551575467,0.06315978508824475,0.07802809753851621,0.03425757501341593,0.13707859896421834,0.030596299901049,0.10032944516567832,0.09151534117569576,0.08750599583551591,0.0705029742051435,0.07896529684551182,0.13415876788940473,0.06438168606419037,0.062481923786494864,0.09542477076181244,0.07844193096488884,0.06718602863862315,0.0749926658619341,0.04394706754070558,0.0991793902121783,0.09631491215283548,0.09742738197377589,0.12684040844389882,0.09008630074797255,0.0680116086603132,0.06565495943216199,0.07862890393701139,0.11824465881920304,0.04096921415671253,0.07915155842457552,0.09056159037305973
6,17.948257560282517,0.5932193495125943,0.06816673493200597,17.756989085511943,17.765004415350155,18.56521984533671,18.037391332488145,17.991871215170253,18.321994546727723,17.60142909322431,18.210221192448568,16.768954529727356,18.24603878632548,15.696710488757054,18.467756823349298,18.469762229050975,17.18934614386843,17.827089241010846,18.541756703184237,18.156243859051695,17.999958195393518,17.949112136047855,18.330947631959145,17.94542048222921,17.96338115390817,17.97847959615535,17.19481645931814,18.611500647045677,17.85735322599789,18.34700695991693,18.025713667235415,18.10197872982974,18.528278392855256,0.04588165873504474,0.08691830696524484,0.025718873004714923,0.032726161478332086,0.030028010658453362,0.10619269197493358,0.036672934493708176,0.12350045120340455,0.1115249002577544,0.08877068372239764,0.09669025709725614,0.026833742594645084,0.02344139992390993,0.04715734293006053,0.08128005019516385,0.03727699713104266,0.07437048580151358,0.13138569383739787,0.056464411939735046,0.05130017566551351,0.03714205096975041,0.06495053275262155,0.08117556907741852,0.12588300297209243,0.030014293694905644,0.07293984806556103,0.13038083309918846,0.06166500044904363,0.09992560423741792,0.026790083031952884
7,17.506745511709255,0.5839262050883438,0.07228704888718225,17.452167042391835,16.75833618797971,18.40393096416628,17.821897162350663,17.289817401780862,17.731553780945486,17.60142909322431,18.050609496322384,16.768954529727356,17.57405444016781,15.696710488757054,18.262241640705085,18.469762229050975,17.18934614386843,16.67550802526675,17.575476727481643,16.881052033730867,17.520286539293174,17.40639920669428,17.491681198264068,17.543039699389553,17.185467744263185,17.95736380001601,17.19481645931814,18.008484882442712,16.909003303588488,18.106877240819983,17.84063988687341,17.833068248265114,18.002389754132007,0.07564375935044858,0.10204183298291308,0.09742236814214043,0.07554423136234098,0.0866862175254437,0.09135153453685578,0.0698093744327003,0.037991872378254535,0.05539078364694489,0.043711587984967916,0.06836460675976076,0.0767598455434834,0.05039226999790085,0.069978052056425,0.06652923549422958,0.03132168185946015,0.03572070300232772,0.07434658203259432,0.09497846111993742,0.09988241516046623,0.052874334320217646,0.13630765275023055,0.03843653918864083,0.05841144669707004,0.1058311405879005,0.08838243836956922,0.12145375484661654,0.04012897902821844,0.05723706948597382,0.06568069597143494
8,16.94575088278257,0.4681643395676901,0.06816685287953403,16.97563980119899,16.372220704492715,17.819485346275034,16.957977470628272,16.90613016835688,16.521477050166062,17.02706433232962,16.919935086261763,16.56848731672304,16.502514442082788,15.696710488757054,17.317068170828406,17.30678473599574,17.055046652113244,16.40957136096213,17.575476727481643,16.881052033730867,17.20770909394508,16.52868686831585,16.805021546550098,17.309568689713803,16.497849690419542,16.41757859119541,17.19481645931814,17.542372311806215,16.909003303588488,17.204006802929047,16.730104570137836,17.336816010464272,17.876350656709082,0.04313579334785251,0.052245328824446574,0.05629477001572275,0.06860869351162222,0.07411288093823742,0.054766798798559946,0.08043038423875326,0.0712839860775719,0.05813524586627973,0.07003181774200551,0.07798135122705416,0.06628231545558162,0.04653269774002798,0.10407243219663123,0.0774956859895393,0.05863253748327521,0.06465438640272841,0.029192241154007204,0.017486741763911202,0.09839855736395663,0.09432353705033164,0.0943544231617401,0.09302689852949672,0.07253829061794606,0.044194669695987274,0.08689555880263788,0.03658743822005802,0.10379833757912824,0.04605393197360961,0.10345785461732035
9,16.53009410243084,0.5035690937687626,0.07634577111262067,16.261386846910778,16.029037144231506,17.46561985147821,15.901198006137417,16.47872309260883,16.44758701105917,16.18550379308699,16.38574132021081,16.56848731672304,15.667348285406202,15.500952502384221,16.96387262182,17.02957520047023,16.254374299615726,15.96452946706787,17.212011531147017,16.740735628197857,16.754167066205206,16.52868686831585,16.38592943403658,16.695605210237307,15.886389449622552,15.95627140748206,17.19481645931814,17.255485282932653,16.51409772036226,17.204006802929047,16.65765128823115,17.182617082918522,16.63041508177806,0.07958791883450618,0.06776113708443818,0.062460978793373326,0.07004207704127106,0.11047027380870138,0.09620333985247785,0.038236704689005835,0.031783639599643934,0.05822473349452956,0.14425767488940902,0.1328522392636288,0.050831363216144114,0.078422134763381,0.1139056241305224,0.09213762706060138,0.046197799048531704,0.1090500143158769,0.11781179948349456,0.08128696838393663,0.020920957336398874,0.07673656418495929,0.0774690496498729,0.052923429391797824,0.06373068581181814,0.029657697479063765,0.07516113787909684,0.040434725425907675,0.055114002913667456,0.09007558326252559,0.12662525229003807
