# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,37,9,4,10,22,6,88
State_1,40,12,17,9,14,8,100
State_2,7,4,4,4,0,0,19
State_3,1913,1703,807,892,9601,7496,22412
State_4,962,1236,662,601,10600,5765,19826
State_5,281,259,362,279,3232,3052,7465
State_6,265,185,270,141,579,949,2389
State_7,267,236,274,229,2609,1416,5031
State_8,288,239,306,238,2077,1679,4827
State_9,84,65,135,64,105,97,550
State_10,168,110,149,215,235,131,1008
State_11,67,54,39,30,25,29,244
State_12,505,422,632,541,5166,5867,13133
State_13,495,446,549,478,7061,4298,13327
State_14,474,447,802,459,6371,5845,14398
State_15,286,146,276,186,646,609,2149
State_16,347,314,395,318,2865,3236,7475
State_17,756,723,933,830,8673,9651,21566
State_18,1437,1368,2157,2216,7112,8600,22890
State_19,2385,2371,3738,3624,11212,12376,35706
State_20,1079,1042,1790,2035,4189,4333,14468
State_21,349,315,3637,1752,1626,1201,8880
State_22,540,462,3055,1577,3894,2643,12171
State_23,237,220,1196,1278,2011,1063,6005
State_24,34,5,5,0,2,6,52
State_25,81,102,311,129,96,95,814
State_26,136,101,971,371,759,669,3007
Total,13520,12596,23476,18506,90782,81120,240000
