项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.03716939331936494
标准差,0.009048204072354486
最小值,0.019103390160712497
最大值,0.05786259295774032
中位数,0.036551162113639624
""
各Seed最终结果,
Seed,Final_Best
0,0.03622649906044062
1,0.056420723180505394
2,0.03658415365042744
3,0.02443894588412876
4,0.028961305997296183
5,0.03600648364440717
6,0.03192104609362234
7,0.05786259295774032
8,0.03202616786668999
9,0.029829827812474452
10,0.041542126237523735
11,0.03825599718875994
12,0.035885521034555
13,0.02548936369448329
14,0.047734059731212586
15,0.035166798818924594
16,0.03014687248791903
17,0.055806504502684096
18,0.037945593806526734
19,0.023124045943678784
20,0.03678684161608503
21,0.04016633583345852
22,0.019103390160712497
23,0.04166175563421293
24,0.04072557192926185
25,0.03390669406123381
26,0.0399637249928273
27,0.04068437124789215
28,0.04419031393441175
29,0.036518170576851805
