Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,20.39756854179615,0.18107628643405718,0.428235349064202,20.464558385476636,20.50749828059413,20.680639128137678,20.459435375951355,19.94084197920388,20.30809930739267,20.439675903655683,20.306937744752585,20.17394926223074,20.40876656773501,20.44235222056023,20.473781468352097,20.677784874570413,20.45725698466976,20.51144898551175,20.041581175996335,20.428225680629925,20.14531298328589,20.18362062228306,20.070916649273396,20.404468108742613,20.30875815952624,20.599417108221996,20.435841339594568,20.586149977247242,20.60216781868604,20.38841933562962,20.48285306450684,20.546160718640756,20.450137042825528,0.12685251704391654,0.18944705643393614,0.19027800943785853,0.5675025586623357,0.42491419541124886,0.5418848506332651,0.4054652651915693,0.4462177950011248,0.5577817980832681,0.75,0.3672734613030612,0.27987193965682494,0.75,0.13189788171073,0.75,0.07706439125723853,0.4043266404670217,0.6725263989449017,0.4347350260250127,0.5,0.4535966436043337,0.47224479020417603,0.6124748321053232,0.5086873992539864,0.3732351125701386,0.39304315849156124,0.22697308002412397,0.5,0.2970741139825389,0.44169155642656177
1,20.195777598373507,0.21348159602704056,0.12082670761367438,20.464558385476636,19.99268800494622,20.46128893165654,20.30656402334532,19.587315179312323,20.30809930739267,20.18452940363434,20.306937744752585,20.17394926223074,20.140319431777,20.239434221690114,20.236228081952515,20.580941230037407,20.304377326176127,20.350915310494766,20.030631087273882,19.95575428049486,20.06364968017121,19.922643223557348,20.070916649273396,20.38169956337299,20.181488219078563,20.30741613906245,20.22181103821483,20.243531456179273,20.35345853476474,20.38841933562962,20.31763038975156,19.688869075952237,20.107263433553083,0.04829803004272704,0.16592553603852328,0.010073143958395498,0.22149107214450905,0.05644396932851491,0.031237425621590396,0.1632461153565407,0.0535045640515284,0.14813333106556903,0.14478735206251372,0.16058908506553365,0.17419253306436788,0.14260021296319803,0.10509534689229079,0.15211704503722184,0.13009026993119488,0.13365473244552672,0.08661062370704592,0.1851716530643981,0.12111740729009575,0.04835809197702134,0.03708456182654677,0.11983086113298827,0.15487386583345347,0.18498631782941272,0.1904676242722976,0.07726528809411211,0.13805338275434714,0.0,0.23950178555876553
2,19.955049515147696,0.27819610303912995,0.10222494520392662,20.226367019253093,19.32247250926135,20.163156833887733,20.170456894713976,19.57389812569648,20.11803129876201,20.17477627718032,20.286552984337202,19.896235875817464,19.977572634668178,20.174400996396177,19.902773776894403,20.101081326853688,20.071460417013274,19.366623512890335,19.273512477837816,19.87393562483665,20.04695502780078,19.817193400237883,19.780103278576878,19.900239107237084,20.003027147011537,20.147207434699677,19.88168022359066,20.243531456179273,20.274203143939037,20.309104305033458,19.812558009190244,19.688869075952237,20.073505258681983,0.06187253484605786,0.0687337180532997,0.06999107037444872,0.22102969305049577,0.005674497095897876,0.06059563695233167,0.071371266315326,0.06454318837857613,0.18528381200715072,0.12928777143955048,0.1752222518035707,0.22864062622234027,0.0758183755668407,0.10708102849547183,0.022101058300283583,0.0680165611254832,0.18284874004215473,0.13912217425372383,0.05703658976418718,0.1015587693859215,0.10456241249504755,0.0815656271445282,0.031121258056903855,0.11275026451463231,0.10929286793658183,0.10841803625370731,0.1156570233819146,0.15222584398000286,0.0,0.15532565888136762
3,19.704666878570475,0.34907975707467825,0.09953779065979765,19.92955419620696,19.233842078668825,20.139765032437897,19.92384784756637,19.472308294094073,20.041351300945777,20.059225329843976,19.9505754521698,19.89040382428493,19.855447758171557,19.512931188030336,19.57606833201834,19.631333829036425,19.96319065861734,19.366623512890335,19.23032525136949,19.156616427914383,19.74772683514497,19.21342455170046,18.636040267024498,19.900239107237084,20.003027147011537,19.691300330300283,19.73097170492848,20.08394241482105,20.042440123580278,20.11138828494696,19.812558009190244,19.559927286278693,19.673609980682695,0.1521415649067126,0.06181157332944663,0.1685585978981171,0.21346767930230365,0.06437536987390222,0.12542237595379419,0.09210036016443121,0.09051827691442127,0.13654191175473532,0.10694580095883197,0.13159910841323993,0.20009361302835038,0.01455683383912311,0.09955587947196409,0.023426507170198174,0.043701277475023795,0.19928717139713542,0.17102347348710673,0.09843561427481946,0.03459808981260655,0.13762691263080562,0.037470753265710664,0.045908661391987016,0.059649256582087085,0.06774815554580237,0.05563078792552849,0.06423632393539937,0.15905443045614753,0.04974610757265132,0.0809012510615459
4,19.470006591301367,0.34643123181465263,0.12749275930168574,19.74529675871516,19.226817384948617,19.808235923410013,19.876032391113124,19.04320900832868,19.57640718830115,19.90822753411023,19.733132758924988,19.480865984771867,19.420598759534943,19.483866986220473,19.57606833201834,19.592368401547684,19.455430544279285,18.844386773143473,19.23032525136949,19.130317169187975,19.68245194771603,18.61544941569623,18.636040267024498,19.626568353020417,19.42136064005388,19.60747685175672,19.337370556576616,19.92940150903083,19.91984879703849,19.834977430178203,19.516564420358808,19.262198490085144,19.57890191057977,0.18767897655073718,0.20708461728475852,0.12603732231780285,0.1374899405070607,0.12510838403577348,0.10880013621897555,0.06397449555781373,0.09591009721773844,0.11402343533277298,0.07713899345368183,0.14426437269729536,0.1351742241270397,0.07036678549503063,0.20111150502842481,0.030149086506090248,0.07046162174568994,0.28437779594375906,0.21295634264230123,0.11431776439417149,0.09205827074434406,0.14961849071721164,0.07562980637591332,0.09874161180173835,0.03476609099618859,0.08714716251671746,0.10537513584250453,0.11582261539784193,0.12255964997480125,0.1686638761031637,0.26797417152322967
5,19.21440398111915,0.4125098839155086,0.13181023466888112,19.51484582600996,18.867711946075854,19.722788597948295,19.510018439919126,19.04320900832868,19.331731385198697,19.551091557834994,19.429430120889954,19.31163368491984,19.420598759534943,18.67719314537579,19.470350811590666,19.35622017864325,19.424489730502444,18.691491681628072,19.020064754600643,18.41474753534723,19.432320160781792,17.910628227045617,18.54924329633904,19.254496382095958,19.42136064005388,19.43193746453624,18.99501916847309,19.661313643355577,19.5119710342019,19.627223297195773,19.171379935216724,19.134799583173823,19.572809436756682,0.16911939594117137,0.248849377985841,0.15240976468122674,0.038209094618029835,0.2917975089405928,0.08645644799087822,0.0382191598902745,0.12418849245666264,0.12727057156985644,0.0665482496371517,0.13236503775486932,0.09261699480152166,0.014278608494866486,0.07793897996305438,0.057525087930670515,0.11595276435560281,0.2530409359245905,0.2550501945316649,0.15528289919039964,0.16144290016654272,0.14141904569219538,0.14675155924657798,0.0454609003880283,0.09278047700230638,0.09772624531995,0.07635440985028526,0.11663316092993062,0.05837650573585536,0.28591354510974315,0.23432872396609344
6,18.933028788651043,0.4127189711392494,0.1328219906039347,19.080841853737994,18.809074137026933,19.51605225059531,18.923135512174735,18.79068951428161,19.286724958218247,19.347429667261324,19.071436986254636,18.77589843092422,19.116926444297434,18.278512031366958,19.254347513027813,19.049214770248895,19.15478719917705,18.322735100788762,18.99586963734203,17.99476424841566,19.184999746191536,17.907383309127336,18.271521973205534,19.138492150985915,19.017068094964497,18.882778527495844,18.82005716759683,19.51154039812099,19.281557927311344,19.4581802278361,18.626419935970176,18.988182345051932,19.134241600533745,0.10225644621033864,0.2298606986180033,0.1384928283812752,0.11806369371129533,0.27960523344131877,0.08755414737735347,0.12683651253412384,0.15597742956024108,0.08802844740617818,0.04594875543303166,0.14357581282167597,0.07529278245729673,0.026299310906299896,0.08383867417033433,0.054183702664910315,0.14384228216046863,0.20687236580647217,0.2347858453880023,0.11358649861870725,0.09895602549615093,0.16925418868943226,0.12156934202681267,0.06871573260993247,0.15460616754425757,0.13059076829340144,0.10013600176692855,0.07279831295766867,0.0982756949604242,0.26551190489959353,0.24934411120611322
7,18.632673213455927,0.6300699082163782,0.1203054559862581,18.823490293449673,18.423799987393647,19.299887103980204,18.923135512174735,18.523058217119193,19.011615896053794,19.31549896060242,18.641612656330153,18.574484244250712,18.59296659034515,18.278512031366958,18.70798200166981,18.360881045224236,18.94127845588322,18.322735100788762,18.20924237107303,17.99476424841566,18.78663168917178,15.899795654400705,18.000953463310694,18.889622510222456,19.00387772865604,18.87154132155868,18.70217900837645,19.308386134084706,19.04767182870053,19.29521569242833,18.21625475180383,18.926557636903812,19.08656426793861,0.09249325737459005,0.19732956762761864,0.15830444666843774,0.06341527252128265,0.24014923382715583,0.07748536736377877,0.08275198663547413,0.15425000132574845,0.12622025762909495,0.04142995409361629,0.06301782384867233,0.07969716256910776,0.05347223744910897,0.05710371377770988,0.06667265139204694,0.18021858982778233,0.16057741401921197,0.22063437863375898,0.11914763269184073,0.04009567963088338,0.18334234523600274,0.16052100334335062,0.06019993705254179,0.16570002218964436,0.12880390557864504,0.11048079941668304,0.031913545671532886,0.08740186981267804,0.22193384939065733,0.18439977298908616
8,18.333163466814963,0.6288153512525225,0.1012947889963598,18.588670619796098,18.365188401512107,19.109737607930846,18.739650200912113,18.267393212712847,18.656568938345796,18.32530253582426,18.466823324570854,18.0266655572965,18.18749180116148,18.278512031366958,18.302228927802897,18.23856816923699,18.540609030891922,18.1711286857716,17.950920171722117,17.99476424841566,18.7234535789723,15.633949236763847,17.746708497099153,18.648397409641642,18.810494031125614,18.47862080913209,17.77943499939356,19.13694286969383,18.523919115918936,18.9221253504313,17.67566575301441,18.901597438377255,18.80337144961391,0.06659333323650451,0.15981697519938418,0.08380585627197137,0.08749892413688369,0.20729991432322142,0.05493899331415228,0.06775124027272773,0.1497542630444289,0.09851749445013822,0.035363217105524355,0.057125408273693654,0.08301740634372416,0.05071159380292554,0.1236027774498997,0.06383075614035125,0.15677184099802943,0.09457922669818616,0.205231000374661,0.09902754077345702,0.026127024233973714,0.11008659972869059,0.1401564263121617,0.07775261494145327,0.17959783655032985,0.1090916875840365,0.05606158619614511,0.026145891354725684,0.0421394456546098,0.17962751093982393,0.14681928418497955
9,18.013852482652844,0.6460344365163468,0.09049689162744921,18.373174793248054,18.01794834836683,18.328765442859744,18.704794580651132,18.05746788892487,18.656568938345796,18.32530253582426,18.118545435527164,18.0266655572965,17.839067856803048,17.643598050565245,18.293650208241417,17.93460248295686,18.27398942336233,17.400895659129237,16.6434248191099,17.788935522855283,18.72321753007488,15.633949236763847,17.54590732019942,18.498901322401654,18.481705748222247,17.85380317736694,17.77943499939356,18.908552765831253,18.022564454100564,18.636921984138354,17.620357468439035,17.71088348079697,18.571977447789006,0.0640434324421592,0.11510608803795297,0.04997569889366697,0.05761966946259854,0.15348005364263984,0.0695865880402843,0.06126778793968274,0.13983792548889068,0.11956907408130477,0.07138760093307855,0.06332445547226642,0.06356971739407445,0.07576350831410551,0.15729533429518752,0.059249870248858416,0.12902653653385857,0.07731682283722602,0.16024880623174415,0.07510440217685488,0.06466304833649034,0.07232429819118952,0.11193395392767692,0.07860228251289653,0.1395205815941984,0.13564647837668117,0.04733774584897377,0.021517117055124345,0.029431120051435868,0.1580668284680226,0.09308992199435256
