项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.45486935802241796
标准差,0.08995142546072571
最小值,0.30832867555147603
最大值,0.6453105135758794
中位数,0.4321528075839667
""
各Seed最终结果,
Seed,Final_Best
0,0.5651994099581832
1,0.4449315988282625
2,0.4755739070922478
3,0.3368831555095402
4,0.3376968256902555
5,0.6205798270876355
6,0.398394048660045
7,0.4187361648293195
8,0.49895906659018907
9,0.40578234302337224
10,0.5451026887602315
11,0.6357238143751478
12,0.32247479099948295
13,0.6453105135758794
14,0.39184912100277147
15,0.49798076949448644
16,0.49744969563979113
17,0.3718713184198248
18,0.4257749995758542
19,0.43024342963399365
20,0.4022043364036816
21,0.4340621855339397
22,0.5456443739211996
23,0.37751624774427883
24,0.419356118083297
25,0.4602303646038348
26,0.42454901509523113
27,0.30832867555147603
28,0.4347758471494143
29,0.5728960878396738
