# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,354,101,188,113,137,199,1092
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,378,74,331,200,375,644,2002
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,692,286,382,242,305,369,2276
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,521,123,199,161,141,176,1321
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,823,100,296,198,242,225,1884
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,590,107,316,229,195,213,1650
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,506,164,253,251,203,221,1598
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,1385,215,223,204,212,191,2430
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,249,60,111,99,126,102,747
State_26,0,0,0,0,0,0,0
Total,5498,1230,2299,1697,1936,2340,15000
