项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.574626085529429
标准差,0.13636017314447985
最小值,0.37399313177737925
最大值,0.8922203916791642
中位数,0.5561468306245989
""
各Seed最终结果,
Seed,Final_Best
0,0.690081279706924
1,0.37399313177737925
2,0.682320908893669
3,0.5425975513231696
4,0.4308142063706666
5,0.5125677440670136
6,0.5375099838648905
7,0.4194704181273612
8,0.3909779211173512
9,0.37613710546649815
10,0.8922203916791642
11,0.564522425639709
12,0.5068097953776705
13,0.7527811739158037
14,0.7046089260863657
15,0.5108659138062426
16,0.3780594468407128
17,0.6628566167216303
18,0.5642158381281956
19,0.7355060130922806
20,0.4873597950398545
21,0.4855425762300922
22,0.7371380847572095
23,0.7627733918715873
24,0.5480778231210022
25,0.6346547416193755
26,0.6744854125475297
27,0.39114579353291434
28,0.6069373622295591
29,0.6817507929310485
