项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.6560382230232035
标准差,0.12760583345670665
最小值,0.42612330899686457
最大值,0.8794884784606727
中位数,0.6624070743097481
""
各Seed最终结果,
Seed,Final_Best
0,0.6618858006081294
1,0.8339812768813641
2,0.42612330899686457
3,0.5233729776173388
4,0.5986249441951448
5,0.5166734091955871
6,0.8049182866352003
7,0.8281868244678532
8,0.466157436558714
9,0.6188601670556086
10,0.5171087258178457
11,0.6629283480113668
12,0.6911114642726202
13,0.7353549168386135
14,0.4606911186545912
15,0.8448403045196611
16,0.6291845264305427
17,0.6683112770923967
18,0.8654563077188588
19,0.5478659524731708
20,0.5927266248627956
21,0.6889817138796457
22,0.7661321203133373
23,0.6652875850465532
24,0.8794884784606727
25,0.5851524660366718
26,0.789629667529884
27,0.5259120827502497
28,0.7134827636304562
29,0.5727158141443671
