Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,512.2403168252138,54.007617521808065,0.4282353490642004,523.9037648204419,547.5032688156103,550.411310426203,600.8237142794851,401.65338835604456,449.6948804712411,581.5230850107871,473.20410656597215,486.9932764601149,505.71819797933415,489.7524192612967,592.1832970865287,591.4781164503577,513.5834705849808,551.4147064056365,463.0826328716138,455.90476576678617,460.8888308221395,399.3888887849156,428.744042016416,485.4390717563631,488.8500354890195,574.7393994815174,509.2241328202987,555.6190040606614,549.8439591644809,542.4544890794556,535.3375810441,512.3367537181223,545.5149149064913,0.12685251704391484,0.18944705643394033,0.19027800943785755,0.5675025586623277,0.42491419541124886,0.5418848506332496,0.4054652651915668,0.44621779500112446,0.5577817980832671,0.75,0.3672734613030608,0.2798719396568278,0.75,0.1318978817107299,0.75,0.07706439125723062,0.40432664046703937,0.6725263989448989,0.43473502602501035,0.5,0.4535966436043337,0.4722447902041658,0.6124748321053182,0.5086873992539807,0.3732351125701395,0.3930431584915542,0.22697308002412578,0.5,0.2970741139825409,0.44169155642656066
1,402.43172499194736,47.86207875166537,0.35088115361017264,421.3961932030138,390.38483302220004,447.8292341702038,460.6704395738251,260.1026902570675,373.0005560054815,490.5329706103995,423.5501164506748,404.60794974134154,395.35360573397986,367.25805443390186,491.92119919358186,473.25416889808315,437.12710160646463,397.4004641163223,370.56534920186294,380.5314321517411,353.39164000577404,326.0592686278534,366.53639271736216,402.11556666295166,394.8191129049886,415.04449954308416,403.73049386574144,364.43569173724444,383.6873120012972,445.28117387855315,367.6910107623533,435.67787067392123,428.9953580071521,0.4874713723951242,0.33061963423508395,0.40856953795183076,0.2306599573273489,0.21047547183378446,0.49154571868036334,0.39867830923185493,0.44581390653874325,0.42680030020132054,0.18817828633116473,0.2296570211730761,0.30700237716924994,0.439596850580213,0.3024115824832554,0.464353972228275,0.33328970779416256,0.39210134815030795,0.3113938189939983,0.48016103732814397,0.35993476991873335,0.3828739994381134,0.28614962851771514,0.20702945106560863,0.4064607837688148,0.12635039038273366,0.4721061310026069,0.3418824982085721,0.44406698086546853,0.41979002520433384,0.20100973930517882
2,302.9536131424802,41.91072742180271,0.18061775413004388,326.876008674858,341.1958720561094,280.49756072893746,334.27334741999437,228.704105450952,279.036865011855,386.2993730015345,359.4789650675215,281.89833080697946,225.73920301816128,264.32174151683813,341.95916381828334,364.31117403148,342.72424393633804,287.1607001435366,282.0846134622312,256.99349897406705,296.9867465360337,237.95450786404896,256.59794857901545,322.83139107821904,322.7376839312168,307.9714565954259,329.7779196310522,327.68146750905083,272.17913381619843,343.11106331609795,272.6353226967429,266.5692283183833,348.01975728324356,0.23491749673672274,0.20518960266237826,0.26124618556192275,0.1764165125037506,0.25714637893397274,0.1354101527313406,0.1506484657813504,0.13860343726387309,0.2873176133734439,0.12877525903397774,0.1106831356491575,0.14521782611520437,0.20153946697575642,0.07406202189715791,0.31946238948374656,0.11737345293669747,0.21683993197212592,0.06921727443657189,0.24475713066788277,0.1143715878599767,0.17885542291771572,0.04397532948085826,0.19163597711693692,0.17368560851039672,0.3153766190948325,0.19514264647184568,0.27963521233453975,0.2397136545963699,0.10300786260515449,0.10830896819565591
3,238.226138916921,34.50873852502812,0.134563545016642,258.40334561736796,260.1306986313008,222.24970428232737,206.24496794269322,198.53569410714363,196.97745857657478,270.28686538965167,265.06088835330866,198.7232649701934,209.27889472395688,222.9111115438447,286.8131964299646,300.159382659115,298.7600067739931,239.87032518930522,215.33621765893253,222.6416001712154,239.77150439667392,191.69884419002352,181.90999560140972,251.8323425723779,219.9605754402542,232.75202338297774,286.1673545482395,271.8190904831248,208.34946748884963,260.93288840715024,233.57123439490323,201.21056870153268,294.42465487922266,0.14598367076660343,0.12340268525371621,0.20705118301351658,0.06034452464269683,0.15188231788502687,0.17904500007248259,0.11388914120282914,0.09497054962723284,0.18878597799333938,0.11027265755867716,0.10117304941205382,0.12082721145874006,0.1343841336847469,0.10218417471147823,0.22641539140268352,0.10839980908007027,0.23109895556222762,0.05634201278377292,0.29000039310971293,0.1271286122400606,0.10967833677380237,0.033998114603223425,0.06894221614484017,0.10239872905210756,0.12313448393338967,0.12251874536944317,0.23479456478133606,0.0717742305859903,0.16021206865019752,0.13587340914326207
4,184.71665534276787,32.95562807731242,0.11606911859538341,221.60492556385245,171.2925966335416,201.3404632773662,167.37456495315928,155.04311302567592,144.77795726023638,189.5859041742073,216.92337985805213,168.68785880263474,150.15153249282733,193.96078839321905,214.43618814829253,261.8814375299796,206.37062985288884,122.25143746152034,134.84524367792537,187.48562960401833,200.00491623182324,139.06446959991868,139.1418897655144,182.12599045431503,176.38907545200763,188.41214080118564,220.907987219907,238.60590393013584,168.3542611944295,206.92745854857475,184.2535834458426,162.78942094799388,226.50891198199173,0.09563414615856493,0.08245331007876391,0.08536722811126302,0.22997443051127386,0.0852403374001379,0.11659047562209605,0.06089781940812842,0.0949574284121254,0.19048375791853167,0.07383983402872851,0.18398343010249912,0.04148555208446252,0.02537717186228331,0.09803474423078767,0.26259068961172655,0.0512852454885075,0.18496287063532182,0.048761230621064466,0.2806427400067341,0.09521175791407585,0.1001696917123532,0.07424694573172222,0.06465401186945374,0.0531947237118988,0.06606433871997242,0.1648252909204637,0.2478631099565935,0.1129764182258032,0.08601462691927916,0.12429019988688567
5,151.12639323495313,29.488352108116494,0.11119204014921905,195.71589443499352,117.18281329800399,137.81152885049843,136.09099816504306,121.15945485609484,137.14599893464316,170.34447048133282,178.07828410226304,130.18917968225074,98.10988803299162,182.7904312431427,152.70352075684897,213.75491856422337,186.48275668112674,114.6146693613031,115.03728742542235,139.2875706702081,177.38600732494893,96.07042972082488,117.10445060275237,157.43322055181704,145.91594781187715,164.6222063989919,175.07490069495344,186.264700120226,143.22287627931948,173.68562778614663,143.7114834421229,151.3904431104267,175.40983766379628,0.03567963727265594,0.06868309212997503,0.07985905793937761,0.1413574183196193,0.1494229557440183,0.1025292240839013,0.06782463344797933,0.1623044795454536,0.1580108395756578,0.13529203261074962,0.17900496682601755,0.03939049401462033,0.04496962421904709,0.01762192146533389,0.1617017809647964,0.08514575705945471,0.14301631307099305,0.04676844023072342,0.24324482187521013,0.10975302164392482,0.1056983122553592,0.053010578747250195,0.09184808199475972,0.1615163515374219,0.09772101264228328,0.19148259736707074,0.2131655341364419,0.09585233814360618,0.0431493733453808,0.11073651226748807
6,125.82922539711417,25.978014633394206,0.10027618657896611,146.675365305649,109.64843850840604,127.75771509224589,108.64796978864723,115.01811884283542,137.14599893464316,140.37583681314152,151.77012417983042,120.15523320080989,84.04148760658423,144.91667780620222,130.93382745571128,171.3548071255311,174.28186687053505,78.82795812429347,88.92891443485466,113.73799841309348,139.8674895677908,80.27873049165304,96.36893225132987,126.9807598521506,145.8507912383826,122.64368973945429,160.5673627824187,150.99707038643044,118.69317716380004,149.83474321068044,111.56256418391834,88.12734117141034,138.88577137099173,0.03681244800366413,0.06514872733547233,0.07496871457932985,0.09496259799256085,0.09559421888007472,0.04382938794443578,0.15783605175273918,0.16949443181672225,0.11516759388210443,0.16851382977712945,0.12147626765188328,0.07979451682858944,0.04970681908711623,0.02277390310116061,0.1263766260559703,0.14032678042490182,0.12428557026995868,0.04152697769907787,0.2106099403980659,0.0575143740539151,0.06740601926511686,0.03241219450222374,0.10105265172754388,0.16644448184925809,0.09898455235866405,0.12288577142561796,0.18116494289604287,0.05849592205082641,0.09707873423200483,0.08564054952681296
7,106.218744563838,21.583121854849043,0.1006265620006975,146.675365305649,90.45379752968888,105.01900744977041,96.58723391614959,103.96768836770718,109.26886964733492,125.89902620069923,135.45246406966865,77.52807071440141,81.6767554651199,132.99499075999486,104.17676551109108,129.23157784767076,144.01329790832867,68.73083428494155,87.61870358504704,98.25249177648207,116.5407387199531,76.78158827098598,75.77076911938906,112.64139827327593,120.75917481974862,80.50345684085882,123.49082183183113,132.72342709372649,99.87037094668224,110.40306298982681,88.10630241801836,88.12734117141034,123.29694407968765,0.0479820632604062,0.13252481405750127,0.06014448862695373,0.08563180052109239,0.07858618117032357,0.07145025103198714,0.13936063632378048,0.16019293878228827,0.08315311143117401,0.13264657821987108,0.12790559996947098,0.11316738598440462,0.01539670346811178,0.07274192159162776,0.062216757787793606,0.11617922859014726,0.1584645252655017,0.07671680806676022,0.1837033347339856,0.05877343243310151,0.07918015350975763,0.04343480915696046,0.07223131426679336,0.1183068268837682,0.18701867525730165,0.07632778020004091,0.15936216623641525,0.12638403713679824,0.09651067726733673,0.08310185878946895
8,92.60031862233373,17.545244566963163,0.11249074116999935,122.83393610732439,82.84761457448022,86.7597491365201,82.45351060212082,96.52740832207328,82.55817848023013,111.57121804450381,110.57062456514753,66.63573674285038,70.30099955994096,109.64004900297199,85.99748647705194,123.02965543756014,103.89447226568123,65.4175678907209,72.07848307150199,91.1701417407495,103.88369396566338,65.77435770260877,75.02820645619767,99.49145067958302,103.32435733737348,71.15486817810324,111.8554270279982,121.02161889143235,91.4861284108653,98.9204752968762,86.52546381669103,76.28810197677502,108.9685769084143,0.06643876185559201,0.17661607095686052,0.06862590002959758,0.044271296942854754,0.10053950229442465,0.09512146245224495,0.17485891410286372,0.16831511287862275,0.09469938846692078,0.07505247874422787,0.12845811280993202,0.05471334488269647,0.0640159362857237,0.0403173881299952,0.11342876595863186,0.16385586509405303,0.16267025452560369,0.05786444101540072,0.19043102074559728,0.14741822478892896,0.13039871156234245,0.09121342685746178,0.10362273311857154,0.11102815320138953,0.1449197998510164,0.18296235186753243,0.15453682039480288,0.08979120375025103,0.12398415382307577,0.05455263771276487
9,79.29760304594957,15.337667720182413,0.10107381364966785,112.02735430676766,69.78084876998608,84.08300283308425,77.57327158405744,82.73782504700117,70.18456040457953,91.21542827299677,96.23176430873895,64.94751844104223,61.31093154046394,89.29768276284508,70.28015590246315,91.55449841375099,81.51808502300871,51.89023783558163,64.60015972686656,79.41823573598666,90.07065342674004,65.55693701759627,55.29702193515133,80.5929067667103,103.32435733737348,48.04569394233232,92.07528227014843,99.6256154111365,78.67301059069226,81.3992875647265,75.66933517398792,70.52654051644039,99.41988851623086,0.035023269459973756,0.13801982909691038,0.11894715697766911,0.08552143753261934,0.07291706509767626,0.09900890721481703,0.14353232906573535,0.0690045685584547,0.15630357750760554,0.08432416936064346,0.1105293926870698,0.11637727959981653,0.040083760665677245,0.04330546540344125,0.10359879476139033,0.10581344862107189,0.16499082384513514,0.12891291262154586,0.15972054412565395,0.11605075856947134,0.08805993728742607,0.08893309850102545,0.09287381268331261,0.07743161784810507,0.11191756606629832,0.15974518609180052,0.08429746443882252,0.10905802726893367,0.05169198106175346,0.0762202274701787
