# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,29,8,5,8,5,7,62
State_1,25,7,5,6,8,5,56
State_2,2,0,1,1,2,4,10
State_3,364,279,574,729,2248,2575,6769
State_4,409,422,526,292,892,1817,4358
State_5,594,404,258,264,336,280,2136
State_6,242,87,121,88,70,117,725
State_7,392,63,98,165,111,135,964
State_8,391,100,234,303,238,227,1493
State_9,158,111,124,112,116,87,708
State_10,194,88,176,126,238,182,1004
State_11,112,27,59,31,25,30,284
State_12,418,192,777,679,690,805,3561
State_13,595,178,756,728,711,797,3765
State_14,522,295,373,417,353,242,2202
State_15,158,70,40,58,81,48,455
State_16,349,119,403,131,340,249,1591
State_17,338,274,1723,1399,900,1598,6232
State_18,657,327,649,538,753,777,3701
State_19,826,561,1819,1312,1840,2049,8407
State_20,512,374,851,1001,958,794,4490
State_21,576,243,357,259,462,359,2256
State_22,406,242,801,515,438,576,2978
State_23,317,87,305,235,163,174,1281
State_24,6,0,0,0,0,0,6
State_25,54,10,7,2,2,1,76
State_26,176,93,27,41,54,39,430
Total,8822,4661,11069,9440,12034,13974,60000
