项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1.0608781248531998
标准差,0.01578776201662996
最小值,1.0210263764125656
最大值,1.0947244472752904
中位数,1.0599292596338465
""
各Seed最终结果,
Seed,Final_Best
0,1.0520969180449253
1,1.0604558607378576
2,1.0535563135668948
3,1.072306150904395
4,1.046367648375429
5,1.064405244220793
6,1.0849632591628702
7,1.0482685897411048
8,1.0551514214985764
9,1.0561204404572522
10,1.0947244472752904
11,1.0359885509956899
12,1.0594026585298355
13,1.0783004241051142
14,1.0843192433031072
15,1.0553633684681674
16,1.0545803068664683
17,1.0712167639407228
18,1.0730223453008567
19,1.0210263764125656
20,1.0574272252474082
21,1.059370975311782
22,1.0671825708421254
23,1.0656245426358686
24,1.0817045378624723
25,1.0711655562362945
26,1.0336479664377063
27,1.0610762528201079
28,1.063919054446988
29,1.0435887318473303
