项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.9372576483517221
标准差,0.07663677304782843
最小值,0.7416277247874242
最大值,1.01904217489321
中位数,0.9600350659455075
""
各Seed最终结果,
Seed,Final_Best
0,1.0056784058770212
1,0.9915127722608013
2,0.7416277247874242
3,0.9761485301562387
4,1.0135899017194119
5,0.9141623327658959
6,0.983412360028028
7,0.9085949853825557
8,0.8680296042116159
9,0.9628432240247606
10,0.8330848323990603
11,1.0089884554804334
12,1.001215017442614
13,0.9554878825016636
14,0.9500917301561329
15,0.9811665794947475
16,0.767615008261583
17,0.9962412448877501
18,0.9525192742262486
19,0.9044008671215885
20,0.8849737939411436
21,0.9682465682347914
22,1.0035514638970244
23,0.9882512898147169
24,0.7460549419321469
25,1.01904217489321
26,0.9572269078662542
27,0.9923370701772385
28,0.9250508339666185
29,0.9165836726429405
