Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,512.2403168252138,54.007617521808065,0.0,523.9037648204419,547.5032688156103,550.411310426203,600.8237142794851,401.65338835604456,449.6948804712411,581.5230850107871,473.20410656597215,486.9932764601149,505.71819797933415,489.7524192612967,592.1832970865287,591.4781164503577,513.5834705849808,551.4147064056365,463.0826328716138,455.90476576678617,460.8888308221395,399.3888887849156,428.744042016416,485.4390717563631,488.8500354890195,574.7393994815174,509.2241328202987,555.6190040606614,549.8439591644809,542.4544890794556,535.3375810441,512.3367537181223,545.5149149064913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,402.5178830861709,44.26769428796688,0.0,412.9736045481453,427.55496266111584,418.0108529395177,321.3473338793776,372.2813732913131,348.17769315927484,486.6867375224849,426.9355692032233,351.62369525151234,394.0731850040921,400.8288135950252,468.91019806168754,409.63002961834195,397.3848024909786,435.2968476957394,353.20116992975386,390.52252631663697,431.6407509756454,362.6391074054173,357.2231208132117,399.41615052102907,488.8500354890195,382.1959826653471,453.49707946628655,430.7826639237038,368.95456237455585,435.5733479556945,448.2911773495292,391.68821041173675,309.344908065729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,326.26687854418327,47.57814371625675,0.0,297.5726480669236,381.75855395258515,318.7380631928721,237.49918776156454,331.20770683659305,285.49083224517517,350.9865220833887,353.7741631746293,293.74179409904406,306.3604179933261,324.7981392621719,468.91019806168754,350.1407205014889,338.9180618784794,355.81099311250887,287.50983041323974,339.94849342269623,365.77444480331116,266.0681696268693,250.40940678819805,381.8291507079728,363.05927233464985,318.8201523584497,387.602335804391,315.41952314595056,246.4612303364228,326.2492849767169,342.3451469690541,318.2935733127398,282.50833910239965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,273.52579965681565,42.04316969669111,0.0,216.14116174638787,320.20828657697655,280.58002297768735,197.3859822586899,301.44275864746,267.1835988672373,261.6772203711599,267.7994997204687,271.342440084436,242.73845429628886,293.87474187668056,344.00547988490047,350.1407205014889,292.2682276766527,330.84675534176176,244.30371777200114,310.21648199676446,282.7730619016737,222.5268736631083,170.475963018573,303.51429242532777,276.3641104126576,265.6821210231032,321.2473337666774,283.6075777918952,204.26685293208982,289.0288797456143,287.0946381345763,253.09937339575666,253.937360896376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,234.33011018568092,37.86394653785435,0.0011290168274772374,197.38930506240658,253.13974745756917,257.0015931139748,173.58470384742688,266.1627064127254,238.1769957410557,230.5777976855329,267.7994997204687,215.0264237323338,197.59352794842036,251.41445578794094,241.9502443765,280.133883956662,263.72378946577334,182.78749248421497,222.86380969235486,281.0232692867689,248.77495545024075,158.5986601144554,144.11282322029672,300.66949183823334,238.43928118144953,265.6821210231032,269.9799691005293,258.99178832997114,178.48419726454577,251.99147824898918,239.09088038762474,225.14934052034397,229.58907311851607,0.0,0.0,0.0,0.0,0.012545790568215651,0.0,0.0,0.0,0.0,0.0025027860923089447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018821928163792526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,204.0791414417851,41.41829860676625,0.0051570998280485005,153.2113221086832,226.00685522658145,226.7195256018792,124.40142229996216,251.06383348127702,225.255110106343,208.55534639096874,236.24434667076872,165.33956929430732,180.20102675147425,236.03575212550913,219.42052898193862,250.64035127752908,235.06519796265232,172.30633589238315,179.50827665150487,225.64438322179598,225.56890600539472,125.92048284159698,139.72789061502235,293.3809081010544,212.17945058504077,222.83773509018383,238.30019989959763,232.3870456975549,119.18696243928042,179.77798021391314,221.3025977206043,203.0080556582706,193.1768443404816,0.0,0.017255889945308484,0.0,0.0,0.017389500522905953,0.0,0.0,0.04443857352067104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07403680230202629,0.0,0.0015922285505432423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,178.57340752441144,37.643900899603395,0.009227903853915196,126.77983018036488,218.5921073353331,176.2594774341262,120.0940608094918,227.24446700459012,216.4109284204652,207.56387492050044,183.66056377505518,151.5497477239543,149.7044470775611,202.90312665547611,178.54485434971917,219.19382311532695,214.14401260862405,158.87847370853262,151.55802055590922,211.12228816741816,178.0527502515774,107.68084472731006,119.51360816116681,251.03128607471558,163.17679238391096,172.74803272743216,198.285246519416,215.35133486766895,104.06331089517722,169.6024549757906,214.0987208628159,184.36550070295092,165.0282387399621,0.0,0.0022763160755631556,0.013254525862518756,0.00988690699819327,0.0017300809184272316,0.0,0.0,0.009622511591038434,0.07942429722495958,0.024516083553974763,0.0,0.0,0.0,0.0,0.0,0.0,0.010504626337899028,0.0,0.0,0.0,0.08231692768910048,0.006479137129959767,0.0,0.007692740693122377,0.0,0.025596834506314087,0.0,0.0,0.0,0.003536127036385022
7,159.99274364026945,34.389214986812554,0.011693074394764942,123.26669644055231,185.613148968566,174.3390638854187,107.13057310479276,204.12765108100663,167.07704386917914,197.57041897786317,160.69195901114168,123.87353201308208,147.59815217310867,173.2145719106841,163.9441167207658,197.44309975759015,177.57683266914594,128.3868247386386,141.15404306020457,177.56176941971933,156.42467608903104,99.66468757693887,89.98909850029223,236.37461810451694,163.17679238391096,159.56885718414185,194.71586139782042,201.72091424153655,103.88439404090866,141.30166965735384,192.46388941668587,161.78116767320103,148.1461851402852,0.0,0.0,0.02004844311584564,0.0,0.0,0.061069076943864625,0.0,0.0,0.06263326483919236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09635938148356638,0.017410734483310087,0.0,0.04752464084907076,0.0,0.0,0.0,0.0,0.0,0.0,0.04574669012809841,0.0,0.0
8,139.34945262891932,31.91225199089658,0.021037373485843034,113.67652381481354,153.3694571990684,126.00039923933241,95.90588797204597,188.2486695138411,134.6539239245474,165.78308016352722,139.74829247483075,110.40138761725768,124.89898861041685,156.87853320240717,152.99430506631262,193.02887303110353,156.74830308884265,111.98563781804906,127.26799154071614,158.82932930250044,131.6965312982736,88.58985738661217,76.69206266654115,217.35954429459852,132.26138958707068,138.6959238884497,147.5275104106904,187.20184115001206,81.65172271939203,141.30166965735384,148.18511130992655,144.68777823333926,134.21305268570728,0.0,0.0,0.0,0.0,0.0024014415622394675,0.06972086493277906,0.094437362387681,0.0,0.0,0.0,0.07744811030460785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027406154407967347,0.09534480286921661,0.024611720051718078,0.11349669218104698,0.020608184715716762,0.0,0.12408868280470256,0.0,0.0,0.0062227273247859125,0.0,0.0
9,125.97416133868172,28.10161715549942,0.023386407898131154,94.22845518445908,144.9788315144844,125.10559395339496,74.69788362401681,163.35882075735526,119.4290142649961,140.44605616315602,122.55295309744487,94.43979220557591,122.57114475649996,140.36667862103147,123.43553070312136,162.92569542710123,132.44625037053208,95.47268467744428,116.97958371415534,142.76560395633393,126.99729086992242,81.7960728007208,70.39221866035582,188.93295819115338,130.816467842856,138.6959238884497,142.0048573773705,173.3451065791933,81.65172271939203,120.34328330034917,138.79939286679073,141.96782687952123,127.28114519327326,0.0,0.0,7.823733333362202e-05,0.0,0.0,0.04490651774876026,0.1338849351050318,0.0,0.05881442044259452,0.005657254437096613,0.03541004412367998,0.0,0.0,0.0,0.03193419896398858,0.0,0.0,0.0,0.0,0.10587494712249852,0.007489488777661907,0.010594641046222729,0.0,0.0,0.17032649561732355,0.0,0.08806246057095325,0.008558595654789175,0.0,0.0
