# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,98,77,100,122,357,308,1062
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,117,120,293,150,1302,1099,3081
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,198,45,136,244,326,272,1221
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,102,84,196,159,361,197,1099
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,171,86,342,125,851,606,2181
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,143,57,336,333,677,371,1917
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,227,171,425,844,260,246,2173
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,140,68,277,289,145,106,1025
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,73,55,466,401,108,138,1241
State_26,0,0,0,0,0,0,0
Total,1269,763,2571,2667,4387,3343,15000
