项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1.082349444436485
标准差,0.03100949548839108
最小值,1.016319963508548
最大值,1.1716545807856487
中位数,1.0759114832606387
""
各Seed最终结果,
Seed,Final_Best
0,1.0810059236045502
1,1.0680233221965543
2,1.0831407621551508
3,1.065401691017247
4,1.016319963508548
5,1.0300503660987657
6,1.0756059278341452
7,1.064067098720635
8,1.1022844067640438
9,1.0874182098595175
10,1.1031770219227803
11,1.1111472478146327
12,1.0732463484861663
13,1.0589274553623929
14,1.1115434649352642
15,1.0598881175781067
16,1.1117969665738239
17,1.0991303437676512
18,1.0502130521488617
19,1.0762170386871324
20,1.0643888398231907
21,1.1141201786475559
22,1.0811029427700496
23,1.1407257772777808
24,1.0709505367441343
25,1.0605049181663857
26,1.0666735119930648
27,1.0595166047612339
28,1.1122407130895304
29,1.1716545807856487
