项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1.0689497853794672
标准差,0.019930252169620778
最小值,1.0194447404715787
最大值,1.1330821049145228
中位数,1.0685584058411224
""
各Seed最终结果,
Seed,Final_Best
0,1.0723191185910945
1,1.0701579149133185
2,1.0671726809639352
3,1.0681883430488688
4,1.0442120154431376
5,1.0799323617398815
6,1.0689284686333758
7,1.054849795496805
8,1.1330821049145228
9,1.0194447404715787
10,1.0626381271942222
11,1.0763499207549958
12,1.0496580867723977
13,1.0832217102424946
14,1.0652740309163722
15,1.0598928605807412
16,1.070924162486395
17,1.0641378212959889
18,1.0606485925686646
19,1.1027368249289085
20,1.084846957068701
21,1.069410061318667
22,1.0557023637149792
23,1.0787697942634176
24,1.0869152243421145
25,1.0881679687624108
26,1.0738174454139093
27,1.043842513046611
28,1.0672677184986976
29,1.0459838329968099
