# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,219,65,36,59,48,48,475
State_1,74,21,19,14,12,21,161
State_2,35,0,8,3,8,3,57
State_3,8015,6061,1463,1205,8210,6940,31894
State_4,4008,3348,551,582,3746,2399,14634
State_5,1523,670,325,240,2386,2056,7200
State_6,434,108,273,329,461,321,1926
State_7,937,303,257,387,475,907,3266
State_8,875,263,377,262,2114,2144,6035
State_9,222,106,194,298,254,213,1287
State_10,386,285,577,412,354,526,2540
State_11,174,35,41,70,53,91,464
State_12,931,702,1268,721,8544,6103,18269
State_13,817,509,1509,1234,5221,6298,15588
State_14,1203,1017,1469,1732,2258,1452,9131
State_15,473,150,207,124,384,222,1560
State_16,829,329,1444,739,3598,2352,9291
State_17,981,873,3346,3759,9816,10290,29065
State_18,1002,773,1513,1048,3517,3189,11042
State_19,2871,2670,7397,6848,9758,10567,40111
State_20,1209,1054,2409,2290,3510,4236,14708
State_21,917,709,871,869,1375,962,5703
State_22,633,390,3297,1562,1617,1614,9113
State_23,503,174,1344,492,1052,444,4009
State_24,18,0,0,2,1,0,21
State_25,241,25,26,40,37,37,406
State_26,888,176,252,304,312,112,2044
Total,30418,20816,30473,25625,69121,63547,240000
