项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,2.0189240006875447e-05
标准差,1.3010384715341741e-05
最小值,5.918722613100366e-06
最大值,6.010293286343948e-05
中位数,1.5228646073197983e-05
""
各Seed最终结果,
Seed,Final_Best
0,4.558286809126324e-05
1,1.535449268650182e-05
2,5.918722613100366e-06
3,2.3549341887948e-05
4,1.5316396665345414e-05
5,1.28425295631564e-05
6,1.2286865847039812e-05
7,2.2925700511940692e-05
8,2.2501516075891626e-05
9,1.5140895481050554e-05
10,9.859186927934357e-06
11,1.4490799723033073e-05
12,2.0999308619155456e-05
13,3.077451621698225e-05
14,1.3511782283109044e-05
15,8.360682286534577e-06
16,1.4736751220025904e-05
17,3.326326084986312e-05
18,2.1178686514082598e-05
19,5.087459596310607e-05
20,8.206880507718367e-06
21,3.111782887671945e-05
22,1.1875041049121688e-05
23,2.8817853737281434e-05
24,6.010293286343948e-05
25,1.1394059935796609e-05
26,8.276374777436019e-06
27,9.541901576818961e-06
28,1.0853961298774854e-05
29,1.602146555609207e-05
