项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.017821728751526333
标准差,0.004870761380033638
最小值,0.009968141179027284
最大值,0.029761257682327496
中位数,0.017250598629236696
""
各Seed最终结果,
Seed,Final_Best
0,0.023626491831244198
1,0.018497030364128506
2,0.015629229796822096
3,0.02778150149255372
4,0.017066217988184473
5,0.012336215354699545
6,0.02201762851484125
7,0.015772985434051652
8,0.024125068160224014
9,0.021011363640293625
10,0.012735133007714828
11,0.012342736470633784
12,0.01927925125113535
13,0.01757362559132902
14,0.02106588550176037
15,0.013237931212245445
16,0.016899663598664138
17,0.0119193786895702
18,0.015976704302732455
19,0.020356750315748167
20,0.029761257682327496
21,0.015092439787209928
22,0.01104203588782489
23,0.01719757449825067
24,0.022179628709863806
25,0.0226382076011342
26,0.011879404419304393
27,0.017303622760222726
28,0.018338757502047685
29,0.009968141179027284
