# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,105,90,103,126,252,300,976
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,127,89,354,103,1155,1115,2943
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,211,41,268,186,360,502,1568
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,107,82,250,120,282,388,1229
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,136,76,458,191,694,797,2352
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,130,65,497,221,238,459,1610
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,215,146,572,608,211,227,1979
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,124,77,305,285,160,108,1059
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,72,42,648,352,79,91,1284
State_26,0,0,0,0,0,0,0
Total,1227,708,3455,2192,3431,3987,15000
