项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.09771326488230224
标准差,0.029700525164448852
最小值,0.04407612910616091
最大值,0.17750547035635642
中位数,0.09634604446793607
""
各Seed最终结果,
Seed,Final_Best
0,0.04407612910616091
1,0.13401284477458997
2,0.07534528901611989
3,0.13724144090966453
4,0.10890413007365878
5,0.17750547035635642
6,0.054789412366096094
7,0.09290639023364085
8,0.11766200354804855
9,0.0720880139215678
10,0.11048680454627847
11,0.08776617022781126
12,0.07864103930861734
13,0.15352898450232083
14,0.08978547964740448
15,0.06368093625749544
16,0.08844508355863973
17,0.09978569870223128
18,0.07582200385227877
19,0.1259445639779201
20,0.10598652008799786
21,0.09998453012384804
22,0.1062861872188342
23,0.11164174435764751
24,0.05421263745251231
25,0.12680782102754487
26,0.07669525195345447
27,0.08671851315045054
28,0.06990415898545328
29,0.10474269322442277
