Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,175.11497573245362,26.464550556204443,0.0,188.28905983018797,205.57784645700872,145.0434517907775,179.0296516070092,111.80727430602036,156.13713386318761,161.25703362265304,214.51030049720114,191.65500963236775,176.44318606046744,200.24451367981987,191.56347878134923,201.3515866866013,208.3303226988731,185.12496788073773,170.6935887182305,152.76981109041537,175.79357782342746,124.90314718723445,116.1791103579966,208.85424839450985,180.49006200572111,172.59298841521507,194.18349316655542,177.90633802639573,160.55385600741198,178.52449688403178,164.5721765030558,205.76281931891572,153.30474068022937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,155.0804230290065,23.576794223201972,0.0,161.28154348765491,160.95183813590052,125.11061723282023,164.7095279004666,110.03941513405006,156.13713386318761,128.11997895142315,174.83040602534186,176.80396004240154,160.1319610164529,144.6330822891267,174.3414126289081,188.4340435600173,185.38314336319064,158.19121946943807,157.57068731479677,152.76981109041537,162.14125921633928,124.47824852558132,101.2068811515729,165.13035910033358,140.81207417122621,172.59298841521507,137.65388858633153,177.90633802639573,135.8777413670421,178.52449688403178,122.28427345582068,201.05961978448326,153.30474068022937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,128.4641087450791,20.353648767523865,0.0,151.71331493687399,128.68200190568825,107.97293093305669,123.76337052689371,110.03941513405006,123.74822849433063,119.1719764194686,161.74037624998414,137.5634144319962,137.66084206138171,116.97424988545256,106.45035107363827,148.25226149949026,136.68516634941398,118.44666387572929,138.75804798591702,139.60714266613073,122.08461159313332,119.49782771359733,94.03877630986874,114.12321298282792,81.80967141760007,172.59298841521507,137.65388858633153,154.42723326946003,116.71396778158194,140.76446764507128,117.89218302216504,163.58619277851508,111.50848640750935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,108.45834715805957,15.661347101195465,0.0,95.85722009838446,99.25878568345173,95.04301607917066,110.45786340541365,96.7384958163876,113.05775463233392,119.12766477077197,116.91089749818727,102.47587731102134,106.80520798440821,115.63241574807167,104.67560637612527,124.72775100856435,116.95477143734215,81.87024271459633,105.05970583709905,111.50937165091612,109.02995243637667,109.41634187170291,94.03877630986874,112.14238078601399,66.54751460508908,144.35540847878846,137.65388858633153,126.97129049134858,97.44827069846752,127.27257792710402,87.42461301099698,113.77826507994364,111.50848640750935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,93.46271985558066,13.700169674141454,0.0,95.85722009838446,99.25878568345173,93.75731395151143,110.45786340541365,74.62100236890083,90.84003897880042,93.33028815305026,112.88128552606364,61.01935183055281,88.29653953366024,113.10529241975087,93.7873352480116,87.70687299089724,112.14543924363552,81.87024271459633,93.4555483673552,95.67310735917795,88.7998740207906,71.25363755731019,84.54725305922847,95.98888766604541,66.54751460508908,117.03765979875857,108.82484364880148,109.40070306829297,91.3137857650759,100.70451631870944,82.85024863689446,98.45087233414351,90.09827131506538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,84.13566365086521,12.43852515457034,0.0,88.75236793977992,79.35228197589117,86.76063155646152,92.81256461192945,70.41546399987577,90.84003897880042,91.3995157248324,94.45127154258219,61.01935183055281,84.88908215066492,94.53125007999243,82.3795966158651,73.48325172498708,107.18736507511487,63.35089368966906,84.54951504716607,93.04052419773922,75.21512278278225,56.86919923759474,77.30415635935172,85.05052101560243,66.54751460508908,109.01409771559752,100.32382991155347,76.48672565505319,81.42725404107934,87.480924127377,82.85024863689446,96.18707738101199,90.09827131506538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,72.68562308733289,11.736636612795847,0.0,75.88644952311618,78.0814285324848,78.7548188677861,78.54345357430671,65.60587801940672,71.30521423916394,78.34861515623227,77.1752186506423,61.01935183055281,68.98339751605064,86.93582825982125,69.82545454810017,62.90304596543752,87.36173866857781,63.35089368966906,71.39419982048068,62.40197457944348,55.48056485821883,47.68060892323137,67.73495995755945,78.35961284960936,65.26530287926558,96.22097877145202,90.90772937771739,76.48672565505319,53.777927822787284,67.71844258091002,63.09834258354467,94.73725656695905,85.22327835240559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,63.274832177957734,10.348211635038352,0.0,52.34477306360081,63.822491647418346,76.7565865739057,77.84582717713009,58.18307927362664,65.21809289404366,62.65506994810292,61.67370175308115,56.15839239806223,64.3837330272076,78.65374963786721,65.8078217583541,58.82249497787507,68.78669517876847,59.746007838217515,55.69561676803674,62.00114763084009,50.96088584324833,45.17307822667499,52.23487858538932,56.402443536814985,52.28840657561195,85.38812669946354,79.20166519091292,76.48672565505319,52.5674823206684,62.047470413124294,49.538320763629464,78.22782340415132,69.17237657785063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,56.51615521735233,9.042210772675851,0.0,52.34477306360081,61.35018391595524,66.07014818199599,57.62084845249859,52.2156272518147,59.37301669950437,62.65506994810292,46.323373126841965,50.53379969263885,44.58409185526633,71.9429985276385,56.18127480804691,58.82249497787507,57.75945046279265,47.023694355232074,55.69561676803674,58.43538568701148,41.332759337550456,43.78571231976685,52.23487858538932,49.47857228835378,49.39106317555424,75.8333588661734,77.37123644187525,64.344354653754,52.5674823206684,54.16953690161363,47.52083257449941,68.20899018118641,60.31403109933147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,49.901251400519186,8.466252551183272,0.0,45.88964589441524,47.94505876027051,65.3010632739421,57.62084845249859,42.00859761981039,48.59721808268806,52.20389627898218,46.323373126841965,41.452173671105875,44.58409185526633,63.00683206999363,45.56855230042087,52.61905283902696,56.40143308380352,40.84061218127963,48.83045782460051,44.07385556657595,38.9408211369257,38.75446521548986,37.24794859964911,49.47857228835378,43.28772366712687,61.115344956232036,65.10691238296351,63.87009484159811,51.83532805141048,42.64421264152864,47.52083257449941,65.09661636997419,48.87190640830156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
