项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.01583023810091486
标准差,0.004822500455993818
最小值,0.005910690557226599
最大值,0.03183105889530516
中位数,0.015425226831498304
""
各Seed最终结果,
Seed,Final_Best
0,0.01624295426444082
1,0.005910690557226599
2,0.02432285379026253
3,0.011614318115598862
4,0.013393715665293762
5,0.015454025920846333
6,0.018398459116831765
7,0.023865348935989395
8,0.016429989124695107
9,0.016584822673772214
10,0.01240063241652021
11,0.012271371876125899
12,0.015396427742150276
13,0.016716911493404565
14,0.01534005619642587
15,0.012708450699460366
16,0.015534114961566097
17,0.014200922383020877
18,0.013330768802743266
19,0.020582099401738854
20,0.016696631399570627
21,0.017573564670978325
22,0.012641287393148506
23,0.013605337128074232
24,0.01973319142686368
25,0.01795218446409718
26,0.011644897668059422
27,0.013527155288963384
28,0.009002900554271545
29,0.03183105889530516
