Benchmark,Algorithm,Final_Mean,Final_Std,Final_Mean±Std
sphere,GA_MP,3.808145e+00,1.250494e+00,3.8081e+00 ± 1.2505e+00
sphere,GA_MP_RL,2.982478e+00,9.845340e-01,2.9825e+00 ± 9.8453e-01
sphere,GA_RL,2.242263e+00,1.576461e+00,2.2423e+00 ± 1.5765e+00
sphere,GA_baseline,7.716423e+00,2.046208e+00,7.7164e+00 ± 2.0462e+00

sum_squares,GA_MP,4.751689e-01,1.280380e-01,4.7517e-01 ± 1.2804e-01
sum_squares,GA_MP_RL,5.099576e-01,1.533792e-01,5.0996e-01 ± 1.5338e-01
sum_squares,GA_RL,5.792852e-01,2.194728e-01,5.7929e-01 ± 2.1947e-01
sum_squares,GA_baseline,1.069802e+00,3.109802e-01,1.0698e+00 ± 3.1098e-01

rastrigin,GA_MP,1.496128e+00,3.914373e-01,1.4961e+00 ± 3.9144e-01
rastrigin,GA_MP_RL,4.182375e-01,1.279590e-01,4.1824e-01 ± 1.2796e-01
rastrigin,GA_RL,2.696617e-01,1.089375e-01,2.6966e-01 ± 1.0894e-01
rastrigin,GA_baseline,1.717572e+00,5.529065e-01,1.7176e+00 ± 5.5291e-01

ackley,GA_MP,6.928818e-01,1.500845e-01,6.9288e-01 ± 1.5008e-01
ackley,GA_MP_RL,1.036676e+00,1.893666e-01,1.0367e+00 ± 1.8937e-01
ackley,GA_RL,1.400937e+00,2.565517e-01,1.4009e+00 ± 2.5655e-01
ackley,GA_baseline,1.087737e+00,2.589029e-01,1.0877e+00 ± 2.5890e-01

griewank,GA_MP,1.037280e+00,1.326533e-02,1.0373e+00 ± 1.3265e-02
griewank,GA_MP_RL,1.060878e+00,1.578776e-02,1.0609e+00 ± 1.5788e-02
griewank,GA_RL,1.119952e+00,3.582456e-02,1.1200e+00 ± 3.5825e-02
griewank,GA_baseline,1.068950e+00,1.993025e-02,1.0689e+00 ± 1.9930e-02

rosenbrock,GA_MP,1.858547e+02,4.980563e+01,1.8585e+02 ± 4.9806e+01
rosenbrock,GA_MP_RL,2.246230e+02,7.286895e+01,2.2462e+02 ± 7.2869e+01
rosenbrock,GA_RL,2.227697e+02,7.053722e+01,2.2277e+02 ± 7.0537e+01
rosenbrock,GA_baseline,3.264821e+02,1.053987e+02,3.2648e+02 ± 1.0540e+02

levy,GA_MP,1.782173e-02,4.870761e-03,1.7822e-02 ± 4.8708e-03
levy,GA_MP_RL,4.074255e-02,1.036073e-02,4.0743e-02 ± 1.0361e-02
levy,GA_RL,8.387494e-02,2.268852e-02,8.3875e-02 ± 2.2689e-02
levy,GA_baseline,3.350670e-02,7.765572e-03,3.3507e-02 ± 7.7656e-03

schwefel,GA_MP,4.026214e+02,2.792949e+02,4.0262e+02 ± 2.7929e+02
schwefel,GA_MP_RL,2.666912e+00,7.864287e-01,2.6669e+00 ± 7.8643e-01
schwefel,GA_RL,1.465707e+00,4.721339e-01,1.4657e+00 ± 4.7213e-01
schwefel,GA_baseline,7.199058e+02,2.859278e+02,7.1991e+02 ± 2.8593e+02

