Benchmark,Algorithm,Mean,Std,Min,Max,Median,Rank,vs_Baseline,p_value
sphere,GA_baseline,3.451660e+00,1.135808e+00,1.906598e+00,6.090099e+00,3.322614e+00,4,,1.0000
sphere,GA_MP,1.631410e+00,6.821840e-01,9.314689e-01,3.622173e+00,1.425210e+00,3,+,0.0000
sphere,GA_RL,3.709182e-02,1.630992e-02,1.487184e-02,9.964250e-02,3.305166e-02,2,+,0.0000
sphere,GA_MP_RL,1.654179e-03,9.163953e-04,4.477861e-04,5.039735e-03,1.510241e-03,1,+,0.0000

sum_squares,GA_baseline,4.460176e-01,1.692036e-01,1.844736e-01,8.860240e-01,4.029282e-01,4,,1.0000
sum_squares,GA_MP,2.560321e-01,9.579566e-02,1.135128e-01,4.540622e-01,2.431287e-01,3,+,0.0000
sum_squares,GA_RL,1.316923e-02,5.395116e-03,6.326319e-03,3.027035e-02,1.148605e-02,2,+,0.0000
sum_squares,GA_MP_RL,3.606254e-04,2.090743e-04,1.085925e-04,1.108241e-03,3.182363e-04,1,+,0.0000

rastrigin,GA_baseline,7.680664e-01,2.254781e-01,4.266290e-01,1.347437e+00,7.621346e-01,4,,1.0000
rastrigin,GA_MP,5.746218e-01,1.803662e-01,2.746217e-01,9.491248e-01,5.306613e-01,3,+,0.0026
rastrigin,GA_RL,2.074938e-02,9.015698e-03,6.756256e-03,5.153240e-02,1.855355e-02,2,+,0.0000
rastrigin,GA_MP_RL,4.910492e-04,2.148282e-04,1.736591e-04,9.404684e-04,4.726730e-04,1,+,0.0000

ackley,GA_baseline,6.560382e-01,1.276058e-01,4.261233e-01,8.794885e-01,6.624071e-01,4,,1.0000
ackley,GA_MP,4.548694e-01,8.995143e-02,3.083287e-01,6.453105e-01,4.321528e-01,2,+,0.0000
ackley,GA_RL,5.746261e-01,1.363602e-01,3.739931e-01,8.922204e-01,5.561468e-01,3,+,0.0364
ackley,GA_MP_RL,3.672911e-03,1.118631e-03,1.609659e-03,5.918351e-03,3.651649e-03,1,+,0.0000

griewank,GA_baseline,1.029646e+00,1.434504e-02,9.878057e-01,1.064596e+00,1.028794e+00,4,,1.0000
griewank,GA_MP,9.372576e-01,7.663677e-02,7.416277e-01,1.019042e+00,9.600351e-01,3,+,0.0000
griewank,GA_RL,6.386265e-01,1.741468e-01,2.468258e-01,9.207715e-01,6.427619e-01,2,+,0.0000
griewank,GA_MP_RL,2.132168e-02,1.952915e-02,3.052661e-03,8.419508e-02,1.563138e-02,1,+,0.0000

rosenbrock,GA_baseline,2.517868e+02,6.364394e+01,1.484674e+02,3.833980e+02,2.409254e+02,4,,1.0000
rosenbrock,GA_MP,1.542341e+02,4.360525e+01,5.716868e+01,2.467995e+02,1.534964e+02,3,+,0.0000
rosenbrock,GA_RL,7.509397e+01,3.881616e+01,4.761859e+00,1.526203e+02,8.356098e+01,2,+,0.0000
rosenbrock,GA_MP_RL,6.471836e+01,3.104676e+01,1.404502e+00,9.880627e+01,8.010754e+01,1,+,0.0000

levy,GA_baseline,1.583024e-02,4.822500e-03,5.910691e-03,3.183106e-02,1.542523e-02,4,,1.0000
levy,GA_MP,8.861800e-03,2.343211e-03,3.406912e-03,1.270675e-02,8.488718e-03,2,+,0.0000
levy,GA_RL,1.053120e-02,3.752352e-03,5.591721e-03,2.400508e-02,9.633845e-03,3,+,0.0001
levy,GA_MP_RL,2.018924e-05,1.301038e-05,5.918723e-06,6.010293e-05,1.522865e-05,1,+,0.0000

schwefel,GA_baseline,7.314042e+02,2.113169e+02,1.227063e+02,1.070869e+03,7.167453e+02,3,,1.0000
schwefel,GA_MP,8.735025e+02,2.881091e+02,1.244484e+02,1.424740e+03,8.929101e+02,4,-,0.0405
schwefel,GA_RL,7.144304e-02,2.896612e-02,3.494280e-02,1.446251e-01,6.354622e-02,2,+,0.0000
schwefel,GA_MP_RL,2.403545e-03,9.351852e-04,8.719721e-04,4.733094e-03,2.286520e-03,1,+,0.0000

styblinski_tang,GA_baseline,-1.155975e+03,1.564403e+01,-1.174881e+03,-1.118189e+03,-1.160651e+03,3,,1.0000
styblinski_tang,GA_MP,-1.094797e+03,2.199574e+01,-1.146561e+03,-1.061791e+03,-1.090104e+03,4,-,0.0000
styblinski_tang,GA_RL,-1.174967e+03,1.291724e-02,-1.174981e+03,-1.174923e+03,-1.174971e+03,2,+,0.0000
styblinski_tang,GA_MP_RL,-1.174982e+03,8.345220e-04,-1.174984e+03,-1.174981e+03,-1.174983e+03,1,+,0.0000

