Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,401.62628489934485,23.036592644483505,0.4282353490642003,425.0754800972362,414.81532213239075,407.94236138607664,404.78010527962675,387.86849795308575,397.05884216851626,345.3132477055883,443.51066746886755,390.6303986296724,372.5015145836075,385.93053294334334,425.92945859142844,424.370323005127,432.61960596648134,380.32280256970296,414.47928251583335,422.5126496138884,381.4132233743233,355.3364265194182,385.0545309499307,424.6244324498907,406.60536761571154,378.0720232202131,436.70565470620807,400.5099970471041,400.2947200068183,407.5768121575232,414.47845352499496,397.8269659543927,384.6288468433469,0.126852517043915,0.18944705643394216,0.19027800943785964,0.5675025586623296,0.4249141954112494,0.5418848506332585,0.40546526519157067,0.4462177950011237,0.5577817980832683,0.75,0.36727346130306215,0.27987193965682733,0.75,0.1318978817107266,0.75,0.07706439125722607,0.4043266404670356,0.6725263989448962,0.43473502602501013,0.5,0.4535966436043205,0.47224479020417426,0.6124748321053105,0.5086873992539814,0.3732351125701394,0.39304315849155425,0.22697308002412933,0.5,0.2970741139825398,0.4416915564265599
1,366.36122316230825,21.252227828818068,0.34174075909291646,353.8817094792845,352.68704016939773,359.78139008941696,340.02144656298987,365.4635538873404,397.05884216851626,341.8518040159669,411.6776205530265,366.3849623136249,355.0643140526794,362.92242113638497,378.6929974578156,386.78435589329456,382.74268007012677,365.9918215243867,367.63212881267987,367.8130927178981,365.565006845481,314.9442755850729,355.6597124499285,362.5759726429553,391.86336091132193,350.0653429939373,405.85534087325505,389.7307746989226,366.8460735630187,381.1733187179637,341.1453440377745,376.37543139725653,332.58455924752866,0.48330976059446307,0.39931212503449165,0.4764025640674856,0.304213542853243,0.4403997353302967,0.44942678861077306,0.40041228410893176,0.4134121716361472,0.25572491369057954,0.18128697411459188,0.21554926667080568,0.5689442231722535,0.5352022656099782,0.3289961740936478,0.5496372597533805,0.45619352578124783,0.18246683354113724,0.33584732790961647,0.11057461899532511,0.25955268506471385,0.2779159246793444,0.18486635096168125,0.1914867877926618,0.23469967944410097,0.3341043436061598,0.3597161686270526,0.3788466731683162,0.3672330183512672,0.17213450922814907,0.4043542762956499
2,334.2124857784313,22.41334753318548,0.28103315210255897,339.6028219008352,326.3533396378524,329.62433206755753,315.27737710760437,318.70572083909434,370.1353726046664,305.93465193060456,388.1289956531484,327.6905144426918,354.07871643929735,321.8797976348933,312.62221514056625,359.9722270742384,331.61223951260206,341.9523938030629,329.20408936528395,319.78856007306797,317.31991787329116,314.9442755850729,320.1105640887589,347.17867688639865,322.5140480086046,279.57875765927673,368.9594432788368,346.9161809091818,347.34990635467034,364.84648368452486,340.9731015480968,349.71394114030295,313.40591110885725,0.139639752853618,0.28661137191530145,0.24206289747514742,0.2157203853539909,0.3452731861172816,0.4460771992370369,0.3397023305438932,0.40734421383918656,0.2607077106515463,0.16893816443161966,0.15059499291520403,0.1668391848525952,0.48203127642872334,0.342523640972487,0.25296121466504473,0.3023097117039536,0.15436145240335603,0.3669569391347583,0.22715382347859897,0.3183223318876115,0.3112361713232615,0.42530565068376724,0.10918899464624673,0.3183486348847394,0.1985903584720608,0.28109376072161896,0.35554820994116343,0.2752281738283816,0.17839829081610015,0.3619245368984718
3,311.33328226857765,19.18346197488241,0.23448597859174206,321.0440314511189,315.3538802845389,303.1689229430624,309.14964984785183,314.5246772100386,346.47425362028986,272.97328756976634,289.9860930795246,323.31076888907523,332.35373864233134,306.6389231659818,301.3870200597189,336.212202968179,316.0096336668677,312.5238738164989,293.10153738554106,298.2165701748386,291.16800827488044,309.0933220251489,295.59319790490895,329.64737395291917,291.21834350218097,279.57875765927673,326.08945258845466,336.69544963657535,313.1288317039403,338.9616697351565,315.29296660753937,340.39071633964136,280.7113133514822,0.20130384491584713,0.23384272083294377,0.14791620221311752,0.23171364217899523,0.27913265441427226,0.42754494419658,0.310335081131751,0.15800762179282662,0.21271133061389097,0.17967798752615563,0.15086683250003696,0.2119055158224305,0.4586698899480959,0.27418489834358445,0.15338479762065463,0.16310886520715884,0.08074278928151071,0.3040234801118595,0.2638054599452651,0.32575705815046796,0.26273681123912396,0.26747881679643554,0.13195896368395024,0.27607249728251837,0.0746802832861323,0.22061299430584688,0.23070651093800854,0.2727342928588222,0.34043791125260053,0.1885246593613779
4,289.6337267720058,20.16185726089382,0.21573708719155818,303.5555265003397,289.4924213082067,301.60465541062587,285.1686935550889,301.58806708272397,311.0458912638775,252.60166593441986,268.6393752877078,299.9177822968386,313.5877612189909,282.56735138321613,292.2982836426554,304.2751239581881,263.6159578614842,310.252767794339,277.892980520967,275.41144790043444,273.34561749661833,281.7757662520972,277.18274295465153,281.09103022762577,247.89687275036306,279.57875765927673,308.36796309888007,315.99207367444524,313.1288317039403,315.71833952957877,281.4283090703726,323.81345649519267,256.1762893270266,0.35680572386267084,0.2159937867300266,0.1984063790712188,0.26875638981136796,0.22530541950856658,0.38761725133736136,0.2685875023326545,0.15720246442206337,0.18911024177378052,0.23681836448336652,0.0810776660993584,0.16315351575585585,0.43776345009616546,0.2627851032688977,0.20768682135234448,0.11386596554650866,0.042813364985184864,0.18672450122677545,0.3189564629249292,0.31793098473005965,0.198348406295081,0.049572176433546784,0.11194327127302883,0.23114944753779526,0.08068674671628803,0.17661568209805723,0.16907883615662128,0.26977062305525296,0.388184892385843,0.15940117447607305
5,273.4585901250551,18.554205143874352,0.20465072599798043,253.37364331123237,280.68137497149064,294.3980537808573,281.49153694676414,262.36045167571075,274.5316462500103,230.48751221396367,265.5055814426728,277.05323194408413,282.74581056558316,282.56735138321613,281.44868256819956,293.2134481529582,263.6159578614842,297.43152073421993,264.03498175656904,257.4074501923234,273.34561749661833,251.03071916143932,261.1913767961413,266.3633562446514,247.89687275036306,265.01877832204514,284.412416429013,284.0747820799386,271.93924039740955,315.71833952957877,281.4283090703726,311.86065053229953,247.12900919044097,0.3308316803976787,0.19430970928971064,0.18609579582526253,0.32310701979339435,0.18588388812704737,0.34050390744509074,0.30443454249598956,0.17635271840413191,0.18298308015874304,0.22811392744150388,0.05870353249421445,0.21166124548818807,0.41780897906359604,0.2283031060938046,0.23312801535107391,0.1067898975680377,0.11094302862368183,0.1328462281704484,0.26220412417254824,0.29535139126062787,0.13573510391530125,0.14568471141904227,0.05895127744736761,0.19799367954366062,0.09786652491582541,0.13949289568592835,0.131566513913802,0.19473238082419236,0.4142282907688013,0.11291458384071812
6,252.73860374963803,19.33902525383883,0.18155212591637504,211.39392572280659,270.72575098243595,265.55443161590415,270.6859043966884,253.03274072331533,248.81765009749387,224.51558221437162,247.66011234581464,243.9844290078622,247.98521730374472,271.51349689694774,269.16190613606176,238.96538549007727,255.9438013656652,242.63059280636614,258.1924265108027,244.25613102695857,237.47996481763104,247.50008272758853,243.69898666214388,249.51443504414766,244.18778580841027,251.38243902188896,272.05001573096547,265.73884934023283,262.4673495490348,300.16320302918024,237.76824124580259,292.5962307400151,212.59104412878148,0.25729256522338306,0.13549952026201878,0.13178985328909817,0.3261137607093594,0.13945655020894981,0.2115512278709447,0.2267025547694879,0.10501135214325871,0.16107318477171093,0.17382119060852558,0.110398602897433,0.23627516096988976,0.3837931775304196,0.2030980093225308,0.18451692919117962,0.09116356416859406,0.1170416964419273,0.1265421916764129,0.2419802644343944,0.22735739143458059,0.13502393812649005,0.20282607510873446,0.08515982234118817,0.12782694020427257,0.12983876393689486,0.11186834171220034,0.11191334417770597,0.1901690519544793,0.4144643163440863,0.14699443566110035
7,237.76856572446212,15.995360914521008,0.16830351531095886,211.39392572280659,243.61196364212338,263.81000966905924,257.37404551541283,227.1544094914384,242.59850282143927,216.441570836866,232.06261849955416,243.9844290078622,247.98521730374472,231.56750742736517,243.5531731005376,216.96200930654356,242.79503686796252,237.77974228472016,224.10088936869153,222.115135953696,224.49602864644672,241.9269630957221,238.22834788410677,249.51443504414766,229.3888063856111,245.75252572180074,257.15542163060815,247.40597446546934,259.3175163550629,273.1910027720183,228.26548061838577,232.5582828429527,200.56599945170697,0.21189040789155741,0.1258251864843092,0.14509199962120956,0.37019555729485887,0.11129881428863381,0.18082711593833067,0.22298628957035524,0.05790677949500708,0.12705524435109966,0.18195650684375145,0.1782841200363064,0.20365946358019493,0.2203334652181224,0.17801049186965504,0.16436569602143491,0.1203353368881316,0.1284766583117182,0.11898093043769829,0.21418260144495394,0.210827147753205,0.12397314876156341,0.19617818618271707,0.10522207793104049,0.10725588053198853,0.17271167853162042,0.08450997562365592,0.12373032286060237,0.13874141726142766,0.3977855831598291,0.1265073751437879
8,226.85422385244203,17.05704076059116,0.16141489378399163,211.39392572280659,225.52059410093418,207.48558182339576,253.02521525973555,227.1544094914384,236.57005113422468,202.7703141797271,209.96105757518893,235.74434683078715,247.61837925475828,228.18298250414367,232.07506962510075,204.29638965627862,224.87587636894523,237.77974228472016,216.81682900778426,218.03805592796832,219.8950222179077,219.38031163986514,231.3422018238885,223.5615900409829,220.14799123232655,239.07262151950513,238.41434599450764,223.34118258602717,259.3175163550629,271.3553480663272,220.20865367429565,232.5582828429527,187.722826831673,0.25474734438643937,0.12675785636671527,0.17213163561665346,0.3401816187824232,0.10854593116005572,0.1404248384503681,0.2311131455845838,0.10181834153759889,0.11021473309909766,0.19855866031169483,0.1626951727621381,0.19458482595775262,0.1892245461561215,0.1470034967572681,0.18238767000073974,0.09794170690885949,0.13239679184206649,0.09532433314960803,0.2416029112486069,0.1358135162714404,0.10555695096348655,0.15588207846673485,0.09771880147871542,0.10038750617131512,0.15073709978190541,0.06734410226923367,0.14172690410058014,0.12835979699412242,0.38634435251467786,0.1449201444287454
9,216.06512200606528,13.609666964014583,0.15688157395370148,211.39392572280659,211.00835917501792,207.48558182339576,229.30977785315724,219.16968850021192,213.917596070182,198.47862804347136,203.95125030879979,222.08378817355927,220.9220403379765,219.25351596089155,207.72147934406598,196.26391567404,221.97325903849537,222.5994153587938,200.54628149500897,210.18816277836532,217.8864662678468,206.2886247304889,210.73699321412315,212.45848225324386,210.9098105523599,224.266183079646,227.73047202545584,223.34118258602717,243.72066403460607,256.35294675096344,211.71405935433177,232.5582828429527,187.722826831673,0.2442164143305731,0.061326833040818235,0.14301532708029727,0.31970787218052676,0.10134907144981131,0.12588423038631044,0.2675867365277088,0.13969417249814078,0.07801641281482251,0.19940842620470547,0.140568336237609,0.17856984495369407,0.14989560872330526,0.10830316279182534,0.19965149687103917,0.16158574683044719,0.06468235723579852,0.08004177503935628,0.24215526640998833,0.1453967950500452,0.08986411996876197,0.15865394529849156,0.10062862390697155,0.16248574262573276,0.16110134749477417,0.09991612882441768,0.09584229042184003,0.15078768779379265,0.36911212462886733,0.1669993209905716
