# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,24,4,0,7,3,5,43
State_1,30,16,10,6,8,4,74
State_2,16,1,2,1,3,7,30
State_3,2546,3319,1037,1126,6997,7610,22635
State_4,2586,2996,1053,760,5175,5356,17926
State_5,816,741,761,444,2983,2564,8309
State_6,468,152,284,203,736,718,2561
State_7,535,230,214,218,1008,1079,3284
State_8,607,205,344,326,1146,1099,3727
State_9,272,116,214,182,225,284,1293
State_10,374,179,403,363,292,322,1933
State_11,301,95,129,145,123,75,868
State_12,940,592,864,1110,6540,6589,16635
State_13,1043,610,1098,994,7183,6913,17841
State_14,620,464,698,1197,3422,7445,13846
State_15,352,119,315,202,808,650,2446
State_16,466,279,438,846,1958,2723,6710
State_17,778,624,1070,2042,8882,6300,19696
State_18,1023,869,1686,2050,4082,3664,13374
State_19,2740,2266,5432,4321,10371,9177,34307
State_20,1550,1166,3120,2838,3896,4886,17456
State_21,993,548,2750,2272,3588,3652,13803
State_22,903,545,1877,2494,2743,3268,11830
State_23,443,407,1994,1043,1246,1295,6428
State_24,46,6,1,2,3,6,64
State_25,182,91,63,47,65,40,488
State_26,611,231,618,220,505,208,2393
Total,21265,16871,26475,25459,73991,75939,240000
