项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,0.41823745107488247
标准差,0.127958950529101
最小值,0.20262919171881322
最大值,0.8260602829248
中位数,0.40478084764049527
""
各Seed最终结果,
Seed,Final_Best
0,0.29744525488365525
1,0.22078122645336862
2,0.39153585689632564
3,0.35399804944995594
4,0.3982032798699038
5,0.3860210058710436
6,0.5423451769058829
7,0.5265286867001464
8,0.41868548684237794
9,0.39373909596179146
10,0.24454788529976668
11,0.3112968293951326
12,0.448523118014009
13,0.39504499693981643
14,0.6511114035353671
15,0.20262919171881322
16,0.47092050605937175
17,0.4141650171538913
18,0.6011757330404066
19,0.41135841541108675
20,0.4748128636327351
21,0.2673042073929537
22,0.3966004242375334
23,0.8260602829248
24,0.45711114843783207
25,0.3362941318102912
26,0.4495446007895225
27,0.46145529354049586
28,0.4962712473952706
29,0.30161311568292604
