项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.5746217637686944
标准差,0.18036615345747503
最小值,0.27462172462270473
最大值,0.9491247554997244
中位数,0.5306612517353244
""
各Seed最终结果,
Seed,Final_Best
0,0.4120104733164567
1,0.6302488546263589
2,0.740795637868132
3,0.4946302191431755
4,0.9184959938714314
5,0.5191431446155548
6,0.38848509201335446
7,0.4420741305085585
8,0.7798596334652075
9,0.5289844798350032
10,0.8092354565634992
11,0.3783782805702458
12,0.27462172462270473
13,0.550007348420479
14,0.5670178968899222
15,0.3674800407866883
16,0.459801690238578
17,0.31395325068461943
18,0.8204220292890341
19,0.7255965240601654
20,0.6718919430843471
21,0.7220737716807548
22,0.4525140443232658
23,0.5459310383863567
24,0.42019728138723167
25,0.4762899158377536
26,0.8483596110719418
27,0.4986906267646418
28,0.9491247554997244
29,0.5323380236356456
