Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,401.62628489934485,23.036592644483505,0.0,425.0754800972362,414.81532213239075,407.94236138607664,404.78010527962675,387.86849795308575,397.05884216851626,345.3132477055883,443.51066746886755,390.6303986296724,372.5015145836075,385.93053294334334,425.92945859142844,424.370323005127,432.61960596648134,380.32280256970296,414.47928251583335,422.5126496138884,381.4132233743233,355.3364265194182,385.0545309499307,424.6244324498907,406.60536761571154,378.0720232202131,436.70565470620807,400.5099970471041,400.2947200068183,407.5768121575232,414.47845352499496,397.8269659543927,384.6288468433469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,366.18130536432784,24.415305139289085,0.0,402.5188524728386,379.39510808370324,372.1150005861673,357.97713067644077,352.44738671022264,383.6328592029246,342.18365164168233,405.39420014502844,344.6880128967911,349.48431203661556,338.0909300837884,419.3603838018289,374.80465709439517,350.61252313029973,380.32280256970296,361.16663817015757,343.8342595527181,381.4132233743233,315.04703150206274,369.21075598728544,376.2632300317096,396.9272930899662,336.24739974179886,391.7114555915956,374.06189905241496,360.1038200377669,341.6930960493487,336.5320660925162,397.8269659543927,350.3722155693504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,326.83623740149886,25.523268158743605,0.0,340.93737357543665,324.39610164439296,308.1029307946662,302.6579716383668,327.9044024456419,320.8229001850507,310.0151533050488,360.9366712554167,303.26155132993824,327.34101118952975,289.70609683557365,406.9831029631814,337.6947401605298,321.52767681127386,313.5640892827314,335.9884110998071,337.949679125925,349.15058990289566,278.6330509005106,318.57502220696995,351.42524597564756,350.75718018218436,319.2371900606152,330.91743363478605,325.5744760206429,334.1055444316332,311.9682099472656,289.8095719874366,369.30573428304257,305.83800886882653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,297.45517960301436,24.297805562946117,0.0,311.0307727124165,298.93662930156785,296.13537907665005,287.83403492485684,303.227206362782,301.12205484919366,281.96534026408847,337.6371212536781,282.3446954651103,272.6932143672485,275.07438977886,341.69344702202477,331.5908269864609,294.07248911963603,282.2961963488931,297.46896806681656,337.949679125925,324.83035262058235,266.3573722165688,276.979801327428,333.60892477696854,269.3760257257882,280.73079503670624,300.6145799705859,292.28874056822724,306.91938403248474,296.75894697850265,250.89878931910394,330.0460304092038,261.1732000820702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,264.5944151583164,24.94027680160458,0.0,285.060916740494,263.6053748284081,277.99207256831596,276.102577276032,269.90498616051923,250.5101643538277,262.1299432050456,288.2448549038487,223.67073548536942,242.20091601622323,233.36485664012554,298.93944494546037,303.3208514640477,275.17481328592214,269.0587488277547,265.9439131689782,251.10348105496877,288.35827202916255,231.56764046293438,229.71015345105437,317.2814592541223,234.20589488610295,280.73079503670624,282.94634318388626,237.328684576407,276.3039546721241,254.3667153930664,231.0478834506915,297.76678487734375,239.88922255054763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,245.57681217315616,28.10912220141574,0.005434599265961552,272.93281790593426,244.3969407260096,261.9178376305278,255.35525679553513,247.26925050972005,238.10359164152354,249.51080073742747,288.2448549038487,188.06692917019762,242.20091601622323,212.7241901187466,261.7301760203802,303.3208514640477,272.5333220057483,235.92851988362938,240.33078732631753,215.5100284603875,262.79202709507064,222.87324658731134,226.15720137088567,288.0977426992857,192.5021632812245,280.5490948489944,244.45917473265936,221.78571469332502,235.60597932910179,238.32015674991487,208.37746668187606,285.3342156667678,230.37311014206344,0.0,0.0,0.0,0.0,0.0,0.0,0.16303797797884656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,226.64390412179048,27.580508373981246,0.007047083168600709,252.92263879504296,228.1956137604249,241.0580501283962,230.7069859564242,226.17874348409944,235.4204358183872,232.24509223820024,288.2448549038487,184.78762022375673,241.4219198688329,198.41883509330336,245.92289043683584,271.09392964490013,238.83716432408886,232.2367459503762,225.02986167135242,190.34724234402003,220.75252705560774,175.04908970074285,203.47218404853143,260.84105457826354,173.37517430054695,252.10543662748745,229.71210052665208,218.80792205100545,219.10754804113049,219.80902125741926,189.23986385022326,266.22131964126487,207.75525733254833,0.0,0.0,0.0,0.0,0.0,0.0,0.1410040556585551,0.0,0.00047871660462802827,0.057106261945524435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012823460849313724,0.0,0.0,0.0,0.0,0.0,0.0
7,209.16572792170192,30.68142177905208,0.011331027976331601,251.0054954911679,216.79473082143053,238.47452646529376,220.10190140008254,205.3730085725951,224.3401469145802,210.9611613389431,274.22934505969954,163.83028278708505,223.88475989852122,159.83594298776484,228.1260018437418,242.69729213171718,228.8763957921061,208.84486804375274,213.93676358144538,184.94701474098122,212.7056310120557,165.85722658978148,198.6416411877284,242.8349442265237,132.63174401550233,231.80615862789182,214.05692014800107,210.47234579961042,219.10754804113049,195.68299601460944,174.9124919863773,222.15830590900975,157.84424622192637,0.020790835903702596,0.0,0.058974373994609974,0.02387462808555425,0.0,0.038951814556174545,0.11231607458178122,0.0,0.006040591933759391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021875916279975654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005473903218032957,0.03438794014002615,0.03693308524830937
8,194.22348907165733,27.538486059644452,0.05005107693922469,231.00259987066943,201.17581988353544,222.37326794856875,212.33069500487778,186.23229220233978,214.6569110509476,210.9611613389431,237.83224374546128,155.09747987913448,205.4709552528819,159.83594298776484,205.16790309775786,221.6255560162095,204.8114509549978,184.9807414530356,189.05227028048643,160.46486900257312,192.69060226684496,151.69430343590497,196.4192446888976,231.6773749601148,126.73194184545443,228.5351616126297,179.00086350233735,199.1649089528711,182.65909028644865,192.47169353461072,165.43097137611673,222.15830590900975,154.99804980829208,0.0,0.173945341976459,0.08538391220698498,0.0,0.22983761370784503,0.01485393428741525,0.0,0.0,0.0,0.05006113059931425,0.09110658615695945,0.0,0.033934856085927584,0.0,0.0,0.0,0.0,0.0,0.0,0.21409605344336682,0.0,0.15760141181173967,0.13308059488593174,0.0,0.2526965302887988,0.0,0.0,0.006801266536130869,0.05813307618986757,0.0
9,185.19469200524318,24.81800171109563,0.08059948304217418,222.3969583070982,201.17581988353544,215.3653366008105,194.43662290658003,173.19449429593854,197.34879567782576,200.34478670616613,237.83224374546128,143.11861530049376,192.90708220993628,159.55382342564755,205.16790309775786,190.6143300829189,182.4069147754353,182.88019287226734,185.55337711131557,159.96100909585152,174.67212711440567,151.69430343590497,191.05879433461993,199.50504609446295,124.66180640035421,214.2543122041458,177.0133300441073,181.3206993104646,181.81226879433592,183.05723406667911,165.43097137611673,218.9802121653321,148.1213487213247,0.15063800070621305,0.2770618213552547,0.05666042730147092,0.0,0.1104398648028627,0.0,0.0,0.0,0.08344841309905415,0.0858396341371154,0.0,0.0,0.006930374379975609,0.0,0.10454451615708225,0.2604435843824806,0.0076718882667191355,0.0,0.0,0.30219442404047525,0.0,0.22199447388173585,0.1079120737188871,0.0636430119903554,0.33318937632979134,0.0,0.07797648038102065,0.06865265125865251,0.09874347507607856,0.0
