# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,103,90,168,232,146,134,873
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,226,110,443,967,421,491,2658
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,302,69,232,459,204,164,1430
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,171,106,204,351,210,256,1298
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,324,109,412,592,404,510,2351
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,258,106,292,720,331,260,1967
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,244,198,334,609,358,300,2043
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,274,106,193,372,195,207,1347
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,145,86,182,313,149,158,1033
State_26,0,0,0,0,0,0,0
Total,2047,980,2460,4615,2418,2480,15000
