项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.020749383606433486
标准差,0.009015697512207668
最小值,0.00675625590662321
最大值,0.05153240067693332
中位数,0.018553548842959344
""
各Seed最终结果,
Seed,Final_Best
0,0.025918575767093444
1,0.013687256277705728
2,0.008688522083730277
3,0.023395984477645015
4,0.029227928962654914
5,0.016643346555838434
6,0.01762111593041027
7,0.01593667600207027
8,0.00675625590662321
9,0.014423485077372789
10,0.019091439144915512
11,0.05153240067693332
12,0.033468362254780004
13,0.015104686090239738
14,0.03283875531388958
15,0.021389237422852148
16,0.022292902259607672
17,0.014518780461060032
18,0.029532080116609905
19,0.011792460369406399
20,0.03152945828878728
21,0.020177236887093386
22,0.012743595934182395
23,0.015797542288510158
24,0.01592434015060462
25,0.01921376794405205
26,0.01283273412610697
27,0.018015658541003177
28,0.025056565008526377
29,0.02733035787269955
