Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,401.62628489934485,23.036592644483505,0.0,425.0754800972362,414.81532213239075,407.94236138607664,404.78010527962675,387.86849795308575,397.05884216851626,345.3132477055883,443.51066746886755,390.6303986296724,372.5015145836075,385.93053294334334,425.92945859142844,424.370323005127,432.61960596648134,380.32280256970296,414.47928251583335,422.5126496138884,381.4132233743233,355.3364265194182,385.0545309499307,424.6244324498907,406.60536761571154,378.0720232202131,436.70565470620807,400.5099970471041,400.2947200068183,407.5768121575232,414.47845352499496,397.8269659543927,384.6288468433469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,378.580284964837,21.097069153650086,0.0,383.77079996762575,397.6160423449112,378.8294164396754,404.78010527962675,351.58836542826856,371.5685022893514,329.76349712506556,397.72198605972704,383.8827509641608,366.4753908658136,349.2981865368798,401.5203037269632,400.0881053844099,395.42912315325543,366.7426738093009,414.47928251583335,392.5109916973676,365.88522218701564,336.012307797542,361.96049995603397,404.56193423398224,377.868859266728,360.4789778969649,410.25886718711587,385.1885515076718,386.92029184445965,376.57648212820317,359.92760279485475,377.0289891303217,368.67443942598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,357.27535923562226,17.21303418546969,0.0,357.42602736143,356.49104121357294,343.3740349270956,373.33939162275396,346.58610452887496,368.13400851386905,329.76349712506556,382.77286161153353,357.924129917354,358.31405813108756,349.2981865368798,370.5018715461494,353.74504042209367,372.40969465800566,347.77158379924583,346.3513417426331,356.86879632790016,341.233624940425,316.5737377520702,352.8478324000431,380.5567962348925,335.8991310266395,360.4789778969649,402.96354016878973,363.31188722489634,358.08587401364247,368.5337557206965,334.530797704458,377.0289891303217,355.14416286928235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,329.7486693530545,15.543881433560479,0.0,309.68545026948965,342.8780230074867,323.6983238531772,354.86646513507037,316.30844882035206,349.15100275754605,314.3351146597406,346.17257556883123,338.6281417665593,342.01100456420596,331.9939610985828,314.0190933288506,329.8307811137899,343.3102132855426,308.7315672119715,339.3711233093392,335.723751358806,308.2898593354336,312.7789003825329,305.55284198291577,332.2589805217058,327.40292292899846,347.71882160214034,355.00720374837806,332.60320678136344,323.0995201606926,297.663099743414,333.6324695839685,347.10217137584203,328.63504133490574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,304.2556578558561,18.6390402755039,0.0,295.55660927785146,321.0935430694935,310.7733345773183,312.76456011853554,302.1336534882602,298.1268716505327,284.0161135122104,319.57058082298204,273.2948918530049,301.6382893435312,298.52791257546664,307.72895981756346,317.718686629351,252.13999461524725,281.692027883913,334.9022110575655,306.1277216497273,303.2049197993181,280.1046591310037,285.69030487190093,332.2589805217058,315.1075838983719,316.1990225846294,315.14208456310706,302.82554815178906,316.05598282594565,297.663099743414,315.968978341612,339.9738092671028,289.66880003322814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,282.7118752354034,16.997191770655338,0.0,274.9688939576558,312.4917250879311,270.087406883227,288.608252157348,281.5033104944659,298.1268716505327,273.9566199700295,307.2342968423154,259.49464187055287,286.32895921304316,285.25299016247914,278.8954678620427,251.70957256042084,252.13999461524725,275.26166181636773,298.8379132645438,292.7585275124928,247.02027229523463,264.83651173432156,275.9217682726088,291.1160573778087,290.79016944980856,297.84126542830995,267.37376385948926,296.7191015511285,291.360503718367,297.663099743414,291.47036529115394,310.57012729045425,271.0161451293067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,261.82853429755164,18.07341445106061,0.0,251.94628667509485,287.36930646314505,270.087406883227,258.35456854937405,279.29779386351674,265.88842280771706,250.48394973450542,285.9667293846329,249.61678500503018,277.8891077331657,271.1280601256828,278.8954678620427,240.7375411098285,252.13999461524725,240.25234536898304,267.98461978214164,276.56447206032936,242.52079877495152,233.5031002974406,211.30571065560457,286.846616286397,251.86852318084738,280.9201066813512,261.01518186938927,273.280691817757,262.6014739260591,277.0007010853067,252.1214074196873,275.9196776131143,241.3491812949794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,243.758191255073,16.809430854387873,0.0,224.99156884910337,260.4974201987721,240.9538026150804,258.35456854937405,263.13720231639047,230.93000721037953,242.11530151971272,260.57202859733206,249.61678500503018,245.12625967072287,263.2837949203361,248.00790205816764,228.02867237419179,238.9604468009902,211.8934443317126,265.35633440857805,263.05610907005996,242.52079877495152,207.992967817112,211.30571065560457,247.48605756302769,247.82594965899324,254.85391598587793,229.59737369597747,260.17419011287194,244.2511284102673,254.2318386816057,252.1214074196873,253.46484926524317,212.03790111503548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,225.91964544600557,15.489173851713236,0.0,215.62218061601484,229.11444404917853,237.48768377251537,251.94042634497708,241.34947963095988,216.05478563084867,225.34848958300017,256.2120853156019,222.98195482454844,230.20775792631866,232.34239083779323,218.50054039945036,228.02867237419179,219.6809063954882,195.09261887329507,238.25021468396258,236.24551088916286,226.14753955391714,193.1671789216367,200.59332462176383,226.41016392067803,235.51987364214642,210.6557507843109,216.94131038911354,249.80009782262624,235.20662018887185,235.03960466503725,218.81130334581906,234.53995780501907,200.2964955719168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,211.99138940182283,14.194421769229201,0.0,205.79729227360755,204.0776942434952,223.18021405292677,230.91340263220224,200.30763755397726,216.05478563084867,208.98611609934434,235.89691740660015,193.35619801778427,211.894012499347,199.5228795699974,205.9296855226526,203.21381214571323,208.97807218786573,190.98882280632625,216.18046148695117,210.9778175368264,219.88530797882035,193.1671789216367,200.59332462176383,226.41016392067803,232.5082318847867,210.6557507843109,216.94131038911354,234.2747188446856,207.27496439230418,235.03960466503725,189.07957392085098,234.53995780501907,193.11577225921098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,199.85603088493073,14.385451898885933,0.0,195.2291387826178,204.0776942434952,206.1072025120399,222.78987744748028,194.33839670801382,169.7484516253056,187.01853851116059,220.48727922192433,192.1701804874487,189.05363850386755,199.28869039482322,205.9296855226526,186.0418210442343,189.79706986785553,186.62824281740365,216.18046148695117,209.67385722889122,217.4664314646257,183.4082841854283,183.97904818972148,206.23026864828498,209.5565413241261,197.80110908494316,197.5011343568028,211.38348234206222,201.56931934137123,211.4296615128365,186.60053341936305,234.53995780501907,179.65492846717154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,186.178911549132,15.306133579922298,0.0,180.76739069264312,192.3007093779205,198.81920752349495,209.18159499750138,169.277471857916,169.7484516253056,169.76017883496098,200.41434662681138,175.04944767531512,177.69191351497062,182.52834959680504,193.20246696854474,181.22804999800783,185.35791256553085,149.69589933396395,209.74731420152096,179.83045917380718,182.38646074301334,161.54995250479826,169.51505869139913,190.4891450933888,206.5606158626597,194.36168259240802,186.32869075961958,207.59117623136976,201.56931934137123,203.20156288548776,186.60053341936305,203.30410097705624,167.30788280700523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
