项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1.7175723877164406
标准差,0.5529064636033175
最小值,0.9367264316373394
最大值,3.350985032802157
中位数,1.5604937848095801
""
各Seed最终结果,
Seed,Final_Best
0,2.1591661295518634
1,1.062836507211216
2,1.2319212901477954
3,1.3210252698124236
4,1.8921053667660317
5,1.733216099432184
6,0.9367264316373394
7,1.8381769282723894
8,1.4757822536525396
9,2.5890666468504264
10,1.4627358546484857
11,1.358205790280124
12,1.289755217922277
13,2.1237276076023477
14,1.6452053159666207
15,1.2282851254306024
16,1.933997649605658
17,1.195633235959349
18,2.3299987542446274
19,1.400444481120246
20,1.153509120551746
21,3.350985032802157
22,2.2181557192498076
23,1.0873649105075742
24,2.154320061839371
25,1.412341704288167
26,1.2031531171095367
27,2.3696054510931504
28,2.018323795923777
29,2.351400762013384
