Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,184990110.02682838,32257874.158600334,0.42823534906419986,192915721.62225488,165525941.8666423,166809654.08281368,233769153.39618653,114676632.61540245,157761621.2022519,178858862.4523916,137876529.9989493,230690872.61875167,179671719.0922089,186315128.07576936,195982406.8055367,246015677.1036548,154095682.95318323,239574680.94818127,172207232.31516713,158396856.9846502,152915252.12262893,158784553.14248997,175404374.46518266,151404705.67715278,187544032.89411455,214740899.2802691,206339495.17362466,169969385.50674695,243484214.55111307,190959849.58504784,197930075.61820835,217336245.29122534,171745843.36305228,0.12685251704391318,0.18944705643394288,0.1902780094378594,0.5675025586623268,0.42491419541124686,0.5418848506332594,0.4054652651915682,0.4462177950011281,0.5577817980832681,0.75,0.3672734613030622,0.2798719396568256,0.75,0.131897881710725,0.75,0.07706439125723458,0.40432664046700895,0.6725263989449026,0.4347350260250127,0.5,0.4535966436043215,0.4722447902041694,0.6124748321053175,0.5086873992539807,0.3732351125701386,0.3930431584915548,0.22697308002412578,0.5,0.29707411398254197,0.4416915564265628
1,143377828.90928975,24102971.22738313,0.27061151879778067,158364412.9770343,145545702.19896668,144396360.893883,163910316.64306098,93508963.9209857,157761621.2022519,135986021.91521367,137876529.9989493,106008454.80862951,122735843.46741076,138469060.15102252,151530648.69725257,189785634.93103778,122960073.73505284,189464638.39641488,165645789.40978485,145366827.94095138,95839526.64370495,132494862.36266232,109500436.25886051,124500864.23481798,153041944.2438083,163531967.86358893,147416074.43664724,140050555.36129344,184843454.6294633,165637937.63448834,130283935.78386761,149258589.20968097,135617817.3279052,0.4408882834126299,0.4527883419597184,0.45493701513743146,0.24865760957436897,0.3056669125632968,0.4695064257661786,0.6558094242960395,0.34911619481567074,0.019211377219410387,0.033950807896915264,0.11228569209964004,0.6678654054392227,0.22542567580970418,0.060917274855819534,0.4954024187120641,0.45989385348433454,0.094305445739051,0.21311136232346986,0.046778740646367604,0.23784707055502985,0.24031829151423267,0.18656369463502692,0.0581477402254162,0.0680205735596815,0.23790663196818163,0.31600386466922503,0.07836304016019574,0.4324337712821768,0.019921973887701467,0.43630064972521787
2,114138995.43318687,27993067.048736144,0.16570131664836332,129576301.43292508,112686077.70230585,109857681.03000548,134318596.77192497,65631750.24730713,151631688.6870745,74600940.81753841,119704301.3867017,94070155.5010992,120169282.25029717,122589049.70752713,138903652.131854,156348490.76948804,95592056.68039927,136382524.14546084,143959255.3675427,123551842.7070456,38999094.32939778,87525120.1362293,88543184.07896008,94337601.47243164,85740845.19522846,116606817.56972629,119061189.11922428,120268998.81135717,163684641.96835622,147656535.7957414,94474209.42637546,134377513.6598311,103320464.0962505,0.08203821388522443,0.22618422713965206,0.12235129947646523,0.07698634466676964,0.06712574755119846,0.45009916317332566,0.573159887837095,0.38206802419305075,0.0624216777557459,0.07766342542490343,0.04863992474956917,0.04372232958140437,0.21562678523557433,0.13214735504549321,0.1198876263422056,0.08557172582454457,0.1003103959694289,0.2346114007715289,0.025814872732371177,0.22921523043735412,0.21594477599834488,0.5730432224882112,0.027069789013667685,0.0854113907944018,0.05440967573041901,0.10554112769069185,0.043648481174631215,0.20452910888425443,0.07317112582662114,0.2326251440567518
3,91141777.92898394,22985133.61425443,0.12228460956469954,111323885.05047148,71837261.14725675,90622773.79558685,108342163.62647572,65631750.24730713,122502628.07251123,65654965.33960889,110967574.37599586,89074414.10941683,102913618.79607826,110000932.79833964,80416621.9142798,117777545.76600514,81368852.99996814,119032198.09633416,102506921.0440783,91371368.40324569,33336593.092092432,66710639.10586449,70005716.3815963,76976162.67955922,60550573.85082961,90657910.01376937,91194473.4660675,104005990.45129281,153032268.0492969,89148746.95342806,77720505.38403338,95501671.2721109,84066611.58661723,0.06866688679898779,0.015716415541931567,0.17077049527122495,0.046886915322076346,0.08737069940780198,0.43200482385699723,0.5206940946464901,0.07867309833687251,0.12448449834246539,0.12384352247382138,0.018230598052927066,0.030824973589961897,0.2838864519113174,0.11294578378643019,0.07858665298933314,0.12605581340548191,0.13903036144508052,0.2134306288209457,0.021921505931926183,0.30493252190378445,0.2305339048777214,0.058566506665375266,0.024922366804323196,0.07391973459359465,0.004523135194971959,0.04213631783239972,0.036209600289111056,0.0692774531268989,0.10391837672383836,0.025574148996893482
4,74082788.91690733,18755409.30571191,0.12374243775213573,78583496.70694686,58077934.673821144,87043899.5641962,89953115.53265709,47270969.37363573,106885277.00774977,46096022.424225345,79377970.19273606,62821778.90774168,62948806.831500895,84272366.90276507,70633894.38034229,87902225.85632896,66690058.160288975,99421342.34168375,91742457.40857951,67807624.26236159,31949896.93099533,60595549.71060495,57104225.58017841,73331223.62943332,51705025.303765,90657910.01376937,64496066.963470206,79820025.96497981,121024103.22431952,89148746.95342806,69658388.69916485,67979465.09135358,77483798.91419646,0.05504175468550628,0.04069399590806337,0.17220371955379682,0.1226896301631964,0.15357086923150914,0.24178794336868575,0.21332313914745202,0.11064530099452934,0.05719640935258113,0.1691418064508438,0.096372838364845,0.10003522073567697,0.2904281109860909,0.16331979659459273,0.09165383678799637,0.16568259195842905,0.010284748963083507,0.23150900321878082,0.05364500273283984,0.3035489228504258,0.24989833793089963,0.09655832861308924,0.09028051681000056,0.049893057820848435,0.012361975844998901,0.09991436744866987,0.023313996411893828,0.06468335681029574,0.13116406319658852,0.05143048962786311
5,60013707.2466097,19484704.921704967,0.11334769867698284,55384361.69561409,49747952.57862015,47852439.338136405,84777356.10680623,39976961.06197236,98104915.1797593,37548474.13879697,72539086.34176385,46714962.417106576,42207400.863065735,84272366.90276507,53799766.66978495,58001315.80495614,60579697.95115093,81142557.65910858,76611162.98488197,60463900.137901254,29032493.17324847,32490297.585526545,31573816.875125825,66603074.40056822,34836761.79442663,69793253.59240228,48742900.39621629,70642385.5192158,102970184.74791901,79454483.60012393,61184314.28305298,48063092.74181308,75299480.8564614,0.059461544500250714,0.033452700329420375,0.19478787260262662,0.12665240067683567,0.13526908815294197,0.20114226255668136,0.012073837099179911,0.13708985941652949,0.024688972929034665,0.04958672640941694,0.054763872072788086,0.08145865701856178,0.3463011988499147,0.10155560477622662,0.06671002609070785,0.11852054958590029,0.05779056670500085,0.25919703972803176,0.13149493151417257,0.16749010871218392,0.2878262066941131,0.17172734510072524,0.10817670558787176,0.11488362724385268,0.00834301156253129,0.0621992973016241,0.03508255592853656,0.052115579485137745,0.15206255509882016,0.04852625657986631
6,49805548.80057771,15247904.431769552,0.12853962350005943,51863333.202765,37326585.08614318,47852439.338136405,66517500.437655285,36565301.19656887,82557343.26845141,33073810.80263998,65876968.64134858,29876201.91082429,42207400.863065735,67547319.8550413,47040950.08730813,46261598.80044647,52272080.31719844,65958534.953454725,55296641.6148898,54845199.677994415,26373661.692748114,22778598.956452433,29324500.21295057,55016049.93379366,33726268.09415065,45727773.34434765,43280200.488112144,62800523.18924941,84658064.1809979,63426682.84932421,48216043.52091646,45622506.0896521,50276381.41070373,0.08416221158302944,0.07293414135071571,0.19900311874794122,0.09895315382857467,0.11910728046095992,0.1910887076883654,0.06031182082413619,0.11511890964685792,0.04274820001081603,0.13739349525220332,0.1319503345309902,0.12963933068481603,0.272014947838055,0.13574364737856134,0.05841917294021036,0.14589945969723783,0.06251067374456319,0.2420321249606488,0.15536705709797066,0.14047904361421884,0.26065044192169634,0.19306328468654096,0.1764657983919493,0.12824359164313595,0.050071244031928114,0.10050668571548439,0.05540719030202633,0.08783667839276463,0.13565799989854788,0.07340895813683648
7,42024278.112333484,14132014.658148885,0.11686709510075673,51863333.202765,29908956.912226006,35753583.63818043,54980023.54726605,26016617.683657993,72807363.18841428,29988200.70437525,62901816.178711616,27404790.734386254,35787737.990707085,51572553.71647833,38514660.83931343,31277930.273640312,44182120.97302425,59974631.90827371,44018551.1878975,45631990.18643897,21376988.918547846,22778598.956452433,17060796.220355913,45733822.92519241,31005681.307918094,38601795.7203975,38050536.48622267,56186265.17769756,71435663.12120444,58028754.747452006,36246672.297984876,40685763.70427276,40952140.920549735,0.07036237829800723,0.04548267361678583,0.20938803467927958,0.09904221348240193,0.13958253493576933,0.19141374410997036,0.010144487065114146,0.14054395515943152,0.015015559510514304,0.13525541714398276,0.10984350222826586,0.1711898640014901,0.17772758550587378,0.04515199593164447,0.06229524364737237,0.13552365901713792,0.05863377406444812,0.06350179191561126,0.1543550759300953,0.11725427051175222,0.2866181837004942,0.2193267354615669,0.14733951054453553,0.13276756524777433,0.058487208614919205,0.015065080544132121,0.09284957792557597,0.12794318799434665,0.1670498142162823,0.1068582280181271
8,35779510.51583705,12008855.063927663,0.11141262100786259,39329599.14212849,21990373.635935597,34372615.298131555,45738424.63412501,26016617.683657993,62102796.7892322,24735231.341235667,55156852.96987228,22040454.167540386,32654685.39002267,39690576.09171112,38514660.83931343,31277930.273640312,37093787.383477814,50015592.092822336,37655030.74190472,42345157.154910214,18902910.817452736,20296834.303321194,13922151.641375294,41474429.23943317,21091850.978494503,28413756.14206472,28704426.52120733,43551486.42060776,63287848.918695286,44231606.08291146,35925670.88998235,36273170.26946679,36578787.6204369,0.08110162546499337,0.04521738815765042,0.2243944547994493,0.12499776226433035,0.14309166360263967,0.09184651157182845,0.029264485553022124,0.14344552959350645,0.06241386581077484,0.15616593153683428,0.05773475521717467,0.19248409934134986,0.08789005176768439,0.08672058013725174,0.06072624837123443,0.11508313376552617,0.021292592094502193,0.09312169994995728,0.164425865306847,0.10887405760184507,0.17458900630519836,0.17703922316541892,0.15160864081566555,0.1654137458560148,0.0656214433427574,0.014068552989050753,0.15048590160421346,0.1230619951337695,0.12808813384672613,0.10210968526866089
9,29765116.165656675,10480670.647728745,0.11669900485780439,35206777.5051567,17074470.209689077,30381283.50438376,35187793.83824479,25158215.70464683,57444144.06558291,21618067.612910017,46558988.9169861,19659345.961045425,32643242.546567213,35206118.9841506,35558656.69023409,22030351.541673757,32992730.094400287,31250683.680933647,24188455.361521125,38601066.69897895,14833258.11935797,17349369.99300724,12167389.084018677,23233484.552314583,21091850.978494503,27992529.834375802,24881270.38725747,36407542.16195746,55825726.7845912,32556922.80233712,28174604.021935586,25929891.882520393,31749251.4504268,0.05976462354072533,0.07430748463206724,0.2520841187719949,0.10302581916509923,0.14799704231177926,0.09948154188835119,0.031928319163722796,0.14995913445324627,0.046344102615522145,0.14266036954811123,0.05188647225006984,0.1735923416613666,0.059129866145779884,0.11436170951463825,0.05959107553955607,0.16871781671934008,0.010792022533792706,0.08386090178196547,0.1509178832388919,0.15802217243835975,0.13911252114366357,0.20409320991760638,0.1763841719661385,0.20982211287451732,0.045653739283739996,0.06055211024338518,0.11855773715814609,0.19532395960000054,0.13665367669622153,0.07639208893633234
