项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,92.93774941907708
标准差,37.14376478289364
最小值,11.041820243565745
最大值,154.20204885923715
中位数,84.20730114862016
""
各Seed最终结果,
Seed,Final_Best
0,125.48262171154344
1,90.08847390091476
2,79.40864703340308
3,79.46010842038963
4,42.237865709789425
5,105.78753493234494
6,82.92691239367483
7,76.79103588566349
8,107.2201805864045
9,84.13079091259942
10,154.20204885923715
11,153.92797817421783
12,79.9532654505356
13,11.041820243565745
14,75.15990025901675
15,90.22082646397038
16,23.25279996777512
17,76.593722294311
18,150.8579833693346
19,105.97245150146958
20,29.505264583618906
21,148.23690842325632
22,105.61071433669386
23,81.47131460791576
24,91.26519205327801
25,79.67789535733478
26,139.82859989392227
27,150.66539528897252
28,84.28381138464088
29,82.87041857251778
