项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,185.85465842861504
标准差,49.80562504121779
最小值,105.03348107049165
最大值,309.2308357603502
中位数,185.7972937625359
""
各Seed最终结果,
Seed,Final_Best
0,128.02982706072362
1,127.47966366003037
2,131.76353611943446
3,241.10499495562303
4,208.14418221423043
5,202.47976578224086
6,144.56298293429575
7,266.7268567512841
8,234.95839598753196
9,162.24644025008251
10,154.3471779229617
11,185.5168298425211
12,199.07840516781891
13,133.65145376206044
14,208.11113718843293
15,186.07775768255073
16,309.2308357603502
17,239.7585679923863
18,107.47012671576707
19,204.9122160151141
20,166.08236682192504
21,157.40055481503066
22,105.03348107049165
23,197.24464610034337
24,161.85102886394537
25,143.7727169412001
26,177.92447417648987
27,187.80960220974262
28,281.4395365142088
29,221.43019157963323
