Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,184990110.02682838,32257874.158600334,0.0,192915721.62225488,165525941.8666423,166809654.08281368,233769153.39618653,114676632.61540245,157761621.2022519,178858862.4523916,137876529.9989493,230690872.61875167,179671719.0922089,186315128.07576936,195982406.8055367,246015677.1036548,154095682.95318323,239574680.94818127,172207232.31516713,158396856.9846502,152915252.12262893,158784553.14248997,175404374.46518266,151404705.67715278,187544032.89411455,214740899.2802691,206339495.17362466,169969385.50674695,243484214.55111307,190959849.58504784,197930075.61820835,217336245.29122534,171745843.36305228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,136880745.64201564,29889048.536891293,0.0,142554694.180116,116375524.98056735,120141853.11157447,176701886.73519158,90471918.87094563,80155203.089122,143305916.80694786,108806266.85161813,184216089.43314195,135485990.3429872,126577135.08027402,177732331.40387902,201778696.1481467,120610154.3402827,184795025.55451462,123507437.85911037,110504964.88282515,130205564.83397269,107526237.42080869,125395288.93505287,103026793.97068754,187544032.89411455,154610166.82741466,156337811.70541534,133072080.28582756,136379682.99523845,126630950.01496077,153487257.38075697,139370832.6412566,109114579.68371779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,97737113.48411204,26401424.127051644,0.014458011291367001,110795315.8070781,91801160.92635268,90883246.99197549,127091743.78625166,58210365.23087079,48789542.56454541,114426530.49535307,80728482.12926453,122593473.23252998,95542195.13287757,76653018.89444813,105146662.64251095,190411419.92808035,91558796.23570366,143504502.5878092,85406164.59930117,89831396.11378017,86066078.10454284,66238350.26696363,71641932.73688495,92312466.284019,125986033.7971535,85644740.23522486,97861208.93387634,104020630.28778434,87118178.05359967,95759560.95103322,111631374.81844176,95366719.89153022,89092112.86357437,0.0,0.0,0.0,0.0,0.0,0.002020495055371717,0.0,0.0,0.0,0.013188625702390502,0.0,0.0,0.0,0.1662044464184555,0.0,0.06395925225517494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703579870222786,0.0,0.018009532287338783,0.0,0.0,0.0,0.0
3,73026918.47623113,25807408.08489745,0.012930971267492104,74511044.5934719,76647621.1756612,58397966.09881723,81740324.24145122,40690327.464647226,37685976.25397964,87815001.0488112,65317693.04856384,91950771.52095047,71014603.58154348,60538951.08419116,81417224.29932952,173335155.53760943,66172948.335203856,111969016.72605284,61381114.354506984,71031568.32805291,43010169.17148379,47369041.82394523,43928340.28261719,84170325.53141597,108360281.67561589,70243258.39250341,62282812.1746966,93196201.27583593,68563164.87477632,60878704.87893284,71749367.99149026,68153140.12766121,57285438.39311491,0.0,0.002793355657378349,0.0,0.0,0.0,0.0,0.0,0.0,0.017231945500778147,0.0,0.04095249889544374,0.0,0.012396836770805475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03665987339253746,0.0,0.08939854781808074,0.16420700101072166,0.0,0.0,0.0,0.0,0.0,0.024289078979017536
4,55376228.90803279,21271874.442411933,0.018114682834946313,50636094.11957012,63665053.925177895,33001250.81750748,58981559.694462724,33289630.96025921,23409864.93012577,63628004.05575089,62306843.825491466,67333370.71376525,51098286.57721217,44754967.51135203,67858778.8744021,127601583.40813772,52545311.49458129,89689425.90883563,51146894.00431431,49099836.3807718,31380617.68533531,21761591.825936083,25567159.596228495,78541371.54231966,78842056.1054168,63130667.657562435,45996752.3281466,72857820.08774954,53519896.4833549,42170229.693588786,61305568.60488095,47629164.390687026,48537214.03805939,0.0,0.0,0.0,0.0,0.0,0.0,0.007012935089355003,0.0,0.006918418095801535,0.0227503653936537,0.006477658169355787,0.0,0.022862860417850305,0.0,0.08084718983023996,0.004763117016074455,0.006373616077257485,0.023424243886964527,0.014934942758867439,0.0,0.043039603721406805,0.0371641876339999,0.0884499818471383,0.15790704468147032,0.0,0.0,0.0,0.0,0.0,0.020514320428953823
5,44549663.0005697,20268558.934645265,0.024383383809851104,41255265.2125372,50203778.65219211,26765897.34573527,43282207.115854375,26922107.08084014,15772562.5515861,56238075.24106788,40054290.9844629,55151081.18414207,51098286.57721217,31787226.977909308,57324877.58468293,127255520.58253832,43955748.70552288,52966207.09682412,40902239.744630925,36975848.365407236,24969535.798265696,16609341.722577099,25567159.596228495,72044608.07570535,63837947.62871772,44962907.5786468,36098950.740472764,56543363.73652212,42146900.33775161,29563678.201113764,49300144.563085854,36247959.73079965,40686171.30405825,0.0,0.19315931840537093,0.0,0.00823848212690455,0.002586080281628435,0.0,0.0,0.09958892101708929,0.0,0.0,0.007814907197681674,0.0,0.02149861781493727,0.0,0.054063308759760766,0.0,0.008239079086003397,0.0,0.0,0.07696572023686606,0.05397428771461693,0.0,0.0,0.171635136293943,0.0001949395417574481,0.021830986607568555,0.005156171628267564,0.00419065168507929,0.002364905898058085,0.0
6,36621312.96897246,20774416.98012285,0.0390951903249288,29068804.225421514,37485729.92934042,20013055.046718955,32106733.337130252,18815615.00822545,14871924.157717582,52998012.581638835,33080629.819988873,45051441.37905668,44883567.94450602,18059191.87994478,40848171.45999403,127060643.53145869,37800035.38459116,41192066.7627233,29545143.86833065,31175428.355114747,19553402.17507513,13124236.256111734,17970004.167846072,65542430.16080341,49386667.39039477,34698799.11054666,29348905.85354657,49301528.13667253,33150775.415014535,24656367.94326137,46213504.670787506,27917977.358831123,33718595.758380234,0.0008653157784982218,0.1690688948967912,0.01978901607216048,0.012774599519839766,0.0,0.0,0.0,0.10122296134433,0.17911793354467226,0.10555322155917621,0.02465102368242306,0.0,0.02396242279206447,0.013950567751778857,0.05615703876494062,0.004715425267378204,0.004294062415844016,0.0,0.0,0.0,0.06970342658530027,0.1908929129364803,0.0054644539242612875,0.16170484657911577,0.0,0.025785930752589427,0.003181655580219546,0.0,0.0,0.0
7,29045212.466799367,17721286.16809418,0.052168453643058235,21951259.346792083,24639927.28147385,20013055.046718955,23361918.213363536,12708169.696663389,12277457.111691782,37329230.906033866,25206500.740669418,34942219.72920341,31891290.456516594,17953036.505346224,29716103.326354705,105880164.51026554,29772218.51613823,27491815.521736007,17966456.8966577,21412307.930355474,13828481.083647752,10862448.811772171,12505483.859251823,55890733.90405646,47784175.1601305,29784190.72924581,24049146.214292843,42507988.87839563,32151815.51984929,20340963.624682646,37918010.45189582,20451458.34422129,28768345.686558153,0.0,0.16750450300323377,0.08439835682609229,0.01098515081829465,0.0,0.09164451626049544,0.028143713490601376,0.07841774916469926,0.16361107044107712,0.08502575135512307,0.0,0.0,0.039114123973315325,0.000625948667271068,0.03595118313341714,0.003989661758068091,0.00461559894339996,0.16600919256159813,0.027625359424640377,0.0,0.08688749406403339,0.21977005043464715,0.0,0.14956858947777962,0.0017001471513510074,0.0,0.0,0.1076193862991644,0.0,0.01184606204344459
8,23735675.84925707,17900302.50584302,0.06219153781401895,21605791.152663875,15991128.59304264,17279414.682782415,15356025.36238369,9653872.107772911,10299702.046911243,28491680.96831483,20549941.352792863,25917092.31528026,27423974.408419922,12172972.897456663,20812860.41919197,104231105.99938236,20138222.89049179,21369412.143831585,14905173.425370807,18300222.194901407,10667861.959477965,8084428.00062474,7895939.414220618,49584517.02273822,36294510.64579198,17928246.856001806,18439656.256426707,39605518.08420713,32151815.51984929,18197233.511045717,37834269.795801684,12749880.808732906,18137804.641802024,0.05721099814363012,0.17848661300197421,0.0070516860141720044,0.0,0.0006419902139625324,0.09866650269377983,0.07416799782211722,0.06980694460587372,0.0,0.0985623419552408,0.06379748943242665,0.0,0.024456154441948427,0.004103907674638183,0.036637105890650036,0.007317725633854571,0.005614756363878573,0.003251201578717666,0.03260393396000459,0.16913329032898725,0.11250713010572362,0.2544314211749799,0.07078040099735268,0.15581684101955956,0.20140573493957697,0.0,0.0,0.13812860188751752,0.0011653645400018454,0.0
9,19967623.276390318,14829655.100342443,0.06118779990793226,15301573.205253128,15991128.59304264,15336870.504951438,15104586.538774638,7238953.781058501,8364403.01578893,24160759.345996194,17722217.873632643,15252270.912131656,25940858.044669688,8929305.125640977,16744437.367316678,83250388.69171913,16285437.477854073,18898393.37017243,11991182.497930298,15658783.938560892,10022485.534942413,8084428.00062474,4593623.656548679,47511007.22827018,35561347.12103484,17928246.856001806,15826620.742563052,28805170.533786573,27650092.481692974,13927129.718166323,31302408.958077207,12631037.349073846,13013549.826432994,0.0,0.07955962031396939,0.05561445307542879,0.0,0.004502726887427205,0.08622258171463436,0.10969857672813849,0.09088179238228754,0.0,0.1474867989275962,0.05305447155795301,0.004693530886925884,0.026623830460963897,0.004984348129257981,0.05378161862379496,0.0,0.014490705132415339,0.0,0.0,0.1675627947082085,0.13033668897277267,0.3081444594287263,0.007243854595125005,0.13868943035492304,0.17754644781138912,0.0,0.07414744213707142,0.08249559149371755,0.0,0.01787223291524117
10,15882420.25552569,12785499.563422138,0.05771941076745606,11737777.4730188,11611786.132167114,15336870.504951438,11809734.480864892,5897454.432916342,4336235.129395578,20313605.484503385,14808253.716766601,10079542.15106309,22181216.965969354,7382020.89659247,13451258.643739015,70399212.70770527,12994520.97883728,13478493.98134189,10131724.984062497,12732753.364250276,7763276.246187336,6218496.90700874,2922412.669336921,41294624.03308241,28179128.896218352,17003402.823003992,11226374.299500735,23357156.949703615,19528691.110575974,10234759.940412713,23316073.454219453,7682567.834047162,9063180.474327937,0.005658509775168186,0.1487892758733093,0.0,0.06952327517385956,0.003998733596219686,0.10630766583553383,0.08742013861190433,0.09487048841926496,0.0069961269063265235,0.06270498804097555,0.12095784243446678,0.0,0.027775783627000408,0.00921881408368995,0.03596419047951817,0.006740918929944823,0.0,0.0049646646389188715,0.07541555581501433,0.002515371281183376,0.12350627918917223,0.19011396105407646,0.0,0.15073414689067888,0.0011295821809279856,0.0757292390220865,0.09744165673213316,0.09381085197302746,0.10774678659791298,0.021547475861367595
11,12916023.390172485,10947081.508304836,0.06327144326337701,8919086.71715381,11410714.40171151,12504225.508134888,8044360.698202035,4554591.314822966,3643133.5006720275,17129703.07250375,12664863.789801192,8002702.628988838,18919842.337149158,6012190.304302083,9866074.625678241,60131862.21809073,11100199.62734221,10664951.968334978,8314032.200546567,9791981.601039711,5221606.252865349,4379737.977688904,2922412.669336921,34803252.21899218,20467474.748341307,13432840.720440438,8644687.575767547,19800827.617278904,16133921.062140577,8834585.5883483,19043137.36807055,5342194.279444437,6779507.111984443,0.01260309199073067,0.1572898280130888,0.06357392703051083,0.10084074689804076,0.009352066072116612,0.09509208224431355,0.07141863169008941,0.09056964202815083,0.0,0.06768749382912966,0.02517250971897206,0.007249404239049624,0.024773464291816566,0.011701731587226719,0.057969307199429346,0.00495727352014374,0.1727019002768147,0.004618440039415574,0.09148252688927057,0.019888811144501403,0.12411485203820159,0.19874169112242238,0.0813682595069333,0.13538092060774742,0.0034690836133981664,0.09969821230652706,0.0,0.06992128866911286,0.09650611133415538,0.0
12,10553158.893432878,8760146.17865154,0.055318052403919564,7877873.291353837,8921886.992182795,10186563.182763556,6366419.238676394,4113670.28045424,2948900.4420306985,14120062.933148604,10290988.050561992,6914229.882038498,14791014.38473012,4853947.656863164,9639504.983976658,46644666.961315915,7248079.321423107,9960480.855208447,6379009.993587392,7973828.35683099,3877812.701481952,3378295.7620520317,1621206.365310739,27847995.51224709,20467474.748341307,10591409.996562542,7486957.735179151,14814172.653411834,13489433.702748664,7003519.205579747,18223440.9347454,3708211.233684573,4853709.4444948565,0.0,0.17233122041154392,0.014790469707638839,0.0,0.0011251198777562565,0.09352347766552507,0.08519628953845129,0.0836794223344449,0.008515604246699606,0.0592383996312308,0.0663154363993603,0.0,0.03334031847649798,0.00673434137563575,0.08100481585798312,0.0020367169100753073,0.17458100738584745,0.0005858513018068023,0.01871334216405811,0.0007844593531405016,0.11946605447822964,0.18539749911237652,0.09018125354632128,0.13592122349360466,0.0,0.10095505341503509,0.0,0.011842907225107871,0.09283584803884004,0.02044544017037547
13,9106199.156925179,7488164.719443989,0.0643715785897691,7037595.85398289,8921886.992182795,8866204.987917166,4961409.2705518445,4113670.28045424,2741459.750758095,12562520.088190012,9097229.257878799,5167484.027915783,14411314.353841674,4233366.254500268,8319162.91362195,38663462.86222428,4806659.120963886,9244583.0208658,5314566.363914262,6206409.336440348,2899731.006967358,3378295.7620520317,1092495.9925629662,22608418.38657817,20467474.748341307,8982250.625417298,5432617.032246091,14120026.495076096,10338336.316673849,5866593.785666959,15797326.089802999,3091364.6647018306,4442059.065464313,0.08070129994710121,0.20244467302913297,0.04745565080281112,0.1797866623107146,0.0071072126719526505,0.09327515976954813,0.11883749608427348,0.07820435862889703,0.004486063718567583,0.008794922011621742,0.05220145813096142,0.0,0.0,0.007264743206698924,0.03176540360097251,0.013671659994195114,0.011053833950930349,0.005915764893614711,0.0,0.0,0.14464183509095355,0.23967839864157708,0.13081771106870788,0.0637579587670845,0.18248613391496757,0.1181661067208969,0.017889918090089177,0.0,0.08643739097170051,0.004305541675102021
14,7599164.200587172,6306546.250715064,0.0665791245954188,5934420.589457884,7201982.842829106,6319751.379140482,3565983.0657603843,3179727.4052253533,2492792.8036112036,8881645.323026786,8784302.244459467,4811972.574586106,12652212.432356425,4091651.2525451165,6839845.486664011,32280966.05122462,3533975.6022592806,7433995.77730675,4498230.573892862,5117107.5844252845,2734187.439961129,1692725.9911237601,914273.6799070808,19104468.10461383,16793498.74471328,8726748.246525437,4098665.023920299,14120026.495076096,8239163.451397594,5866593.785666959,11724550.46258175,2925211.028962175,3414250.574394657,0.0,0.0,0.028016051282067318,0.1734165287419852,0.008100797692244529,0.10138362164817535,0.08349547279128007,0.11924168489748742,0.0033958217365902266,0.10692348685072507,0.08913833804551774,0.1245193383140222,0.02712109226884995,0.0017228190882224703,0.019754197628491045,0.0,0.0013435093623164324,0.0,0.07623258808844019,0.002644316163702694,0.06654763406322878,0.16097623019751967,0.04088743554955555,0.13919355451949353,0.207206411400104,0.09632784222527557,0.1838824014374324,0.1002667951873566,0.03563576868248003,0.0
