# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,201,172,165,166,471,1046,2221
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,1268,977,356,372,4534,3816,11323
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,328,154,291,255,2331,1502,4861
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,315,280,396,483,1353,1719,4546
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,328,314,992,631,4054,3568,9887
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,339,294,555,720,3445,3817,9170
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,663,623,1375,3981,1415,1400,9457
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,305,174,971,2855,505,368,5178
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,151,160,681,491,465,1409,3357
State_26,0,0,0,0,0,0,0
Total,3898,3148,5782,9954,18573,18645,60000
