项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,133.07657299258224
标准差,57.886742195877
最小值,27.616943706697793
最大值,358.8979739955826
中位数,114.88091621762733
""
各Seed最终结果,
Seed,Final_Best
0,86.47912266352552
1,101.97282556097207
2,27.616943706697793
3,107.14499706139611
4,72.66273665784448
5,105.11486449004713
6,165.16548700489884
7,160.590021364933
8,178.9975981270988
9,148.7886381582182
10,358.8979739955826
11,136.5175870829897
12,148.1252397368899
13,98.92522947168665
14,179.2669213308408
15,94.83195246464172
16,117.17446481685897
17,117.85203170000996
18,110.27311610352182
19,91.16955105104671
20,184.7791805447836
21,170.12953577445194
22,101.86235533691756
23,132.0754439766286
24,94.79955907786129
25,200.28834293280914
26,112.58736761839569
27,100.03577299548064
28,91.62452722457984
29,196.54780174585866
