Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,184990110.02682838,32257874.158600334,0.0,192915721.62225488,165525941.8666423,166809654.08281368,233769153.39618653,114676632.61540245,157761621.2022519,178858862.4523916,137876529.9989493,230690872.61875167,179671719.0922089,186315128.07576936,195982406.8055367,246015677.1036548,154095682.95318323,239574680.94818127,172207232.31516713,158396856.9846502,152915252.12262893,158784553.14248997,175404374.46518266,151404705.67715278,187544032.89411455,214740899.2802691,206339495.17362466,169969385.50674695,243484214.55111307,190959849.58504784,197930075.61820835,217336245.29122534,171745843.36305228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159356137.27997282,30783932.645458248,0.0,192915721.62225488,154861822.37175795,156174477.0970029,194806814.7861107,114676632.61540245,157761621.2022519,166719687.3998087,114554011.35198852,190514319.09264436,146053134.5237553,141868935.7299935,195379215.75588056,186664361.5903175,154095682.95318323,152016973.2337026,163721061.30105504,158396856.9846502,145365568.29036826,144453416.30575815,169363630.70214987,151404705.67715278,54892525.795256115,155448607.59184197,206339495.17362466,169969385.50674695,159195212.06790394,190959849.58504784,119105848.46702108,201258700.26150057,171745843.36305228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,125046720.03242323,26398047.011122108,0.0,170681879.6177507,102425627.97294672,132957758.57952826,133757742.16329633,88822925.70778283,143400003.15595967,137109695.1511632,112675545.70395917,155239899.49722314,89041855.94802985,132082495.43960957,141435488.87091938,123186136.089547,145100462.3788956,127700572.4770233,115338277.54931384,109183350.81064789,87434428.93992606,112075436.86077192,136973170.23803866,124366311.88497326,54892525.795256115,148265551.94064602,143418611.25563374,125547785.792017,149320063.1773702,159719388.28211915,70034702.94803712,130255354.14662373,148958552.5976878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,93587312.03791349,22239851.55624926,0.0,143599423.76568785,72186191.40077674,109526380.96532938,121277110.62047923,80448087.1651728,87899053.59172025,105178456.69367774,93974062.7078033,109321954.21636765,73281574.33283287,106860499.14474545,141435488.87091938,74763352.93129987,110274063.8373461,84319811.72283453,55336017.21293107,92013556.06766942,87434428.93992606,93588423.01049459,104332574.0214088,71725052.7424328,54892525.795256115,70231658.49483556,88649595.34411038,95705974.20279862,84896036.49384306,129919446.8235274,68838260.64518626,113046662.08594456,82663637.29004644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,72911412.12219559,16630761.269015938,0.0,80889340.69646484,56113716.803603806,40373148.61854137,97667541.8791455,65178529.87658943,65843303.93564249,100098829.66617693,69353059.06980373,92559854.79616183,60108954.3798537,86690605.36209126,95367227.9111298,65589649.35849827,101938145.37660669,68834631.1119675,55336017.21293107,67491192.37440328,87434428.93992606,77318668.43588278,52728614.953514665,71725052.7424328,54438857.57584604,70231658.49483556,67530348.8746826,90369449.92113036,52333922.337227754,102839423.44494729,64005712.31830345,67054412.078911796,59898065.118615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,57024346.41366558,14778649.288503757,0.0,37730606.05566554,54941437.053949974,40373148.61854137,64483399.39488693,51218435.21460172,40806489.29416434,85691186.99294575,59803896.70888095,82262749.0604761,52981517.55928444,64123267.59865541,59478784.03880803,57296019.13711282,56109360.65278272,62095569.92723695,48679180.20309789,51063172.38795632,51310672.702741906,40786124.343674734,40132779.36266677,59734435.50495348,34261089.52453878,58240247.963107556,55809690.936951816,79695027.8931598,52333922.337227754,101459465.26155293,56119448.57223406,67054412.078911796,44654856.02919875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,45589337.99317136,11734816.439834956,0.0,37730606.05566554,28285201.81689795,36259602.33187031,50404566.48042106,37957767.3379967,40213914.17626921,62245980.41509171,49395378.561693236,34096555.640887074,45782339.20154634,61445228.82394553,48812259.1785751,43999344.07243161,39879475.66365769,48113268.96017969,40645180.75829922,38164848.51730431,47997883.76295624,35005481.667682484,36248231.169040695,52724712.532187186,33162792.603420068,53172668.93833245,34311523.11467256,68776070.72704096,37805063.52380071,82850255.1111396,48996383.02426192,55827994.44936573,37369561.17850794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,37455853.23449906,10053300.882059427,0.0,37730606.05566554,28285201.81689795,36259602.33187031,50404566.48042106,23909283.346607152,30931174.240542058,48902651.47630439,40087571.311112106,34096555.640887074,37151161.21453024,51829279.400678456,41211286.462177984,35398974.68968859,27563494.870078344,28387947.88413201,25762720.86134033,38164848.51730431,47997883.76295624,28837668.669651754,36248231.169040695,34320666.37482496,20746888.345254585,36655647.8765246,34046293.88547857,46946747.26811892,36559529.13239421,72164039.26740147,34169854.70897955,44868678.967339076,34036541.006769486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,28840374.965903472,7082576.912803007,0.0,32560036.794802986,27027710.215878524,28710248.213479877,27215591.96097646,22645907.367070086,20814797.62063092,46827921.34926607,37169403.21795694,30108884.050237775,29528235.15296877,31376550.296814755,37479215.12039149,22890635.707266808,27563494.870078344,25373497.485300187,22315215.10605844,32590860.83243494,20628786.97352925,26289579.648306526,17475470.382972173,25707184.20217944,20746888.345254585,34287783.64260508,18237887.3348278,41339667.506383084,31103871.1328677,34350785.36227119,27409025.327475976,41555970.79703662,23880142.959781535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24455934.550122194,6424935.654146228,0.0,25599466.666713174,15994475.61697288,26185959.178574834,25682639.157554008,20489926.115621183,20814797.62063092,38903233.20141229,28738828.914519034,29468965.17583312,14219672.929265177,27923862.790314525,27197835.984286804,22890635.707266808,27563494.870078344,25373497.485300187,18994202.4386328,24397496.58822249,20628786.97352925,14006124.309149373,17475470.382972173,25707184.20217944,20746888.345254585,34287783.64260508,14931586.521109523,36247970.0499589,22032890.61405336,34350785.36227119,19591527.568778466,32165759.481540773,21066288.60906494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
