项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,1011.7713096524209
标准差,390.2332372676258
最小值,527.4528563681699
最大值,2277.636893224788
中位数,933.0265194540557
""
各Seed最终结果,
Seed,Final_Best
0,723.0984694405195
1,831.7319335377476
2,923.0071536751917
3,764.326564748178
4,1442.5990680183622
5,843.289773446304
6,2277.636893224788
7,691.6087679637706
8,949.4655748296411
9,815.3274814816225
10,1224.763756883941
11,1022.7635014349115
12,527.4528563681699
13,1406.8700368509888
14,1451.2066728918603
15,692.169648695376
16,681.2860219309842
17,739.0576931805854
18,943.0458852329195
19,1030.306493204221
20,1153.544318078597
21,619.7279019753194
22,669.6947177310369
23,1146.8362274906394
24,1550.8055784667479
25,961.0046935677727
26,969.4256677425576
27,613.9623551183194
28,833.7846815590581
29,1853.3389008025013
