Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Best_Seed_3,Best_Seed_4,Best_Seed_5,Best_Seed_6,Best_Seed_7,Best_Seed_8,Best_Seed_9,Best_Seed_10,Best_Seed_11,Best_Seed_12,Best_Seed_13,Best_Seed_14,Best_Seed_15,Best_Seed_16,Best_Seed_17,Best_Seed_18,Best_Seed_19,Best_Seed_20,Best_Seed_21,Best_Seed_22,Best_Seed_23,Best_Seed_24,Best_Seed_25,Best_Seed_26,Best_Seed_27,Best_Seed_28,Best_Seed_29,Div_Seed_0,Div_Seed_1,Div_Seed_2,Div_Seed_3,Div_Seed_4,Div_Seed_5,Div_Seed_6,Div_Seed_7,Div_Seed_8,Div_Seed_9,Div_Seed_10,Div_Seed_11,Div_Seed_12,Div_Seed_13,Div_Seed_14,Div_Seed_15,Div_Seed_16,Div_Seed_17,Div_Seed_18,Div_Seed_19,Div_Seed_20,Div_Seed_21,Div_Seed_22,Div_Seed_23,Div_Seed_24,Div_Seed_25,Div_Seed_26,Div_Seed_27,Div_Seed_28,Div_Seed_29
0,9699.125382829176,427.5295614324203,0.42823534906420063,9939.685577702901,9417.67892656035,9461.25666502827,9791.552945469834,10003.51125343168,9646.41747159179,9108.829285671136,9578.052713572646,9914.150922061168,9213.312834768247,10056.323764348435,9328.419552169456,10493.94770142795,9458.70593960882,10165.27385609657,10033.046733062274,10178.395609324645,8741.004641651085,9662.001576930927,9949.882116134268,10098.730278071891,10100.765126526227,10030.860337205357,10039.884459440655,10087.576073513286,8971.485205560963,9120.210149976429,9418.873070160946,9088.501124295595,9875.42557351152,0.12685251704391232,0.18944705643393778,0.19027800943785755,0.567502558662333,0.4249141954112475,0.5418848506332545,0.4054652651915661,0.4462177950011286,0.5577817980832673,0.75,0.3672734613030608,0.2798719396568278,0.75,0.13189788171073097,0.75,0.07706439125723062,0.40432664046703937,0.6725263989449021,0.4347350260250091,0.5,0.4535966436043236,0.4722447902041658,0.6124748321053182,0.5086873992539808,0.3732351125701405,0.39304315849155014,0.22697308002413177,0.5,0.2970741139825409,0.441691556426561
1,8706.735802113533,400.53646494080533,0.5225358224381961,8933.002998556125,7811.549959722251,8651.894854006901,8554.341384132931,9332.76513606495,8887.590070558817,8511.09377105661,8621.246355362575,8692.673575937077,8192.479264944366,9138.567779613455,8693.726191326716,9531.076941186298,8200.230926445412,8096.995350683612,8916.114668919043,8773.660771805327,7943.093806385407,8950.777106862972,8872.64642309752,9104.475290743874,8854.843868503145,8973.965903599536,9139.84831670501,9123.651428850015,8271.112871432933,8591.844676308847,8808.664527601184,8307.162890581492,8720.97695241155,0.5180172235955849,0.4046799169589427,0.46231946325044887,0.3760804858691842,0.37754892178519023,0.5454344027986247,0.5604877430907773,0.6200535515750986,0.5179003043004183,0.49579273163044557,0.33997993959267603,0.4985082547668829,0.5865137151371644,0.3767142306544431,0.6338567255832306,0.6711952633882058,0.4693646027252387,0.1654097025952347,0.6286094495796223,0.6118578185525305,0.6594129242415899,0.40205214183184035,0.547914398674275,0.736742709039943,0.5319773421341714,0.6319113772974223,0.6329394125979285,0.5359926202974091,0.7082691744311105,0.4285381251702519
2,7777.695773405257,338.0983403749589,0.29598413324956824,8038.4142596806105,7206.990590743706,7681.192826011564,7745.856914770785,7619.3785832020385,8235.356318861956,7187.904812038706,7538.024797602573,7682.1978340495725,7105.724676197901,8093.707760510234,8040.757683774752,8125.93601152898,7666.737334311843,7676.0124973921675,8134.101058256867,7175.372928533696,7636.497526413491,8131.6424190448815,8270.209152829197,8153.51391351261,8050.17666613797,8295.230847187668,7664.522391075626,7711.475198557466,7537.853552846763,7819.578558133455,8019.396592415112,7600.029766821796,7487.079729713736,0.4412227497372919,0.37722498472751875,0.2928367899155855,0.23575338139536434,0.5101767726107443,0.13267835713358783,0.23904086301926925,0.2607507428815357,0.1699758935878164,0.13876787329741974,0.08343736509546568,0.24741146405299838,0.242070235737756,0.18778668772498575,0.5402532267976816,0.3016571282757624,0.24201526786109295,0.23103305709812888,0.4020625371354295,0.2958049618709462,0.3484569094774118,0.398333509120785,0.4498060944199972,0.49620527632970324,0.431759869997111,0.3379317925967697,0.12454999157437599,0.25086526365424616,0.24227210371318242,0.22738284664708464
3,7050.002089651838,336.69067201327096,0.27099228185505686,7040.719306027966,6796.463670373875,7120.31632234161,7151.523314008702,6453.920628191558,7417.302542982478,6732.589682417546,6876.948353194875,6895.561079401836,6346.1508922456505,7231.196529878109,7242.071181220142,7511.6084616129765,6917.4382201812805,7057.6175412681105,7691.568076102711,6358.55436148308,7120.620952693291,6524.886666720769,7194.711759113732,7319.984751403888,7231.242241828393,7396.271643721821,7523.996756132896,7087.285231565305,6988.41089282826,6975.727122935608,7453.427374597459,7047.749943919743,6794.197189161459,0.4748487747662473,0.1439575083836565,0.3725534655627822,0.23172868216784226,0.5261093661261512,0.13762879953958354,0.26027095314722226,0.2971418685611612,0.29453216258250553,0.19358572587899592,0.17087932269170777,0.2765743900192782,0.2889229053735616,0.10316428146333352,0.27671314464982255,0.1454964306311148,0.27041722470811363,0.3066433036226546,0.3922484823541619,0.35073314615362966,0.22389629269344677,0.2508995135298152,0.359781139704734,0.4774598779916741,0.3532589997780122,0.2536061998519465,0.23054630778665075,0.1084791261376993,0.14714743481544562,0.21054362497875467
4,6426.737139470187,313.27719196653055,0.28100685240475554,6597.856225208507,6311.509737698571,6705.499884032721,6416.244802843122,5882.31563340819,6715.593122584037,6322.162162047628,6274.232259841745,6071.7834740955905,5565.078485667129,6511.290464680022,6736.860354826847,6810.683051154371,6243.573691407482,6457.144802671125,6580.943231021995,5989.878663416945,6559.448307309448,6035.496423702517,6569.855888260511,6877.777734680487,6438.027945206259,6906.83245877387,6964.303294131739,6375.9058565159685,6325.881909078704,6551.842436186456,6364.594077259568,6509.78511971748,6129.712686676559,0.5166751647956312,0.09834447365858943,0.24676325046320777,0.24962038602048298,0.31115605150388725,0.20377849656654504,0.2970283344359721,0.37635908443313565,0.37230556505279555,0.2859909609906299,0.30412822879999635,0.31204996718245404,0.22948243790551798,0.15292817544529821,0.2577541915658951,0.2751650030500668,0.31837468344057884,0.3111969643178899,0.46466521849441317,0.3864976791032091,0.20445159047836373,0.2005390535935903,0.4555121064092019,0.24141148857252986,0.34425502117292345,0.2153169824693292,0.3275838595171089,0.06380876744096968,0.2305424401959209,0.17651994506652996
5,5842.700857079846,317.0620252973982,0.2818154254654605,6119.3170187640635,5839.457363406512,6069.758012400379,5959.525995563402,5146.410974411432,6182.191037604049,5940.123203740123,5681.566018022654,5578.438989358477,5097.136024916932,5993.107057005264,5948.3144058613325,5857.288533029674,5772.2630748221245,5476.39524927854,6151.274586543229,5401.54687649922,5954.137518144676,5660.3396354052065,6011.042218239182,6347.310124378899,5961.743707891516,6333.649416622834,6322.071120216679,5638.127670966148,5894.812726865444,5800.8529324982355,5965.878512414452,5858.223361608392,5318.722345916325,0.4150636007543239,0.18818692174462642,0.20139078322015033,0.24760839868407153,0.293290353749721,0.3183155972132166,0.32141542894036984,0.41084855576448337,0.31460314286890034,0.3975154897152479,0.32348197868882567,0.2986372776587881,0.2338532369631094,0.07535616730298758,0.33321191007328094,0.2748058833735677,0.2301940469881876,0.29851554731261465,0.316596238376025,0.3330592589067375,0.24477731603071545,0.3298721324733862,0.3034894422142001,0.24115118547404235,0.4506635233844093,0.32232241239434684,0.2677125751076591,0.1011734471316495,0.22203339116292664,0.145317520291245
6,5316.656571082811,383.26342979875665,0.2883317474850767,5777.6703841813,5508.610456906558,5493.31060370598,5573.985172912144,4725.680623831445,5772.979400154692,5666.205623824578,5314.702005261368,4871.063925817291,4402.762829005418,5299.945761572344,5349.592169878471,5115.636460430655,5269.005542320261,4904.202908793705,5849.349929960376,4914.407476670289,5535.078459327921,5114.042306528871,5318.79355581609,5679.5832176431195,5166.706505370427,5585.676028261155,6032.9474740577625,4622.091872570412,5603.342945315588,5397.962456116278,5433.840132746455,5400.052193914236,4800.468709589108,0.3584418422695771,0.27038190040775617,0.1776009506962955,0.2543158817927733,0.3598670690978248,0.23154399167021608,0.39207727352410493,0.3252294066353538,0.32786205260996343,0.3863459182835818,0.30362433285631163,0.2004031705427952,0.10610162742743792,0.27202802296417944,0.3575103653012248,0.19820708463274297,0.14716230879857956,0.24990074084908448,0.30581914882050676,0.407155683691246,0.2925007669700155,0.42006483220978363,0.3107134808880164,0.2845797566802667,0.4556570533638087,0.3840910125807312,0.2635923847399048,0.0813979747165406,0.3016493033455173,0.22412708618615973
7,4882.2586951426265,346.881467645739,0.27804989121278195,5295.959071852392,5264.119280560599,5071.290668986269,5142.50519196012,4447.5021952226,5151.894962623398,5369.142112254566,4673.529917866608,4686.5585160212495,4133.478032780253,4852.830603706357,4618.395585581352,4756.103322922825,4675.788099861679,4649.463679443657,5020.415196060457,4330.266654172412,5464.808100233157,4866.75901349754,4998.892086300094,5131.132554810974,4703.972973026168,5089.813149294357,5379.809258368694,4290.224773925436,5111.175625533523,4995.316338743858,5014.718687332562,4997.170786284343,4284.724415051278,0.2985682596195826,0.27662144937028316,0.36199497159116945,0.2488911064501687,0.3332922827399125,0.25051992958525593,0.3384848314922984,0.29674299009236127,0.39174376874442085,0.346498903417539,0.31672487376794245,0.11860244253285104,0.08014772747726698,0.3506688998290913,0.342878285804114,0.24973413339165917,0.19104687432892953,0.19843666898771492,0.29453759389582546,0.35761145042037595,0.30881369239407325,0.2893124872748846,0.2622101632547462,0.3562143195072585,0.305928777460466,0.36025331373335345,0.269508105248564,0.08427124176996578,0.2435089259732344,0.21772826622815053
8,4508.864363389265,302.2117632774881,0.27681259936129704,4736.264524439373,4940.740002275856,4759.08433498574,4746.654310282219,4093.9100931566445,4789.681199850755,4931.599650526242,4353.383868119185,4023.3597914489637,4078.935336339855,4427.182311440263,4426.281441652264,4392.609144409365,4253.624036464069,4331.550073097247,4780.416317485822,4002.700792907548,4960.654543430654,4463.228204216855,4778.689107012213,4524.50913026229,4360.924486493268,4834.256943620493,4760.515566977502,4003.448027102235,4809.9794749391085,4448.910470715247,4401.198809038076,4749.180270861493,4102.458638127118,0.260841147436045,0.33037366636889465,0.37823920745340595,0.2917158121515692,0.3110627066298396,0.3070933108889016,0.2871822494919172,0.2736231330131136,0.3413633884201046,0.30766844360503887,0.24367204973696288,0.27307778007782363,0.1435150679053642,0.3572738411644836,0.3328013026089801,0.24809404850437122,0.153625348944466,0.357530275907736,0.28575932541919963,0.32317127600373186,0.27769445442558865,0.22301658618902395,0.2659277695349829,0.36900131695206534,0.16623580088787324,0.30185319006358335,0.287677446763927,0.13467324852682955,0.19603992619487445,0.27457485956821426
9,4211.849524311017,323.5971467724299,0.27598855826780266,4336.125004508913,4697.129408466161,4376.036760964731,4403.941662214064,3864.535731578342,4514.380814325737,4674.458280542842,4088.779365297778,3828.20853735367,3744.2032281930205,4427.182311440263,4173.966237186418,4112.269495002291,4142.098371288084,4278.497414513393,4399.641105329772,3707.0846920749755,4651.722067350531,3445.1332182840506,4205.627367406289,4137.509758302827,4165.506769874326,4567.117988792319,4389.282604103817,3785.792204401654,4665.560257857728,4364.877869226597,3781.944267056979,4458.4107948885685,3968.4621415043694,0.2966812658529511,0.37690586701846324,0.3400759413423929,0.24895763092891857,0.24343592333321817,0.1455318287947861,0.3831777659510285,0.2357583776905065,0.3930201090763135,0.2566671363797622,0.2984078147970355,0.26472261258645546,0.14965912900109368,0.3147035053304919,0.3072912041637963,0.21953756610535485,0.1922598069569879,0.3755913676001832,0.2571054459568424,0.31332136630521845,0.28750860436804276,0.1931147937031613,0.28822700853066846,0.33266155869891734,0.2607202355705046,0.34698742449752573,0.24242529589189765,0.14248744785855233,0.24402043890207725,0.3286922748409325
