# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,16,4,2,4,2,2,30
State_1,37,10,15,11,8,4,85
State_2,27,1,4,3,5,4,44
State_3,462,202,189,308,1447,2256,4864
State_4,300,137,211,347,1209,1191,3395
State_5,290,150,241,83,667,345,1776
State_6,463,159,140,328,839,693,2622
State_7,398,132,120,219,623,627,2119
State_8,295,126,122,237,291,309,1380
State_9,161,80,89,105,115,102,652
State_10,257,100,168,168,162,124,979
State_11,313,95,129,156,142,108,943
State_12,383,113,289,712,1145,777,3419
State_13,623,195,722,1634,1286,1256,5716
State_14,368,168,498,607,529,717,2887
State_15,353,69,124,197,146,155,1044
State_16,523,111,180,491,493,462,2260
State_17,288,103,599,403,378,349,2120
State_18,712,322,767,820,696,443,3760
State_19,729,420,1093,1222,892,1078,5434
State_20,1035,597,968,2088,1049,1158,6895
State_21,904,294,249,270,311,233,2261
State_22,996,210,508,682,355,356,3107
State_23,654,135,340,192,191,199,1711
State_24,28,5,6,4,2,2,47
State_25,153,19,23,11,17,11,234
State_26,121,29,22,31,4,9,216
Total,10889,3986,7818,11333,13004,12970,60000
