项目,值
随机种子数,30
总代数,2000
""
最终适应度统计,
均值,0.00240354462578883
标准差,0.0009351851636508656
最小值,0.0008719721008674242
最大值,0.004733093857794302
中位数,0.0022865198661747854
""
各Seed最终结果,
Seed,Final_Best
0,0.002447074382871506
1,0.0034628572502697352
2,0.0030565303914045217
3,0.0020235888005117886
4,0.002247294512926601
5,0.0024901546239561867
6,0.0025563349881849717
7,0.002154096626327373
8,0.0010067838902614312
9,0.0008719721008674242
10,0.0034017041707556928
11,0.0017456085679441458
12,0.001943263776411186
13,0.0029448909663187806
14,0.004324562092733686
15,0.002701300742046442
16,0.001941918941156473
17,0.0017256827031815192
18,0.00359739677151083
19,0.001372354534396436
20,0.00171421508093772
21,0.004733093857794302
22,0.00232574521942297
23,0.003069919053814374
24,0.0017546152539580362
25,0.003141163297186722
26,0.0020383227620186517
27,0.003084040525209275
28,0.0012126028468628647
29,0.0010172500424232567
