项目,值
随机种子数,30
总代数,500
""
最终适应度统计,
均值,831.3454014254514
标准差,263.0253542947508
最小值,295.3798455000506
最大值,1251.5398459248045
中位数,886.2848089414429
""
各Seed最终结果,
Seed,Final_Best
0,1130.294807276232
1,320.2207803613419
2,786.5814255069836
3,1251.5398459248045
4,648.346164794666
5,900.8921965356058
6,1027.2857619923834
7,668.4905585197939
8,969.3397320319255
9,779.629389166299
10,888.4767239459125
11,1217.812328997261
12,884.0928939369733
13,895.1725076836083
14,898.2623523274178
15,530.2081970304826
16,992.9743673746962
17,568.1694668436539
18,805.470171263667
19,1248.4676795670857
20,470.06320288885036
21,944.6887089658558
22,764.7871836157974
23,595.4175023622502
24,607.9882661663887
25,1113.5615089095809
26,295.3798455000506
27,1000.2231002803437
28,1218.3628603722245
29,518.1625126214094
