# RL 动作选择统计
"# 行: 状态 (0-26), 列: 动作 (0-5)"
# 状态编码: div_level * 3 + imp_level（阈值为自适应估计）
"#   div_level: 0=低多样性, 1=中, 2=高"
"#   imp_level: 0=停滞, 1=缓慢, 2=快速"
# 动作编码:
#   0: 轮盘选择 + 均匀交叉 + 均匀变异
#   1: 锦标赛选择 + 均匀交叉 + 均匀变异
#   2: 锦标赛选择 + 两点交叉 + 高斯变异
#   3: 轮盘选择 + 两点交叉 + 高斯变异
#   4: 排序选择 + 两点交叉 + 自适应变异
#   5: 排序选择 + 均匀交叉 + 自适应变异
""
State/Action,Action_0,Action_1,Action_2,Action_3,Action_4,Action_5,Total
State_0,0,0,0,0,0,0,0
State_1,230,206,248,292,744,774,2494
State_2,0,0,0,0,0,0,0
State_3,0,0,0,0,0,0,0
State_4,567,400,488,790,4800,4957,12002
State_5,0,0,0,0,0,0,0
State_6,0,0,0,0,0,0,0
State_7,450,213,357,582,1663,1678,4943
State_8,0,0,0,0,0,0,0
State_9,0,0,0,0,0,0,0
State_10,491,379,497,785,1408,1636,5196
State_11,0,0,0,0,0,0,0
State_12,0,0,0,0,0,0,0
State_13,723,396,570,1587,3392,3159,9827
State_14,0,0,0,0,0,0,0
State_15,0,0,0,0,0,0,0
State_16,557,331,517,930,2693,2869,7897
State_17,0,0,0,0,0,0,0
State_18,0,0,0,0,0,0,0
State_19,1064,663,802,3690,1113,1178,8510
State_20,0,0,0,0,0,0,0
State_21,0,0,0,0,0,0,0
State_22,711,284,460,1598,676,556,4285
State_23,0,0,0,0,0,0,0
State_24,0,0,0,0,0,0,0
State_25,466,262,441,1221,1281,1175,4846
State_26,0,0,0,0,0,0,0
Total,5259,3134,4380,11475,17770,17982,60000
